()||<BIN>85</BIN><BGM>BGM_Room</BGM>:...Click.
()||<BIN>85</BIN>:...There is an encrypted personal communications request.
NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>85</BIN>:Oh? And at a time like this... +Good evening, Persica.
NPC-Persica(1)<Speaker>Persica</Speaker><通讯框>;NPC-Ange(0)||<BIN>85</BIN>:What, is it nighttime already?
NPC-Persica(2)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:How's M4? Did the neural upgrade go well?
NPC-Persica(2);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>85</BIN>:Not bad so far. There's nothing to worry about. +I should thank you on her behalf for providing the upgrade data.
NPC-Persica(2)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Would you mind letting me take a look? I don't mind if it's just peeping at her.
NPC-Persica(2);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>85</BIN>:Sorry, but they're already preparing for their next mission.
NPC-Persica(3)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:You gave her a new mission again?
NPC-Persica(3);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>85</BIN>:I handed my precious Task Force DEFY to her, you know.
NPC-Persica(3)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:You're not worried Mastermind's going to capture her?
NPC-Persica(3);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>85</BIN>:Wouldn't that be better? Mastermind showing herself is a good opportunity for me. +But speaking of which, do you know why Mastermind is so eager to capture M4A1? +Right now, it looks like she considers that to be more important than even the survival of Sangvis Ferri itself.
NPC-Persica(3)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:I've been looking into the matter myself, and I've got a few thoughts on the subject...
NPC-Persica(3);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>85</BIN>:Such as?
NPC-Persica(0)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Lyco. +Do you still remember him?
NPC-Persica(0);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>85</BIN>:I do. He developed Mastermind and he's arguably the man behind it all... At least, that's how it appears on the surface. +What does that dead man have to do with M4A1?
NPC-Persica(0)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:You should know that we used to have a relationship. +When I was taking the brain scan of the biological model for M4, Lyco asked me for a copy as well. At that time he was developing his own AI framework.
NPC-Persica(0);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>85</BIN>:So as I understand it...you gave him M4's neural cloud model?
NPC-Persica(0)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:That wasn't M4's neural cloud model yet. From an unscientific point of view, perhaps you could call it a "soul"...
NPC-Persica(0);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>85</BIN>:What...? +Still...that alone doesn't prove a direct relationship between both parties, and it certainly doesn't explain why the Military cares so much about Mastermind.
