()||<BIN>22</BIN><BGM>BGM_Sneak</BGM>:...Click. A comms request from Angelia.
NPC-Ange(0)<Speaker>Ange</Speaker><通讯框>||<BIN>22</BIN>:So, what did you find?
NPC-Persica(1)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:How did you know?
NPC-Persica(1);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>22</BIN>:You haven't contacted me for half an hour. You must've found something.+The Military's armored units are still in place, which makes me very uneasy...
NPC-Persica(1)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Isn't that a good thing?
NPC-Persica(1);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>22</BIN>:The Military has never taken the initiative to do anything good. They must have some other plan. +That Yegor is still in the field. I'm sure he's up to something.
NPC-Persica(3)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Never mind that. Your job's half done once you get all the data, right?
NPC-Persica(3);NPC-Ange(0))<Speaker>Ange</Speaker>||<BIN>22</BIN>:I'm not one to halfass things, and there's no more data to uncover in the vicinity. +After all...we even managed to score a central server for a military theater. Our mission's been going a bit too well...
NPC-Persica(3)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Ange... +Did you crack the theater server?
NPC-Persica(3);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>22</BIN>:Huh? Of course not. +Someone already pried the firewall open by the time we got there.
NPC-Persica(0)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:...Didn't you ever wonder why that was the case?
NPC-Persica(0);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>22</BIN>:I told you, we had no time to think about that back then... +Anyway, it was probably because the Military personnel forgot about it during their retreat and then it was hacked by Parapluie and opened up, right? +Though it's hard to imagine that S.F. has the ability to crack an important military server...
NPC-Persica(0)<Speaker>Persica</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Hacked by Parapluie... +No, that's not likely. Even default military firewalls are beyond the ability of S.F. to get past.
NPC-Persica(0);NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>22</BIN>:So you mean...it wasn't Sangvis Ferri that opened the firewall? +All I could think about back then was staying alive, so I didn't have the time to consider that possibility.
