()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>202</BIN>:
()||<BGM>BGM_Sneak</BGM>:...On the outskirts of Tallinn.
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>Commander, in the last two hours, unknown signals originating from Tallinn have been continuously trying to connect with M4. Other than that, there has been nothing out of the ordinary.</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>No other Griffin Dolls have come under electronic attacks. We will continue to provide defensive support.</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>That's it for my routine report. We need to keep up with their pace and head further into Tallinn.</color>
Commander()||:Is that so...? I see. Keep in touch.
()<Speaker>Commander</Speaker>||<SE1>AVG_tele_disconnect</SE1>:Hmm?
NPC-Kalin(0)<Speaker>Kalina</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:Commander, do you have a moment?
NPC-Kalin(0)<Speaker>Commander</Speaker><通讯框>||:No problem on my end so far. Is it a transmission from the advance team? That's always a priority. Whenever they get in touch, just patch them through directly.
NPC-Kalin(3)<Speaker>Kalina</Speaker><通讯框>||:No, it's from 16LAB... It's Miss Persica.
NPC-Kalin(3)<Speaker>Commander</Speaker><通讯框>||:(Here she comes... Exactly as Havier predicted.) +...Put her through.
()||<BGM>BGM_Empty</BGM><SE1>AVG_tele_connect</SE1>:...Click.
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||<BGM>BGM_Room</BGM>:<color=#00CCFF>Ah... Commander... Long time no see.</color>
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Well...um... I've actually got a lot to say, but now that we're finally talking face-to-face, for some reason...</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:It's been months since we last spoke. I'm glad to hear from you.
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>...Good heavens, has it really only been months? It hasn't even been a year, yet it feels like it's been ages.</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:Yes, I'm sure these last few months...have been really rough...for both of us.
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Commander, I'm actually getting in touch to discuss...</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:M4, am I right?
NPC-Persica(1)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Oh...</color>
NPC-Persica(1)<Speaker>Commander</Speaker><通讯框>||:As far as I remember, you have never called me for any other reason, so it's an easy guess.
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>...Then I'll cut right to the chase.</color>
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>I've been trying to get to the bottom of the Butterfly Incident this whole time. The place you're going to for your current mission is intimately related to both Lyco and the incident itself.</color>
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>However, ever since the last classified military operation, I've been under heavy surveillance and haven't been able to get in touch with my girls in the AR Team...</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:A lot happened after that operation.
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>(Snorts) I saw the news coverage on Belgrade. Looks like I've fallen really behind on the recent developments.</color>
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>So where is the AR Team?</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:They're away on a mission. +I was just about to contact the advance team that M4 is accompanying and check on their progress in Tallinn. Would you like to me to set up a channel for you?
NPC-Persica(1)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>No! I think we should wait...</color>
NPC-Persica(1)<Speaker>Commander</Speaker><通讯框>||:To be completely honest, I don't really know how to deal with her. It always feels like she's avoiding me. +I think it might benefit M4's mental state to catch up with an old friend during this brief period of free time before the battle begins.
NPC-Persica(3)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>I'd still rather not...</color>
NPC-Persica(3)<Speaker>Commander</Speaker><通讯框>||:So, Miss Persica, you want to help M4, yet you don't want to face her. Why is that?
NPC-Persica(3)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>...It's hard to explain.</color>
NPC-Persica(3)<Speaker>Commander</Speaker><通讯框>||:If you have a job for me or are planning to ask me for a favor, then I'd like to know "why".
NPC-Persica(3)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Shouldn't you PMCs act like proper mercs...? Just take the money and don't ask any questions... I'll pay you in full.</color>
NPC-Persica(3)<Speaker>Commander</Speaker><通讯框>||:I would've agreed to that in the past. +However, right now I must take the safety of all Griffin members, humans and Dolls, into consideration. You want to protect your beloved creation, while I also want to protect my important subordinates. +Do you honestly think you can buy our mutual trust with money, Persica?
()||<BGM>BGM_Empty</BGM>:Persica falls silent when confronted with such a sharp question. +After a long time, she finally lowers her head in defeat.
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||<BGM>BGM_Wake2</BGM>:<color=#00CCFF>...I owe that girl...M4...too much.</color>
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>M4 is especially precious to me. I wanted to protect her to the best of my ability, and that was how the AR Team came to be...</color>
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>I kept loading her with unnecessary burdens just to shape her into the perfect masterpiece in my vision. I didn't realize my mistake until she left. What on earth have I done?</color>
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>To satisfy my own selfish desires, not only did I hurt her, I also kept letting her companions get taken away.</color>
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>I even set her loose back into this cruel and hostile world. My dearest friend got seriously injured because of this...</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:...Miss Persica, all birds must leave their nests eventually. +M4 never stopped growing; we are all witnesses to her achievements. You should have more faith in your child.
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>That's...not what I meant, but yes, you are right.</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:I have another question - how did you find out I'm going to Tallinn? If there's a security loophole in our intelligence system, I must find and seal it.
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>I've been trying to search for you and the AR Team for a long time, but to no avail.</color>
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>But since the media have captured many traces of Doll activity in the Belgrade Incident, I was able to surmise that you and the Griffin Dolls were all safe.</color>
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Also, Havier seemed to be quite concerned and watchful about the series of events, so...I looked into the transaction records of his personal account.</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:Oh, so I suppose other than killing Mr. Havier, there is no other way to plug up the leak. Can't be helped then. +Right, now that my question was answered, let's return to the subject. What kind of services would you like me to provide?
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>I was going to ask you to call back the AR Team and have them return to 16LAB, or at least move them away from the frontlines to a safer location.</color>
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>But having listened to you, I think I might have almost made another wrong decision...</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:With the operation already under way, any random changes to my commands or the deployment of our forces would only cause unnecessary confusion. +Even if you had made that request, I wouldn't have agreed to it. +Besides...I have the feeling that M4 is seeking something. I believe even if I gave that order, she wouldn't be willing to leave just like that.
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||<BGM>BGM_Empty</BGM>:<color=#00CCFF>I suppose you're right... Sorry, I was being inconsiderate.</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||<BGM>10065</BGM>:It's understandable... Kalin, could you give Miss Persica permission to access our command system as an observer?
NPC-Kalin(2)<Speaker>Kalina</Speaker><通讯框>||:<color=#00CCFF>Huh? I certainly can, but giving an outsider direct access to our battle situation...? Are you sure about that?</color>
NPC-Kalin(2)<Speaker>Commander</Speaker><通讯框>||:Persica designed the drones we use to transmit our signals; she and 16LAB have been supporting Griffin this whole time, which makes her hardly an outsider. +We're going to face many unknown threats in this operation, so I hope Miss Persica can lend us her wisdom in helping us steer clear of danger.
NPC-Kalin(3)<Speaker>Kalina</Speaker><通讯框>||:<color=#00CCFF>Alright, I trust your judgment.</color>
NPC-Kalin(3)<Speaker>Kalina</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>Miss Persica, I have given you access clearance as an observer. From now on you'll be able to connect to our battlefield surveillance channel.</color>
NPC-Kalin(3)<Speaker>Commander</Speaker><通讯框>||:If you see anything suspcious or any potential threats, please notify me. +However, I'll still have the final say when it comes to making any decisions. Is that acceptable, Miss Persica?
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>...Thank you, Commander. I will do my best to repay you afterwards.</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:How about treating me to a coffee?
NPC-Persica(1)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>What?</color>
NPC-Persica(1)<Speaker>Commander</Speaker><通讯框>||:You said you would make me a coffee back when we first met.
NPC-Persica(3)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Oh... Jeez, what's wrong with me? I completely forgot about that after I moved.</color>
NPC-Persica(2)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>By the way, I put lots of sugar in my coffee.</color> <c>Lovely, I'll look forward to it.<c>Oh, what a shame. I'm Team Black Coffee.
NPC-Persica(2)<Speaker>Commander</Speaker><通讯框>||<分支>1</分支>:Lovely, I'll look forward to it.
NPC-Persica(1)<Speaker>Persica</Speaker><通讯框>||<分支>1</分支>:<color=#00CCFF>You've also got a sweet tooth, haven't you? That's a great discovery. I'm sure we'll get along splendidly.</color>
NPC-Persica(2)<Speaker>Commander</Speaker><通讯框>||<分支>2</分支>:Oh, what a shame. I'm Team Black Coffee.
NPC-Persica(2)<Speaker>Persica</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>When in Rome, do as the Romans do. Still, I suppose I can make an exception for you, Commander.</color>
NPC-Persica(2)<Speaker>Persica</Speaker><通讯框>||<黑屏1>:<color=#00CCFF>Anyway, it's decided then. When everything settles down, I'll invite you to my lab.</color>
