()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>||<黑屏2><BGM>BGM_Truth</BGM><SE1>AVG_tele_connect</SE1>:<color=#00CCFF>Agent? Agent?</color>+<color=#00CCFF>I'm not picking up your position. Your signal echo vanished in Manhattan.</color>+<color=#00CCFF>Please respond, I repeat, please respond...</color>
HK416Mod(0)<Speaker>416</Speaker>||<SE1>AVG_amb_wilderness</SE1><黑屏1><BIN>9</BIN>:...Shut up.
()||<BIN>299</BIN>:Lexington Avenue.+416 re-emerges onto the streets, illuminated by a street lamp.<下雪></下雪>
HK416Mod(0)<Speaker>416</Speaker>||:I narrowly managed to escape death just now, I don't want you to blow out my eardrums with your whining.
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>;HK416Mod(0)||:<color=#00CCFF>I'm glad you're alright, Agent.</color>
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:Save it. I don't recall you showing the least bit of concern for me when I was running around just now.+If you really want to make yourself useful, then why don't you think of a way to help me out?
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>;HK416Mod(0)||:<color=#00CCFF>I can't assist you from my current position, Agent...</color>
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:...Then forget it.
HK416Mod(0)<Speaker>416</Speaker>||:It's not like I was really expecting an NPC to be of much help anyway.
()||:The fog slowly clears...<火焰销毁></火焰销毁>+The storm is over, and only a few scattered snowflakes still flit through the sky.+The street lights are evenly distributed throughout the darkness, illuminating the street corners. The cold air forms a mist close to the ground, making this city of death look even more menacing.
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>||:<color=#00CCFF>We dispatched a wave of Agents into the Dark Zone before you, but the results were not what we were hoping for — namely, the rogue agents that you encountered.</color>+<color=#00CCFF>I'm glad you're much more capable than our previous Agents. I believe that with your help, this operation's success won't be too far off.</color>
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:Success...
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker></Speaker>||:416 purses her lips as she walks down the road.
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:I am not the least bit interested in winning or losing this game. +I was dragged into this unwillingly in the first place. +45's the one who wants the prize money.
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>;HK416Mod(0)||:<color=#00CCFF>B-but...</color>
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:I'm not backing out.
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>;HK416Mod(0)||:<color=#00CCFF>Hm?</color>
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:You're just an NPC, so you probably don't understand.+Anyone would get mad after being treated that way. +And while I'm not particularly driven to win, I hate losing pointlessly even more.
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker></Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_tele_connect</SE1>:Just as 416 finishes speaking, her communicator suddenly lights up for the first time in a long while.
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>;HK416Mod(0)||<BGM>BGM_Room</BGM>:<color=#00CCFF>Good evening. I see you managed to survive?</color>+<color=#00CCFF>I thought Griffin sent out some kind of badass, but turns out she didn't manage to do much to you.</color>
UMP45Mod(0)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:You sound disappointed.+Upset that I didn't die?
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>;HK416Mod(0)||:<color=#00CCFF>Well, considering this is a game, I don't see why we couldn't give it a try.</color>+<color=#00CCFF>After all, we rarely get to experience such things, don't you think?</color>
UMP45Mod(0)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:The two of us actually agree on something. That is rare indeed.+I also feel that since this is a game, we should cherish these rare opportunities. +Like say, by doing things we can't do outside.
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>;HK416Mod(0)||:<color=#00CCFF>I'm very glad to hear you say that. Now, if you could rein in that murderous intent you're radiating I would be even happier.</color>+<color=#00CCFF>I, for one, have nothing but the deepest faith in an elite Doll like yourself, which is why I've entrusted such an important task to you. </color>+<color=#00CCFF>I wouldn't rest easy if it had been someone else. </color>
UMP45Mod(0)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:Why, what an honor.
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>;HK416Mod(0)||:<color=#00CCFF>You're welcome. I'll accept a drink from you once the game is over.</color>+<color=#00CCFF>Ah~ That's right, thanks to you delaying the enemy, I managed to find the medicine that NPC wanted. There are six doses in total.</color>+<color=#00CCFF>I'll bring your share onto the departure craft with me, so you'd better do your best, okay?</color>
HK416Mod(0)<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:The transmission ends.
HK416Mod(0)<Speaker>416</Speaker>||<黑屏1>:We'll see who gets the last laugh.+The last person who made me mad is still...
