()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>166</BIN><BGM>BGM_Room</BGM>:迦拉提亚附属疗养院前。
NPC-Light(2)<Speaker>莱特</Speaker>||:安洁女士！
()<Speaker></Speaker>||:莱特气喘吁吁地跟上了安洁的脚步。
NPC-Ange(6)<Speaker>安洁</Speaker>||:小子。
()<Speaker></Speaker>||:安洁站住了脚。
NPC-Light(2)<Speaker>莱特</Speaker>||:嗯？
NPC-Ange(6)<Speaker>安洁</Speaker>;NPC-Light(2)||:如果不是因为我的处境，我根本不可能让你跟着我。+如果你非要跟着我做事，就要先约法三章……第一，不准叫我“女士”。
NPC-Ange(6);NPC-Light(2)<Speaker>莱特</Speaker>||:呃……好的？
NPC-Ange(6)<Speaker>安洁</Speaker>||:其他的我们之后再说。
()<Speaker></Speaker>||:安洁冷淡地撇下一句话，便继续向前进了。
NPC-Light(1)<Speaker>莱特</Speaker>||:……唉。
AK12(12)<Speaker>AK12</Speaker>||:别在意，安洁并没有针对你。+她对谁都这样。
NPC-Light(3)<Speaker>莱特</Speaker>||:嗯……谢谢。
()<Speaker></Speaker>||:莱特对着AK12苦笑了一下，点头又跟上了安洁的脚步。+刚走出没多远，当那豪华的建筑出现在眼前之后，安洁又站住了脚，没有急于前进。
NPC-Ange(7)<Speaker>安洁</Speaker>||:就是这里了？接收雷奥妮的疗养院？
NPC-Ange(7);NPC-Light(3)<Speaker>莱特</Speaker>||:是的，雷奥妮现下就在此休养并接受管理。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(3)||:哼……我本来还以为她不会见我。+在这种地方，如果她不愿意，我根本没法强迫她。
NPC-Ange(7);NPC-Light(3)<Speaker>莱特</Speaker>||:所幸雷奥妮的沟通欲望还算强烈。+在您提出约见之后，她很快就答应了。 
NPC-Ange(7)<Speaker>安洁</Speaker>||:希望她能说点有用的。
()<Speaker></Speaker>||:安洁抱着手，稍稍瞥了一眼大门口。
NPC-Ange(7)<Speaker>安洁</Speaker>||:作为一个需要清净的地方来说，这里的无关人员是不是太多了？+15？
AK15(6)<Speaker>AK15</Speaker>||:检测到大量摄像设备。
NPC-Light(2)<Speaker>莱特</Speaker>||:……啊。
()<Speaker></Speaker>||:莱特似乎意识到了什么，挠了挠头。
NPC-Light(3)<Speaker>莱特</Speaker>||:他们是柏林电视台的。
NPC-Ange(6)<Speaker>安洁</Speaker>||:柏林电视台？
NPC-Light(3)<Speaker>莱特</Speaker>||:民主德国广播电视总台，是德国现有规模最大，并拥有官方权限的媒体。
AK12(12)<Speaker>AK12</Speaker>||:新闻记者们跑到这里来干什么？除了雷奥妮，这里还有其他更引人注目的病人在吗？
NPC-Ange(6)<Speaker>安洁</Speaker>||:也可能……不是病人。
()<Speaker></Speaker>||:安洁若有所思地看着大门，似乎想起了什么事情。
()<Speaker></Speaker>||:……
()||<黑点1>:
()<Speaker></Speaker>||<黑点2><BIN>160</BIN><BGM>m_avg_casual</BGM>:疗养院内。+一处闲人免进的房间内，某位知名人士的采访正如火如荼地进行着。
NPC-Shadowless(0)<Speaker>夏朵利兹</Speaker>||<SE1>AVG_21Winter_Camera_Flash</SE1>:——非常感谢您今天愿意接受我们的采访，格雷女士。
NPC-Shadowless(0);NPC-MrsGray(1)<Speaker>？？？？</Speaker>||:不必，这原本就是约定好的事项。+对我这样的人而言，与像您这样优秀的记者打好关系是很重要的。
NPC-Shadowless(0)<Speaker>夏朵利兹</Speaker>;NPC-MrsGray(1)||:您真会开玩笑，作为德国……甚至是全世界最顶尖的外科圣手。+我可不认为您需要仰仗公众和舆论的鼻息。
NPC-Shadowless(0);NPC-MrsGray(1)<Speaker>格雷女士</Speaker>||:呵呵……我并不认为记者的存在意义只是引导公众或舆论。+您会说这样的话，是对我仍然抱有误会和质疑。+在我看来，您的工作是将真实的社会向更多人展示出来。+某种程度上，您就是我们与公众沟通的桥梁，如何正确地传达我们的期望，全在于撰稿者的一笔之下。
NPC-Shadowless(0)<Speaker>夏朵利兹</Speaker>||:换句话说，格雷女士认为，自己与“公众”是属于不同的群体的吗？
()<Speaker></Speaker>||:面容俏丽的年轻记者提出的问题十分辛辣，但被称为格雷女士的女性却依然沉着应对。
NPC-MrsGray(1)<Speaker>格雷女士</Speaker>||:是的——很多人很畏惧承认这一点，是我不明白的。+我作为一位医生，半生都致力于将生的希望传播给更多的人。+也正是因此，让我深切地理解到，仅凭手术刀是无法为人们带来更好的生活的。+我希望能够成为一个能够影响公众，为公众带去福祉的领军者。+要做到这件事，我就必须先承认我正在这么做。+如果我连承认都觉得胆怯，又如何让相信我的人们对我更有信心呢？
NPC-Shadowless(0)<Speaker>夏朵利兹</Speaker>||:您说话的方式越来越像一位政客了。+但我不得不说，这的确很有吸引力，如果您要参与竞选，我一定为您投上一票。
NPC-Shadowless(0);NPC-MrsGray(1)<Speaker>格雷女士</Speaker>||:谢谢，夏朵小姐，能够得到你的支持是我的荣幸。
NPC-Shadowless(0)<Speaker>夏朵利兹</Speaker>;NPC-MrsGray(1)||:让我们说回正题吧，今天的采访内容是关于迦拉提亚集团将要推出的新型抗坍塌药剂“伊登”的相关讯息。+“伊登”作为一款新型辐射病药剂，此前在贵集团的发言人口中，被描绘成了一种低价，高效的新型药品，并号称与此前的所有药物皆有不同。+这一发言内容遭到了业界诸多专业人士和名流的质疑，而在其中，作为外科圣手的您却挺身而出为其代言。+我们并没有人质疑您的医德和医术，但您作为迦拉提亚受雇医师，为自家的药品发声。+是否是有商业角度的考虑在内呢？
NPC-Shadowless(0);NPC-MrsGray(1)<Speaker>格雷女士</Speaker>||:我作为一位外科医生，为一款抗辐射药剂做担保，在旁人看来，的确会有些奇怪。+毕竟在医学上，科室之间的分堑有时比跨一个行当还要更多。
NPC-Shadowless(0)<Speaker>夏朵利兹</Speaker>;NPC-MrsGray(1)||:外界的质疑声音也大都源于此理由，对此您有什么要回应的吗？
NPC-Shadowless(0);NPC-MrsGray(1)<Speaker>格雷女士</Speaker>||:我的回应就是——请放心，我绝不会用患者对我的信任做嫁衣。+在我自己看来，或许我的确稍有些薄名，但我也只是诸多同业当中的一人。+我对新产品的信心完全来源于它自身过硬的质量，并希望有更多人能够为它的成功而得到好的治疗。
NPC-Shadowless(0)<Speaker>夏朵利兹</Speaker>;NPC-MrsGray(1)||:在迦拉提亚集团的宣传下，“伊登”药剂的功能在柏林已是人尽皆知的事情。+即便像您说的那样，药剂自身在临床试验中的确展现了非凡的成果，但距离正式发行，仍需要很长一段政策程序作为检验。+在民众看来，这却成了政府阻挠“伊登”上市的证据，甚至为此发动游行抗议。+请问这样的宣传策略是在集团计划之中的吗？
NPC-MrsGray(1)<Speaker>格雷女士</Speaker>||:……
