()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>357</BIN><BGM>10258</BGM>:……柏林市区，临时指挥部。
Kolibri(0)<Speaker>蜂鸟</Speaker>||:玛赫莲的经历也太凄惨了吧……就因为疑似是免疫体，而被这样对待……
AR15Mod(0)<Speaker>AR15</Speaker>||:如果你见过帕拉蒂斯的行为，就会知道这些都只是小儿科。+她早已不是原来的她，如果背后带着更恐怖的目的，只会造成更大的灾难。
Kolibri(0)<Speaker>蜂鸟</Speaker>||:喂！你有没有同情心……
VP1915(0)<Speaker>帕罗莎</Speaker>||:安静，服从指挥官的命令。
()<Speaker>指挥官</Speaker>||:所有涉及恐怖袭击的碎片整理好发给爵士吧，请他帮忙协助找出这些坐标。
VP1915(0)<Speaker>帕罗莎</Speaker>||:好的，正在传输中。
()<Speaker>指挥官</Speaker>||:……丹德莱，玛赫莲什么时候会醒？
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:大概五分钟以内就能醒过来，需要继续审问吗？
Kolibri(0)<Speaker>蜂鸟</Speaker>||:指挥官也太狠了吧……
Derringer(0)<Speaker>德林加</Speaker>||:幸好我们是指挥官这边的！
()<Speaker>指挥官</Speaker>||:……
RO635Mod(0)<Speaker>RO635</Speaker>||:你们误会了……
Fedorov(0)<Speaker>菲德洛夫</Speaker>||:指挥官……关于侵入记忆这件事，玛赫莲是不是也应该有知情权？
Kolibri(0)<Speaker>蜂鸟</Speaker>||:是啊，我们人形最讨厌未经许可就被窥探记忆了。
Derringer(0)<Speaker>德林加</Speaker>||:毕竟记忆对我们来说是非常宝贵的东西。
AR15Mod(0)<Speaker>AR15</Speaker>||:只是个帕拉蒂斯的俘虏，没有什么人权可谈。+更别说，她在背后还不知道谋划着什么。
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:被侵入这种事，帕拉蒂斯早就习以为常，没必要单独告知。
()<Speaker>指挥官</Speaker>||:好了，你们都别说了，这件事我会告知她的。
AR15Mod(0)<Speaker>AR15</Speaker>||:……
Kolibri(0)<Speaker>蜂鸟</Speaker>||:哇，这样才对嘛！
()<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……
()||:在人形们的吵闹声中，玛赫莲醒了过来。
()<Speaker>指挥官</Speaker>||:身体有哪里不舒服的吗？
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……
()||:玛赫莲盯着手上崭新的绷带，没有说话。
()<Speaker>指挥官</Speaker>||:……我们不是帕拉蒂斯。
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:是吗？+我相信过你一次，但现在我不会再相信你了。
()<Speaker>指挥官</Speaker>||:玛赫莲，请冷静。+我说过，我们不是为了谋夺什么，而是为了保护你的。+因为你刚刚的危险行为，我让丹德莱强行侵入你的虚识制止了你。
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……
()<Speaker>指挥官</Speaker>||:抱歉。
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……
()<Speaker>指挥官</Speaker>||:没有征得你的同意，我们看见了你的记忆。
()||:指挥官垂下眼睛，像是回想起了什么可怕的事。+玛赫莲注意到指挥官的拳头攥紧了。
()<Speaker>指挥官</Speaker>||:在你的记忆中，我们看见了很多帕拉蒂斯制造的灾难。+那些执行灾难的涅托将这项计划称为“茧计划”。
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:茧计划……
NPC-Machlian(5)<Speaker>指挥官</Speaker><同时置暗><Position>0,-50</Position>||:它们在柏林的各个地方布置了能释放花粉的炸弹，让整个柏林的辐射浓度飙升到红区以上。+整个柏林的市民都在逃跑……但就算他们竭尽全力狂奔，也比不上ELID化的速度……
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……
NPC-Machlian(5)<Speaker>指挥官</Speaker><同时置暗><Position>0,-50</Position>||:关于这件事，你还知道什么？+把你知道的所有事件，所有发生地点，还有这些灾难到底发生在什么时候，全部告诉我！+我必须找出所有炸弹隐藏的位置，查清这件事到底是怎么回事，否则我……
()||:指挥官深深地呼吸了一口，压抑住满腔的愤怒。
()<Speaker>指挥官</Speaker>||:脏弹在我附近爆炸的时候，我曾经感受过一次人间地狱。+也非常清楚ELID的病痛是多么深入骨髓的折磨……+所以我绝对不会允许这样的事发生。+玛赫莲，我需要你的帮助。
