()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<黑屏2><BIN>322</BIN><BGM>BGM_Brain</BGM>:柏林市郊，废弃的地下工厂前。
NPC-Machlian(7)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……
NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||:看着熟悉的大门又一次出现在面前，玛赫莲的脸色比起在车上的时候更加苍白了些许。+心脏的每一下跳动都激烈地冲撞着她的胸腔，光是站在这里，她就已经快要窒息了。
NPC-Machlian(7)<Speaker>指挥官</Speaker><Position>0,-50</Position>||:……
NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||:指挥官无言地将手放在了她的背上。
NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……罗宾。
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:仅仅只是这样的一个小动作，便让不安的玛赫莲平静了许多。+她甚至觉得自己的呼吸变得顺畅了起来。
NPC-Machlian(6)<Speaker>指挥官</Speaker><Position>0,-50</Position>||:你的心跳得很快，玛赫莲。+……没事吗？
NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:心……跳？
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:玛赫莲愣愣地摸了摸自己的胸膛。
NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……罗宾，尸体的心脏会跳动吗？
NPC-Machlian(6)<Speaker>指挥官</Speaker><Position>0,-50</Position>||:啊？
AR15Mod(5)<Speaker>AR15</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:你终于疯了吗？
AR15Mod(5);NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……我是人类。+我的心脏会跳，我不是怪物。+我是人类。
AR15Mod(5);NPC-Machlian(5)<Speaker>指挥官</Speaker><Position>0,-50</Position>||:……
NPC-Machlian(5)<Speaker></Speaker><Position>0,-50</Position>||:喃喃自语中，一股勇气从她的心中涌了出来。+玛赫莲抬起头，看着封闭的工厂大门，回头看向了指挥官。
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:我们走吧，罗宾。
NPC-Machlian(5)<Speaker>指挥官</Speaker><Position>0,-50</Position>||:嗯。
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:那么，我要开门了。
()<Speaker></Speaker>||:丹德莱的话音刚落，众人面前的大门在一阵轰鸣声中，缓缓向两侧拉开。
RO635Mod(0)<Speaker>RO635</Speaker>||:走吧。+指挥官，你和玛赫莲请待在队伍的中间。+SOP，你跟我在前面开路，15，拜托你殿后了。
