()||<BIN>34</BIN><BGM>BGM_War</BGM>:...
FNFNC(0)<Speaker>FF FNC</Speaker>||:(Pants) Th-That's way too overpowered...
FN49(0)<Speaker>FF FN49</Speaker>||<BIN>34</BIN>:How...could she still be on her feet...?
GG_elfeldt_505(0)<Speaker>Elphelt</Speaker>||<BIN>34</BIN>:Anni...hilate...all...Dolls...
GG_elfeldt_505(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:She seems a bit different from the other Sangvis Dolls... +Doesn't she have..."emotions" of any kind?
GG_elfeldt_505(0)<Speaker>Elphelt</Speaker>;FAL(0)||<BIN>34</BIN>:...
GG_elfeldt_505(0);BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:Different... +Different...? +That's right! She IS different!
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:What? +I remember you mentioned this before.
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:She looks different from when I saw her as we passed through the Cauldron!
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:Hmm? +So she isn't the Rabbit that you saw?
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>Noel</Speaker>||<BIN>34</BIN>:She looks like her, but... +I need further confirmation! +If only...if only I could talk to her in person...
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑屏1>:This is not yet the time to meet her. We have to weaken her in order to approach her safely. +Reorganize our assault and keep at it until she makes a slip!
