SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Empty</BGM><BIN>4</BIN>:M4... Still no news from M16?
M4A1(2)<Speaker>M4A1</Speaker>;SOPII(2)||:She...
M4A1(2);AR15(2)<Speaker>ST AR-15</Speaker>||:...Hold on. Someone's making a public broadcast!
M4A1(3)<Speaker>M4A1</Speaker>;AR15(2)||<黑屏1>:...!
BOSS-4(0)<Speaker>Intruder</Speaker><通讯框>||<黑屏2><BIN>9</BIN><BGM>BGM_Boss</BGM>:Pleased to meet you, everyone.+Still awaiting news from your companion? Perhaps you should focus on what's at hand.
AR15(0)<Speaker>ST AR-15</Speaker>;BOSS-4(0)||:Intruder... I didn't expect you to make an appearance so soon.
AR15(0);BOSS-4(0)<Speaker>Intruder</Speaker>||:It would be discourteous of me if I didn't entertain guests who grace my land with their presence.+First of all, I need to congratulate you on cutting off my reinforcements in our last battle.+But that was only one of my many supply lines so I'm not offended in the slightest.
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||<黑屏1>:That was just the beginning, Sangvis...
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏2><BIN>10</BIN>:We will be targeting your defenses next. Prepare to surrender.
BOSS-4(0)<Speaker>Intruder</Speaker>||:I'm afraid Master will object, but I'm more than glad to welcome you.+Please inform your commander, it's officially show time.
M4A1(0)<Speaker>M4A1</Speaker>||:There will be no need for that, Intruder.+...We are already at your door.+Commander, please give the order.
