()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:F1的宿舍里……
M1897Mod(0)<Speaker>M1897</Speaker>||<BIN>82</BIN><BGM>BGM_Dorm</BGM>:为什么你的房间里总是有这么多纸团？
M1897Mod(0);F1Mod(0)<Speaker>F1</Speaker>||:我在试图模仿汉斯先生的笔迹啦！+话说我之前在补给仓留的纸条呢？你们没看到嘛？还跟指挥官说我失踪陷入敌方？搞那么大阵仗……
M1897Mod(0)<Speaker>M1897</Speaker>||:……+是长这样的纸团嘛？
()<Speaker></Speaker>||:她从网上找了几张图，放在前面。
M1897Mod(0);F1Mod(0)<Speaker>F1</Speaker>||:对啊，就是这样的，好奇怪，难道是被风刮走了吗？
M1897Mod(0)<Speaker>M1897</Speaker>;F1Mod(0)||:倒也不是。
M1897Mod(0);F1Mod(0)<Speaker>F1</Speaker>||:？
M1897Mod(0)<Speaker>M1897</Speaker>;F1Mod(0)||:总之，反正，让我给你做一天的家政服务吧，具体的原因你别问了……
M1897Mod(0);F1Mod(0)<Speaker>F1</Speaker>||:啊，可是我最近打算出门，已经跟指挥官请好假了！
M1897Mod(0)<Speaker>M1897</Speaker>;F1Mod(0)||:诶？改造好的第一次远行吗？
M1897Mod(0);F1Mod(0)<Speaker>F1</Speaker>||:是的，指挥官特地给我的衣服上加了口袋，还是防水的，以后再也不怕东西会被下雨淋湿了。
M1897Mod(0)<Speaker>M1897</Speaker>;F1Mod(0)||:恭喜你，出门是想去找你的偶像汉斯先生吗？
M1897Mod(0);F1Mod(0)<Speaker>F1</Speaker>||:嗯，也许不是本人，但还是想去碰碰运气。
M1897Mod(0)<Speaker>M1897</Speaker>||<黑屏1>:那回来我再补偿你好了。
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏2>:过了一段时间，三个人聚集在F1的宿舍里。
M1897Mod(0)<Speaker>M1897</Speaker>||<SE1>AVG_door_elecport</SE1>:巧克力慕斯蛋糕，庆祝你的改造！
M1897Mod(0);MP5Mod(0)<Speaker>MP5</Speaker>||:可是F1的改造已经过去很久了啊。
M1897Mod(0)<Speaker>M1897</Speaker>;MP5Mod(0)||:庆祝我们第一次合作愉快？总之就是这样！
MP5Mod(0)<Speaker>MP5</Speaker>||:好吧，对了，听说你放弃寻找汉斯先生了？
F1Mod(0)<Speaker>F1</Speaker>||:没有放弃哦，只是暂时告一段落了。
F1Mod(0)<Speaker>F1</Speaker>||:所以我做了一首诗，来祭奠我们的相遇……来，既然大家都在这里，不如一起看……
MP5Mod(0)<Speaker>MP5</Speaker>||<BGM>BGM_Hello</BGM>:啊我要去喝牛奶了！
M1897Mod(0)<Speaker>M1897</Speaker>||:想起来打蛋器还没洗……
F1Mod(0)<Speaker>F1</Speaker>||<震屏3><SE1>AVG_door_elecport</SE1>:喂喂喂，都给我回来啊！！！
F1Mod(0)<Speaker>F1</Speaker>||:哎，果然这世上只有汉斯先生才是我的知己！
F1Mod(0)<Speaker>F1</Speaker>||:<color=#A9A9A9>那我算不算是汉斯先生的知己呢？</color>
F1Mod(0)<Speaker>F1</Speaker>||:不管了，反正今天吃了蛋糕就要许愿——
F1Mod(0)<Speaker>F1</Speaker>||:<color=#A9A9A9>汉斯先生，希望将来我们还有再见的机会。</color>
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:那时候，我一定要郑重的说上一句——<size=50>我是因为您才爱上诗歌的。</size>
