()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>46</BIN><SE1>RunStep</SE1><BGM>BGM_Brain</BGM>:A terrified girl sprints along the hallway.
()<Speaker></Speaker>||<SE1>Heartbeat</SE1>:She's exhausted, but she dares not stop. +The phantom of what used to be her family is chasing after her, his once loving face now twisted by greed. +What to do, what to do...? +That's right, before Father passed away, he once said if I ever found myself in danger, head to the basement... +Having found a flicker of hope, the girl runs towards the basement with a burst of energy. +"So..." +"You're the little girl this time..." +An ominous yet irresistible voice. +Who is that? Who's talking in the basement? As the girl's blood is splashed onto that parched face, the dark voice talks again...
TAC50(0)<Speaker>TAC-50</Speaker>||<BGM>BGM_Empty</BGM>:What do you think, S.A.T.8? Think it'll make a good warm-up for the Halloween party? Or should I change it to something else? +Halloween will be here soon so I've prepared quite a few ideas. If you want...
TAC50(0);SAT8(0)<Speaker>S.A.T.8</Speaker>||<BGM>BGM_Hello</BGM>:Hmm...it's definitely very atmospheric. +Sent a chill right down my spine...
TAC50(0)<Speaker>TAC-50</Speaker>;SAT8(0)||:Then should we make it a part of our Halloween event this year? +I can install speakers on Maple Moon to create the sound effects. As for the lighting...
TAC50(0);SAT8(0)<Speaker>S.A.T.8</Speaker>||:Thanks for showing such enthusiasm, Miss TAC-50. +That is a brilliant idea! If you like, feel free to kick off the event with that. +But leave the rest of the planning to me, okay?
TAC50(0)<Speaker>TAC-50</Speaker>;SAT8(0)||:Oh...sure? +I see, a sense of mystery and suspense is also part of the fear. +Then do your best, S.A.T.8. Please don't hesitate to ask me for help!
TAC50(0);SAT8(0)<Speaker>S.A.T.8</Speaker>||:Great. I'll definitely take you up on your offer if I do need help.
TAC50(0)<Speaker>TAC-50</Speaker>;SAT8(0)||<黑屏1>:Be my guest.
()<Speaker></Speaker>||<BIN>82</BIN><黑屏2><BGM>BGM_Empty</BGM>:After the conversation, TAC-50 returns to her dorm. +She sits in a daze for a while and her drone lands on her palm.
TAC50(0)<Speaker>TAC-50</Speaker>||<BGM>BGM_Room</BGM>:S.A.T.8... She probably wants to see how much she can achieve on her own, without any external interference. +I heard back in Lunar New Year, her fireworks were ruined by someone else... She must really want to make things right this time.
