()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>89</BIN><黑屏2>:...
SPS(0)<Speaker>Serdyukov</Speaker>||<BGM>BGM_Hello</BGM>:...Commander? +What's this sudden meeting about?
()<Speaker>Commander</Speaker>||:I have a tricky assignment for you.
SPS(0)<Speaker>Serdyukov</Speaker>||:Please explain.
()<Speaker>Commander</Speaker>||:Half an hour from now, I'm going to convene a briefing about an operation to search for mermaids. +You and QJY-88 will be in the rescue team together. +The mission is pretty laid-back in itself, you just have to make everyone's safety your top priority.
SPS(0)<Speaker>Serdyukov</Speaker>||:Thank you for entrusting me with this task. I'll do my best to see it fulfilled!
()<Speaker>Commander</Speaker>||:However, QJY-88 is a special case. +She isn't equipped for maritime battle. +Her lack of swimming capabilities, coupled with her fear of the unknown...
SPS(0)<Speaker>Serdyukov</Speaker>||:I understand.
()<Speaker>Commander</Speaker>||:Seeing that you've received professional training, I'm leaving her in your good hands.
SPS(0)<Speaker>Serdyukov</Speaker>||:Leave it to me!
()<Speaker>Commander</Speaker>||<黑点1>:Take some time to think about how best to proceed. +Now I need to make other arrangements.
SPS(0)<Speaker>Serdyukov</Speaker>||<黑点2><BIN>9</BIN>:I've been entrusted with such an important task, I must not let the Commander down. +I'd better hurry up and design a life-saving course tailored to QJY-88...
SPS(0)<Speaker>Serdyukov</Speaker>||<黑屏1>:Fear of the unknown, huh... +Hmm...then I should first start with contact with the sea...
()<Speaker></Speaker>||<BIN>22</BIN><黑屏2><BGM>BGM_Empty</BGM>:...
()<Speaker></Speaker>||<BGM>BGM_Moon</BGM>:0400 in the early morning. +Having finished coming up with the rough structure of the training course, Serdyukov walks past the factory and notices that the lights are still on. +Thinking that someone must've forgotten to turn them off, she enters the building to do that, but finds an exhausted QJY-88 trying to fight off sleep.
SPS(0)<Speaker>Serdyukov</Speaker>||:(QJY-88?) +(What is she doing at such an hour?)
()<Speaker></Speaker>||:Serdyukov slips quietly behind QJY-88 and sees the pile of blueprints and calculation drafts sprawled across the worktop.
SPS(0)<Speaker>Serdyukov</Speaker>||:(Looks like she's also working very hard for this mission.) +(I'll also do my best to help you, QJY-88.)
()<Speaker></Speaker>||<黑点1>:She backs away just as silently.
()<Speaker></Speaker>||<黑点2>:The next day, 0200 in the morning. +Serdyukov comes to the factory again— the lights are still on. +She walks inside and finds QJY-88 asleep with her chin resting on her hand.
()<Speaker></Speaker>||<黑点1>:Serdyukov lightly puts some snacks down, then slips away.
()<Speaker></Speaker>||<黑点2>:The third day, 0600 in the morning. +Serdyukov arrives at the factory again.
()<Speaker></Speaker>||<黑屏1>:QJY-88 is sleeping soundly right on top of the work bench, with some sort of device held tightly in her arms. +Serdyukov sighs softly, takes a look at the time, and turns back to start packing.
()<Speaker></Speaker>||<BIN>162</BIN><黑屏2><BGM>BGM_Empty</BGM>:...
