bingo_task_type-10000001,Normal Battle Challenge
bingo_task_type-20000001,Clear any Normal maps {0} times.
bingo_task_type-10000002,Night Battle
bingo_task_type-20000002,Clear any Night maps {0} times.
bingo_task_type-10000003,Emergency Battle Challenge
bingo_task_type-20000003,Clear any Emergency maps {0} times.
bingo_task_type-10000004,T-Doll Rescue
bingo_task_type-20000004,Rescue T-Doll from a map or battle {0} times.
bingo_task_type-10000005,T-Doll Enhancement
bingo_task_type-20000005,Perform T-Doll Enhancement {0} times.
bingo_task_type-10000006,Equipment Enhancement
bingo_task_type-20000006,Perform Equipment Enhancement {0} times.
bingo_task_type-10000007,T-Doll Contract Consumption
bingo_task_type-20000007,Spend {0} T-Doll Contracts.
bingo_task_type-10000008,Equipment Contract Consumption
bingo_task_type-20000008,Spend {0} Equipment Contracts.
bingo_task_type-10000009,Quick Production Contract Consumption
bingo_task_type-20000009,Spend {0} Quick Production Contracts.
bingo_task_type-10000010,Quick Repair Contract Consumption
bingo_task_type-20000010,Spend {0} Quick Repair Contracts.
bingo_task_type-10000011,Manpower Consumption
bingo_task_type-20000011,Spend {0} Manpower. (Auto-Battle excluded)
bingo_task_type-10000012,Ammo Consumption
bingo_task_type-20000012,Spend {0} Ammo. (Auto-Battle excluded)
bingo_task_type-10000013,Rations Consumption
bingo_task_type-20000013,Spend {0} Rations. (Auto-Battle excluded)
bingo_task_type-10000014,Parts Consumption
bingo_task_type-20000014,Spend {0} Parts. (Auto-Battle excluded)
bingo_task_type-10000015,Collecting Friend Batteries
bingo_task_type-20000015,Collect batteries from a friend's Dorm {0} times.
bingo_task_type-10000016,Collection of Hearts
bingo_task_type-20000016,Collect {0} hearts from T-Dolls or Kalina.
bingo_task_type-10000017,Use Friend's Echelon
bingo_task_type-20000017,Use Support Echelon {0} times.
bingo_task_type-10000018,HG T-Doll
bingo_task_type-20000018,Acquire any HG type T-Doll {0} times.
bingo_task_type-10000019,SMG T-Doll
bingo_task_type-20000019,Acquire any SMG type T-Doll {0} times.
bingo_task_type-10000020,AR T-Doll
bingo_task_type-20000020,Acquire any AR type T-Doll {0} times.
bingo_task_type-10000021,MG T-Doll
bingo_task_type-20000021,Acquire any MG type T-Doll {0} times.
bingo_task_type-10000022,RF T-Doll
bingo_task_type-20000022,Acquire any RF type T-Doll {0} times.
bingo_task_type-10000023,Accessory Equipment
bingo_task_type-20000023,Acquire {0} pieces of accessory type equipment.
bingo_task_type-10000024,Magazine Equipment
bingo_task_type-20000024,Acquire {0} pieces of magazine type equipment.
bingo_task_type-10000025,Body Gear Equipment
bingo_task_type-20000025,Acquire {0} pieces of body gear type equipment.
bingo_task_type-10000026,Heavy Production
bingo_task_type-20000026,Use T-Doll Heavy Production {0} times.
bingo_task_type-10000027,Equipment Heavy Production
bingo_task_type-20000027,Use Equipment Heavy Production {0} times.
bingo_task_type-10000028,Action Report - Quick Production Contract
bingo_task_type-20000028,Obtain {0} Quick Production Contracts from Logistic Support.
bingo_task_type-10000029,Action Report - Quick Repair Contract
bingo_task_type-20000029,Obtain {0} Quick Repair Contracts from Logistic Support.
bingo_task_type-10000030,Action Report - Equipment Contract
bingo_task_type-20000030,Obtain {0} Equipment Contracts from Logistic Support.
bingo_task_type-10000031,Action Report - T-Doll Contract
bingo_task_type-20000031,Obtain {0} T-Doll Contracts from Logistic Support.
bingo_task_type-10000032,BOSS Extermination
bingo_task_type-20000032,Eliminate a total of {0} bosses in victorious battles.
bingo_task_type-10000033,Armored Machine Type S.F. Forces
bingo_task_type-20000033,Eliminate {0} armored machine type S.F. enemies in victorious battles.
bingo_task_type-10000034,Normal Machine Type S.F. Forces
bingo_task_type-20000034,Eliminate {0} normal machine type S.F. enemies in victorious battles.
bingo_task_type-10000035,Normal Doll Type S.F. Forces
bingo_task_type-20000035,Eliminate {0} normal Doll type S.F. enemies in victorious battles.
bingo_task_type-10000036,Logistic Support
bingo_task_type-20000036,Accumulate {0} hours of successful Logistic Support.
bingo_task_type-10000037,Calibration Ticket Consumption
bingo_task_type-20000037,Spend {0} Calibration Tickets.
bingo_task_type-10000038,Combat Simulation
bingo_task_type-20000038,Complete {0} Combat Simulations.
bingo_task_type-10000039,Skill Training
bingo_task_type-20000039,Undergo Skill Training {0} times. (Both T-Doll and Fairies are acceptable)
bingo_task_type-10000040,Battle Master
bingo_task_type-20000040,Clear {0} battles with S rank.
bingo_task_type-10000041,Auto-Battle
bingo_task_type-20000041,Complete {0} Auto-Battles.
bingo_task_type-10000042,Lollipop
bingo_task_type-20000042,Acquire {0} lollipops. (Can be obtained through returning 2 and 3-star furniture)
bingo_task_type-10000043,Ice Cream Cone
bingo_task_type-20000043,Acquire {0} ice cream cones. (Can be obtained through returning 4-star furniture)
bingo_task_type-10000044,Friendly Greetings
bingo_task_type-20000044,Chat with a friend {0} times.
bingo_task_type-10000045,Like Meister
bingo_task_type-20000045,Like someone else's dorm {0} times.
bingo_task_type-10000046,Request Friend
bingo_task_type-20000046,Send a friend request {0} times.
bingo_task_type-10000047,Gifting
bingo_task_type-20000047,Gift a total of {0} gifts.
bingo_task_type-10000048,Spend Batteries
bingo_task_type-20000048,Spend {0} batteries.
bingo_task_type-10000049,Acquire Cores
bingo_task_type-20000049,Acquire {0} Dummy Cores.
bingo_task_type-10000050,Defense Drill
bingo_task_type-20000050,Participate in Defense Drill {0} times.
bingo_task_type-10000051,Daily Login
bingo_task_type-20000051,Daily Login
bingo_task_type-10000052,Repair T-Doll
bingo_task_type-20000052,Repair T-Doll {0} times.
bingo_task_type-10000053,T-Doll Level Up
bingo_task_type-20000053,Level up T-Doll {0} times.
bingo_task_type-10000054,Equipment Calibration
bingo_task_type-20000054,Perform Equipment Calibration {0} times.
bingo_task_type-10000055,Dismantle T-Doll
bingo_task_type-20000055,Dismantle {0} T-Dolls.
bingo_task_type-10000056,Equipment Enhancement
bingo_task_type-20000056,Perform Equipment Enhancement {0} times.
bingo_task_type-10000057,Cores Consumption
bingo_task_type-20000057,Spend {0} Dummy Cores.
bingo_task_type-10000058,Basic Data Consumption
bingo_task_type-20000058,Spend {0} Basic Data.
bingo_task_type-10000059,Intermediate Data Consumption
bingo_task_type-20000059,Spend {0} Intermediate Data.
bingo_task_type-10000060,Advanced Data Consumption
bingo_task_type-20000060,Spend {0} Advanced Data.
bingo_task_type-10000061,Enhancement Capsule Consumption
bingo_task_type-20000061,Spend {0} Enhancement Capsules.
bingo_task_type-10000062,Quick Training Contract
bingo_task_type-20000062,Spend {0} Quick Training Contracts.
bingo_task_type-10000063,Come Like the Wind
bingo_task_type-20000063,Get visited in your dorm {0} times.
bingo_task_type-10000064,See ya!
bingo_task_type-20000064,Send off a visitor from your dorm {0} times.
bingo_task_type-10000065,Share
bingo_task_type-20000065,Share your dorm page {0} times.
bingo_task_type-10000066,Friend Points
bingo_task_type-20000066,Gather {0} Friend Points.
bingo_task_type-10000067,Produce Combat Reports
bingo_task_type-20000067,Produce {0} Combat Reports.
bingo_task_type-10000068,Spend Combat Reports
bingo_task_type-20000068,Spend {0} Combat Reports.
bingo_task_type-10000069,A Ship Named Friend
bingo_task_type-20000069,Get {0} Likes.
bingo_task_type-10000070,Random Visit
bingo_task_type-20000070,Use the Random Visit function in the dorm {0} times.
bingo_task_type-10000071,IDW DA NYA
bingo_task_type-20000071,Acquire {0} T-Doll IDW.
bingo_task_type-10000072,Test Your Luck - T-Doll
bingo_task_type-20000072,Produce a 4-star T-Doll {0} times.
bingo_task_type-10000073,Test Your Luck - Equipment
bingo_task_type-20000073,Produce a 4-star equipment {0} times.
bingo_task_type-10000074,S Victory (Normal 3-6)
bingo_task_type-20000074,Clear Normal 3-6 With S rank {0} times.
bingo_task_type-10000075,S Victory (Emergency 4-4)
bingo_task_type-20000075,Clear Emergency 4-4 with S rank {0} times.
bingo_task_type-10000076,S Victory (Night 3-4)
bingo_task_type-20000076,Clear Night 3-4 with S rank {0} times.
bingo_task_type-10000077,Friend Uses My Echelon
bingo_task_type-20000077,A friend uses your Echelon {0} times.
bingo_task_type-10000078,Sim Energy Consumption
bingo_task_type-20000078,Spend {0} Sim Energy.
bingo_task_type-10000079,Gems Consumption
bingo_task_type-20000079,Spend {0} Gems.
bingo_task_type-10000080,Purchase Tokens
bingo_task_type-20000080,Purchase {0} Tokens from the Shop.
bingo_task_type-10000081,Purchase Quick Repair Contract
bingo_task_type-20000081,Purchase Quick Repair Contract {0} times from the Shop.
bingo_task_type-10000082,Purchase T-Doll Contract
bingo_task_type-20000082,Purchase T-Doll Contract {0} times from the Shop.
bingo_task_type-10000083,Purchase Quick Production Contract
bingo_task_type-20000083,Purchase Quick Production Contract {0} times from the Shop.
bingo_task_type-10000084,Purchase Equipment Contract
bingo_task_type-20000084,Purchase Equipment Contract {0} times from the Shop.
bingo_task_type-10000085,Intelligence Analysis
bingo_task_type-20000085,Conduct Intelligence Analysis {0} times with Original Sample.
bingo_task_type-10000086,Intelligence Analysis
bingo_task_type-20000086,Conduct Intelligence Analysis {0} times with Pure Sample.
bingo_task_type-10000087,Intelligence Analysis
bingo_task_type-20000087,Conduct Intelligence Analysis {0} times. (Both Original and Pure Samples are acceptable)
bingo_task_type-10000088,Central Data
bingo_task_type-20000088,Acquire {0} pieces of Central Data through Intelligence Analysis.
bingo_task_type-10000089,Test Your Luck
bingo_task_type-20000089,Acquire {0} 4-star chips through Intelligence Analysis.
bingo_task_type-10000090,Test Your Luck
bingo_task_type-20000090,Acquire {0} 5-star chips through Intelligence Analysis.
bingo_task_type-10000091,Heavy Ordnance Corps Level Up
bingo_task_type-20000091,Level up a unit of your HOC {0} times.
bingo_task_type-10000092,Heavy Ordnance Corps Enhancement
bingo_task_type-20000092,Spend {0} Enhancement Capsules on a unit of your HOC.
bingo_task_type-10000093,Heavy Ordnance Corps Training
bingo_task_type-20000093,Complete HOC EXP or Skill Training {0} times.
bingo_task_type-10000094,Heavy Ordnance Corps Promotion
bingo_task_type-20000094,Promote a unit of your HOC {0} times.
bingo_task_type-10000095,Heavy Ordnance Corps Iteration
bingo_task_type-20000095,Undergo HOC Iteration {0} times.
bingo_task_type-10000096,Chip Enhancement
bingo_task_type-20000096,Spend {0} chips through Chip Enhancement.
bingo_task_type-10000097,Energy Purchase
bingo_task_type-20000097,Purchase Sim Energy {0} times.
bingo_task_type-10000098,Purchase Tokens
bingo_task_type-20000098,Purchase {0} Tokens.
bingo_task_type-10000099,Purchase Quick Training Contract
bingo_task_type-20000099,Purchase Quick Training Contract {0} times.
bingo_task_type-10000100,Pet-Keeping
bingo_task_type-20000100,Acquire {0} pets.
bingo_task_type-10000101,M1911
bingo_task_type-20000101,Acquire {0} T-Doll M1911 through production.
bingo_task_type-10000102,MP40
bingo_task_type-20000102,Acquire {0} T-Doll MP40 through production.
bingo_task_type-10000103,PPK
bingo_task_type-20000103,Acquire {0} T-Doll PPK through production.
