commander_uniform-10001010,Gas Mask
commander_uniform-20001010,Doomsday Camo - Head
commander_uniform-10001020,Head-Mounted Miner Light
commander_uniform-20001020,Doomsday Camo - Headwear
commander_uniform-10001030,Dirty Coat
commander_uniform-20001030,Doomsday Camo - Top
commander_uniform-10001040,Dusty Badge
commander_uniform-20001040,Doomsday Camo - Accessory
commander_uniform-10001050,Muddy Pants
commander_uniform-20001050,Doomsday Camo - Bottom
commander_uniform-10001111,Male Head
commander_uniform-20001111,Griffin Standard Uniform - Male Head
commander_uniform-10001112,Female Head
commander_uniform-20001112,Griffin Standard Uniform - Female Head
commander_uniform-10001120,Griffin Custom Beret
commander_uniform-20001120,Griffin Standard Uniform - Headwear
commander_uniform-10001131,Uniform Coat (Male)
commander_uniform-20001131,Griffin Standard Uniform - Male Top
commander_uniform-10001132,Uniform Coat (Female)
commander_uniform-20001132,Griffin Standard Uniform - Female Top
commander_uniform-10001140,New Recruit Badge
commander_uniform-20001140,Griffin Standard Uniform - Accessory
commander_uniform-10001151,Black Pants (Male)
commander_uniform-20001151,Griffin Standard Uniform - Male Bottom
commander_uniform-10001152,Black Skirt (Female)
commander_uniform-20001152,Griffin Standard Uniform - Female Bottom
commander_uniform-10001211,Summer Leisure Male Head
commander_uniform-20001211,Griffin Summer Activities - Male Head
commander_uniform-10001212,Summer Leisure Female Head
commander_uniform-20001212,Griffin Summer Activities - Female Head
commander_uniform-10001220,Beach Shades
commander_uniform-20001220,Griffin Summer Activities - Headwear
commander_uniform-10001231,Beach Bod (Male)
commander_uniform-20001231,Griffin Summer Activities - Male Top
commander_uniform-10001232,Double Strap Bikini (Female)
commander_uniform-20001232,Griffin Summer Activities - Female Top
commander_uniform-10001240,Summer Sentiments Accessory
commander_uniform-20001240,Griffin Summer Activities - Accessory
commander_uniform-10001251,Beach Shorts (Male)
commander_uniform-20001251,Griffin Summer Activities - Male Bottom
commander_uniform-10001252,Beach Sandals (Female)
commander_uniform-20001252,Griffin Summer Activities - Female Bottom
commander_uniform-10001310,
commander_uniform-20001310,
commander_uniform-10001320,
commander_uniform-20001320,
commander_uniform-10001330,
commander_uniform-20001330,
commander_uniform-10001340,
commander_uniform-20001340,
commander_uniform-10001350,
commander_uniform-20001350,
commander_uniform-10001411,Summer Night's Refreshing Swept-Back Hair
commander_uniform-20001411,A cool//c short haircut for enjoying the summer night. Let the wind kiss your forehead.
commander_uniform-10001412,Moonlight Ornamented Braid
commander_uniform-20001412,An elegant braid for enjoying the summer night. Let the wind kiss your cheeks.
commander_uniform-10001420,Summer Night Festival Headwear
commander_uniform-20001420,We are trying to use hastily - made decorations to deceive the night which has watched us for millennia.
commander_uniform-10001431,Summer Night Yukata Top
commander_uniform-20001431,A light yukata that's easy to wear. It breathes very well.
commander_uniform-10001432,Moonlight Yukata Top
commander_uniform-20001432,A light yukata that's easy to wear. It is decorated with beautiful designs.
commander_uniform-10001440,Moonlight Japanese Paper Lantern
commander_uniform-20001440,The Moon asks the lantern: Since you knew that siding with the humans would make you so weak//c why do you still illuminate them//c oh Sun?
commander_uniform-10001451,Summer Night Geta
commander_uniform-20001451,Use your geta to strike up a beat while chasing dreams tonight.
commander_uniform-10001452,Moonlight Dreamscape Bottom
commander_uniform-20001452,There's no need to chase the night and dreams when you can entice them to stay with beauty.
commander_uniform-10001510,
commander_uniform-20001510,
commander_uniform-10001611,
commander_uniform-20001611,
commander_uniform-10001612,
commander_uniform-20001612,
commander_uniform-10001620,
commander_uniform-20001620,
commander_uniform-10001631,
commander_uniform-20001631,
commander_uniform-10001632,
commander_uniform-20001632,
commander_uniform-10001640,
commander_uniform-20001640,
commander_uniform-10001651,
commander_uniform-20001651,
commander_uniform-10001652,
commander_uniform-20001652,
commander_uniform-10001720,Blood Moon on Halloween - Legendary Headpieces
commander_uniform-20001720,Mysterious headpieces that only appear on Halloween. Apparently//c there is a terrifying legend behind every single one of them...
commander_uniform-10001811,Delicate Curls
commander_uniform-20001811,A meticulously prepared hairstyle. Show everyone a different side of yourself.
commander_uniform-10001812,Energetic Ponytail
commander_uniform-20001812,Tie your hair into a ponytail and reminisce... That energetic class captain who's nerdy//c long-winded//c and violent... I wonder how she's doing now?
commander_uniform-10001820,Party Headdress
commander_uniform-20001820,Finding it hard to fit it? Then throw a party! Put these on and join the fun �C Got it? There are things you'll never notice if you don't approach others.
commander_uniform-10001831,Winter Coat
commander_uniform-20001831,A coat that repels both cold wind and strong enemies. The thick fur gives both warmth and sense of security.
commander_uniform-10001832,Warm Jacket
commander_uniform-20001832,Absolute warmth can be extremely comforting. One must prepare for every possibility before facing a challenge.
commander_uniform-10001840,Surprise To-Be-Delivered
commander_uniform-20001840,Put these gifts over your shoulders and deliver the surprise! But don't throw the sacks... It's a pain to reorganize them.
commander_uniform-10001851,Wear-Resistant Pants
commander_uniform-20001851,First of all//c they are heat-retaining. Second of all, they're durable! You can give it your all no matter where or when//c melting away the cold with your fiery spirit.
commander_uniform-10001852,Winter Shorts
commander_uniform-20001852,Foolhardy people are woeful. Only those with the courage to take challenge head-on are heroes... Perfect with other winter essentials.
commander_uniform-10001911,Refreshing short layered haircut
commander_uniform-20001911,
commander_uniform-10001912,Lively twintails
commander_uniform-20001912,
commander_uniform-10001920,New Year worship headpiece
commander_uniform-20001920,
commander_uniform-10001931,Short mandarin jacket
commander_uniform-20001931,
commander_uniform-10001932,New Year Qipao
commander_uniform-20001932,
commander_uniform-10001940,Auspicious accessories
commander_uniform-20001940,
commander_uniform-10001951,Fleece-lined trousers
commander_uniform-20001951,
commander_uniform-10001952,High heels
commander_uniform-20001952,These high heels have been espcially modified. Your feet won't feel tired even after wearing them for an entire day... Sorry//c did I say "your feet"? That only applies to Dolls.
commander_uniform-10002010,Pickled Head
commander_uniform-20002010,Have you had enough of working so hard? Yearning for a life without perpetual panda eyes? Keep going! Your work will be over soon!
commander_uniform-10002111,
commander_uniform-20002111,
commander_uniform-10002112,
commander_uniform-20002112,
commander_uniform-10002120,
commander_uniform-20002120,
commander_uniform-10002131,
commander_uniform-20002131,
commander_uniform-10002132,
commander_uniform-20002132,
commander_uniform-10002140,
commander_uniform-20002140,
commander_uniform-10002151,
commander_uniform-20002151,
commander_uniform-10002152,
commander_uniform-20002152,
commander_uniform-10002220,Crown of Shared Bounties
commander_uniform-20002220,If you're happy and you know it eat donuts - munch//c munch! If you're doleful and you know it eat ice cream - slurp//c slurp...
