enemy_illustration-10000027,Architect
enemy_illustration-20000027,A loner with high combat prowess that specializes in long-range attacks and fire support. A cheerful and energetic airhead of a girl who's always in high spirits. She isn't particularly antagonistic towards Griffin and doesn't always go out of her way to follow orders from Sangvis Ferri. However//c her passion for bombardment and destruction still makes her a highly dangerous enemy.
enemy_illustration-30000027,This enemy deals high damage to flagged positions and splash damage to nearby units. Make sure you move your T-Dolls in time to evade her attacks.
enemy_illustration-10000005,Scarecrow
enemy_illustration-20000005,A Sangvis specialized in gathering and analyzing intelligence. She isn't the best in direct confrontations//c which earns her little respect among Sangvis Dolls. Rational//c curt//c and dutiful//c she despises sentimentality and looks down on emotional Griffin Dolls who blindly follow their orders.
enemy_illustration-30000005,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000045,Agent
enemy_illustration-20000045,In charge of liaising between Elisa and her Sangvis subordinates as well as logistics management. As a high-ranking unit adept at both combat and tactics//c she's able to command all Dolls in combat//c and they all directly answer to her. Calm and composed//c she always speaks in a courteous tone to friends and foes alike. However//c apart from the genuine respect she has for her master//c she holds everyone else in low regard//c especially Griffin.
enemy_illustration-30000045,When this unit activates her shield//c penetrate it by concentrating your fire to stop her high-damage attack from charging.
enemy_illustration-10000008,Executioner
enemy_illustration-20000008,An elite scout who often partners with Scarecrow but is slightly higher in rank. A rough-mannered and impulsive tomboy who takes delight in fair fights and dislikes bullying the weak.
enemy_illustration-30000008,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000020,Executioner Elite
enemy_illustration-20000020,An elite Sangvis Doll who prefers direct confrontations to tactical maneuvers. Now wields an improved long blade that enhances her close-quarter combat prowess. Takes delight in fair fights and dislikes bullying the weak.
enemy_illustration-30000020,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000011,Hunter
enemy_illustration-20000011,Highly flexible and intelligent//c she is adept at sabotage and tactical pursuit//c though her true power can only manifest when working with Scarecrow and Executioner. Stoic and cool-headed//c she enjoys cornering her enemies and capturing them alive. Despite feeling superior to Griffin Dolls//c she considers herself above using underhanded tactics against them.
enemy_illustration-30000011,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000019,Hunter Elite
enemy_illustration-20000019,An elite Sangvis Doll with high flexibility and intelligence who specializes in sabotage and tactical pursuit. Her processor has undergone a vast upgrade over its original specs//c allowing her to skillfully use various methods to cut off her enemies' escape.
enemy_illustration-30000019,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000017,Intruder
enemy_illustration-20000017,In charge of providing battle strategies//c yet also adept at decryption and sabotage. Relatively high in rank//c she can directly issue commands to combat Dolls but answers to Gager. Her apparent poise and soft-spokenness mask a gaping sense of emptiness. She enjoys human theater and hopes to derive her own personality from it.
enemy_illustration-30000017,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000026,Gager
enemy_illustration-20000026,Mostly in charge of issuing commands and deploying units. Relatively high in rank//c she is in command of combat units//c yet is quite adept at combat herself. Answers directly to Agent. Serious//c uptight//c and meticulous//c she always appears cool and businesslike both in speech and action. She holds herself to a code of honor even against her enemies.
enemy_illustration-30000026,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000023,Alchemist
enemy_illustration-20000023,A Sangvis elite who specializes in all kinds of tactics and interrogations. Occasionally teams up with Destroyer. Arrogant//c brash//c and ruthless//c she will do anything to achieve her goals. She has a sadistic streak and toys with Griffin Dolls to satisfy her perverse tendencies. However//c her mental maturity still compels her to go the extra mile for her Sangvis companions.
enemy_illustration-30000023,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000035,Judge
enemy_illustration-20000035,Command-oriented and responsible for Sangvis Ferri HQ's defense and security systems. She is essentially Elisa's bodyguard and only obeys Elisa's personal orders. A Doll created after the Butterfly Incident. Having to deal with Dreamer's antics every day gives her a headache. Stern and old-fashioned//c she possesses a soldier's dignity and bearing. She is absolutely loyal to Elisa//c but her short stature doesn't make her very imposing to most people. Anyone who points that out will suffer terribly//c friend or foe.
enemy_illustration-30000035,This unit has a high rate of fire and attacks multiple targets simultaneously//c but only deals moderate damage. Shotgun Dolls are recommended to provide adequate armor. Be sure to move out of purple areas in time to avoid taking continuous damage and getting debuffed.
enemy_illustration-10000018,Destroyer
enemy_illustration-20000018,An expert in blowing things up and disarming bombs who also possesses decent combat abilities. Occasionally teams up with Alchemist. She's usually haughty and sharp-tongued//c but is actually a tsundere with a somewhat childish temper. She cries under pressure and is very sensitive about her height.
enemy_illustration-30000018,This unit deals incredibly high single-target damage but has a low rate of fire and mediocre accuracy. T-Dolls with high evasion provide better defense against her.
enemy_illustration-10000034,Destroyer Plus
enemy_illustration-20000034,Destroyer's brand new form after having her body modified by Dreamer sees a massive increase in firepower//c though her personality and mental age haven't changed much.
enemy_illustration-30000034,This unit deals high damage to flagged positions. Be sure to move your Dolls away in time to evade her attack.
enemy_illustration-10000024,Dreamer
enemy_illustration-20000024,Combat-oriented and possesses ultra long-range pinpoint sniping capability. A Doll created after the Buttlerfly Incident who answers directly to Elisa. Since she isn't designed to engage enemies directly//c she spends most of her time hanging around Sangvis Ferri HQ and bullying Judge for her own amusement. Her charming smile is a flimsy disguise for her arrogance and capriciousness. She is extremely mentally unstable and egotistical//c and is prone to becoming frenzied and losing control in battle. She has formidable destructive power and will often disregard her allies' safety. Fortunately//c she rarely ever appears in direct combat.
enemy_illustration-30000024,This unit can fire from long range. Take your units' moving speed into consideration to prevent heavy losses suffered from spending too much time in motion.
enemy_illustration-10000021,Ouroboros
enemy_illustration-20000021,An intelligent Doll created after the Butterfly Incident with high combat capabilities//c specializing in short-range assaults and defensive battles. But as the test subject in the developmental phase//c her AI is very unstable and difficult to control. Possessing an overwhelming tactical and intellectual advantage over others//c she is very self-assured and conceited//c but she has little actual combat experience and is too unpredictable even for her allies//c which makes her highly dangerous.
enemy_illustration-30000021,This unit deals high damage to flagged positions. Be sure to move your Dolls away in time to evade her attack.
enemy_illustration-10000022,Ouroboros Elite
enemy_illustration-20000022,A high-spec elite Sangvis Doll adept at combat and tactical simulations. With extremely good performance in every aspect//c she is an all-rounder on the battlefield. Having acquired a myriad of combat data//c her capabilities have improved even further. She is very self-assured and conceited...but has little actual combat experience and is too unpredictable even for her allies//c so having her join the fray comes with its own risks.
enemy_illustration-30000022,This unit deals high damage to flagged positions. Be sure to move your Dolls away in time to evade her attack.
enemy_illustration-10000033,Cerberus
