furniture_establish-10010001,Rescue Station Wallpaper
furniture_establish-20010001,Rescue Station Wallpaper
furniture_establish-10010002,Rescue Station Floor
furniture_establish-20010002,Rescue Station Floor
furniture_establish-10010005,Red Cross
furniture_establish-20010005,Red Cross
furniture_establish-10010006,Translucent Screen
furniture_establish-20010006,Translucent Screen
furniture_establish-10010007,Rescue Station Light
furniture_establish-20010007,Rescue Station Light
furniture_establish-10010100,Dusty Workbench
furniture_establish-20010100,A workbench that looks like it hasn't been used for a long time. A few repairs and we can start rescuing stray animals wandering in the wastelands.
furniture_establish-10010101,Simple Workbench
furniture_establish-20010101,Installed a microscope for Commanders with poor eyesight and a computer for easy referencing of medical information. Please remember to disinfect your hands before operations.
furniture_establish-10010102,Simple Workbench
furniture_establish-20010102,Installed a microscope for Commanders with poor eyesight and a computer for easy referencing of medical information. Please remember to disinfect your hands before operations.
furniture_establish-10010103,Simple Workbench
furniture_establish-20010103,Installed a microscope for Commanders with poor eyesight and a computer for easy referencing of medical information. Please remember to disinfect your hands before operations.
furniture_establish-10010104,Simple Workbench
furniture_establish-20010104,Installed a microscope for Commanders with poor eyesight and a computer for easy referencing of medical information. Please remember to disinfect your hands before operations.
furniture_establish-10010105,Simple Workbench
furniture_establish-20010105,Installed a microscope for Commanders with poor eyesight and a computer for easy referencing of medical information. Please remember to disinfect your hands before operations.
furniture_establish-10010106,Multifunctional Workbench
furniture_establish-20010106,The upgraded workbench now features advanced status monitoring systems. We can now perform more difficult surgeries.
furniture_establish-10010107,Multifunctional Workbench
furniture_establish-20010107,The upgraded workbench now features advanced status monitoring systems. We can now perform more difficult surgeries.
furniture_establish-10010108,Multifunctional Workbench
furniture_establish-20010108,The upgraded workbench now features advanced status monitoring systems. We can now perform more difficult surgeries.
furniture_establish-10010109,Multifunctional Workbench
furniture_establish-20010109,The upgraded workbench now features advanced status monitoring systems. We can now perform more difficult surgeries.
furniture_establish-10010110,State-of-the-Art Workbench
furniture_establish-20010110,Griffin's most advanced workbench is equipped with large shadowless lamps and automated surgical tools. Even the most reckless Commanders can be treated with this.
furniture_establish-10010200,Dusty Cat Bed
furniture_establish-20010200,An abandoned cat bed. It just needs a bit of washing so that the cats can use it again.
furniture_establish-10010201,Plain Cat Bed
furniture_establish-20010201,After meticulously preparing the cat bed//c the Commander is heartbroken to find that the cats prefer to sleep in the cardboard boxes for storing ammo. "Get rid of all those boxes!"
furniture_establish-10010202,Plain Cat Bed
furniture_establish-20010202,After meticulously preparing the cat bed//c the Commander is heartbroken to find that the cats prefer to sleep in the cardboard boxes for storing ammo. "Get rid of all those boxes!"
furniture_establish-10010203,Plain Cat Bed
furniture_establish-20010203,After meticulously preparing the cat bed//c the Commander is heartbroken to find that the cats prefer to sleep in the cardboard boxes for storing ammo. "Get rid of all those boxes!"
furniture_establish-10010204,Plain Cat Bed
furniture_establish-20010204,After meticulously preparing the cat bed//c the Commander is heartbroken to find that the cats prefer to sleep in the cardboard boxes for storing ammo. "Get rid of all those boxes!"
