gift_item-10000001,Pumpkin Mishka
gift_item-20000001,Unlocks a new costume for your T-Doll
gift_item-30000001,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000002,Kitty Paws
gift_item-20000002,Unlocks a new costume for your T-Doll
gift_item-30000002,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000003,Nocturnal Familiar
gift_item-20000003,Unlocks a new costume for your T-Doll
gift_item-30000003,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000004,Candy Express
gift_item-20000004,Unlocks a new costume for your T-Doll
gift_item-30000004,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000005,Classic Witch
gift_item-20000005,Unlocks a new costume for your T-Doll
gift_item-30000005,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000006,Haunted Castle
gift_item-20000006,Unlocks a new costume for your T-Doll
gift_item-30000006,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000007,Carmilla
gift_item-20000007,Unlocks a new costume for your T-Doll
gift_item-30000007,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000008,Impish Sweetheart
gift_item-20000008,Unlocks a new costume for your T-Doll
gift_item-30000008,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000009,Neet Zombie
gift_item-20000009,Unlocks a new costume for your T-Doll
gift_item-30000009,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000010,Huntress' Frock
gift_item-20000010,Unlocks a new costume for your T-Doll
gift_item-30000010,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000011,Witch from Afar
gift_item-20000011,Unlocks a new costume for your T-Doll
gift_item-30000011,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000101,Dorky Sleepyhead
gift_item-20000101,Unlocks a new costume for your T-Doll
gift_item-30000101,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000102,Bunny Girl
gift_item-20000102,Unlocks a new costume for your T-Doll
gift_item-30000102,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000103,Boisterous Rogue
gift_item-20000103,Unlocks a new costume for your T-Doll
gift_item-30000103,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000104,Water Gown
gift_item-20000104,Unlocks a new costume for your T-Doll
gift_item-30000104,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000105,Weekend Cop
gift_item-20000105,Unlocks a new costume for your T-Doll
gift_item-30000105,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000106,Party Sweetheart
gift_item-20000106,Unlocks a new costume for your T-Doll
gift_item-30000106,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000301,Wish Upon A Star
gift_item-20000301,Unlocks a new costume for your T-Doll
gift_item-30000301,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000302,O Holy Night
gift_item-20000302,Unlocks a new costume for your T-Doll
gift_item-30000302,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000303,Xmas Parade
gift_item-20000303,Unlocks a new costume for your T-Doll
gift_item-30000303,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000304,Xmas At Home
gift_item-20000304,Unlocks a new costume for your T-Doll
gift_item-30000304,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000305,Winter Fairy
gift_item-20000305,Unlocks a new costume for your T-Doll
gift_item-30000305,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000306,Date in the Snow
gift_item-20000306,Unlocks a new costume for your T-Doll
gift_item-30000306,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000307,Xmas Reindeer
gift_item-20000307,Unlocks a new costume for your T-Doll
gift_item-30000307,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000308,Winter Supply
gift_item-20000308,Unlocks a new costume for your T-Doll
gift_item-30000308,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000309,Crimson Guardian
gift_item-20000309,Unlocks a new costume for your T-Doll
gift_item-30000309,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000310,Korvatunturi Pixie
gift_item-20000310,Unlocks a new costume for your T-Doll
gift_item-30000310,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10100001,Lollipop
gift_item-20100001,N/A
gift_item-30100001,Gift this item to a T-Doll in your dormitory to increase her Affection by a tiny amount.
gift_item-10100002,Ice Cream Cone
gift_item-20100002,N/A
gift_item-30100002,Gift this item to a T-Doll in your dormitory to increase her Affection by a small amount.
gift_item-10100003,Strawberry Custard Cheesecake
gift_item-20100003,N/A
gift_item-30100003,Gift this item to a T-Doll in your dormitory to increase her Affection by 1 point.
gift_item-10100004,Irreversible Fate
gift_item-20100004,
gift_item-30100004,Gift in Dorm to increase T-Doll Affection by 3 points.
gift_item-10100005,Mulan Tea
gift_item-20100005,
gift_item-30100005,Gift in Dorm to increase T-Doll Affection by 3 points.
gift_item-10100006,Magic of Happiness
gift_item-20100006,
gift_item-30100006,Gift in Dorm to increase T-Doll Affection by 3 points.
gift_item-10000401,Scarlet Sage
gift_item-20000401,Unlocks a new costume for your T-Doll
gift_item-30000401,Gift this item to Type56-1 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000402,Sunflower
gift_item-20000402,Unlocks a new costume for your T-Doll
gift_item-30000402,Gift this item to MP-446 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000403,Chrysanthemum
gift_item-20000403,Unlocks a new costume for your T-Doll
gift_item-30000403,Gift this item to NZ75 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000404,Cyclamen
gift_item-20000404,Unlocks a new costume for your T-Doll
gift_item-30000404,Gift this item to M99 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000405,Narcissus
gift_item-20000405,Unlocks a new costume for your T-Doll
gift_item-30000405,Gift this item to Type95 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000406,Peony
gift_item-20000406,Unlocks a new costume for your T-Doll
gift_item-30000406,Gift this item to Type97 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000407,Fairy Primrose
gift_item-20000407,Unlocks a new costume for your T-Doll
gift_item-30000407,Gift this item to Type59 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000501,Lord of War
gift_item-20000501,Unlocks a new costume for your T-Doll
gift_item-30000501,Gift this item to AK-47 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000408,Romantic Mission
gift_item-20000408,Unlocks a new costume for your T-Doll
gift_item-30000408,Gift this item to PTRD in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000409,"Am I Late?"
gift_item-20000409,Unlocks a new costume for your T-Doll
gift_item-30000409,Gift this item to UMP9 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000410,"Just This Time."
gift_item-20000410,Unlocks a new costume for your T-Doll
