gun_tag-10000101,Front Row
gun_tag-20000101,This T-Doll has relatively high durability and is suitable for placement in the front row.
gun_tag-10000102,Back Row
gun_tag-20000102,This T-Doll has relatively low durability and is recommended for placement in the back row.
gun_tag-10000103,High DPS
gun_tag-20000103,This T-Doll has relatively high DPS and can deal a lot of damage in combat.
gun_tag-10000104,Tanky
gun_tag-20000104,This T-Doll has relatively high durability and can take a lot of damage in combat.
gun_tag-10000105,Support
gun_tag-20000105,This T-Doll has the ability to strengthen allies' durability and/or damage.
gun_tag-10000106,Armor Piercing
gun_tag-20000106,This T-Doll can be effective against armored enemies by equipping armor piercing equipment.
gun_tag-10000107,Night Battle
gun_tag-20000107,This T-Doll can be equipped with night battle equipment to improve accuracy at night.
gun_tag-10000108,High Evasion
gun_tag-20000108,This T-Doll has high evasion stats and can avoid enemy attacks.
gun_tag-10000109,Strong Armor
gun_tag-20000109,This T-Doll has high armor stats and can effectively reduce non-piercing damage from enemies.
gun_tag-10000110,High Damage
gun_tag-20000110,This T-Doll has high damage stats and can deal considerable damage to enemies.
gun_tag-10000111,High RoF
gun_tag-20000111,This T-Doll has high rate of fire stats and can deal many hits to enemies.
gun_tag-10000112,High HP
gun_tag-20000112,This T-Doll has high HP stats and can withstand a lot of damage.
gun_tag-10000113,High Crit Rate
gun_tag-20000113,This T-Doll has a high crit rate and can often deal critical damage to enemies.
gun_tag-10000115,High Mobility
gun_tag-20000115,This T-Doll has high mobility in combat and can easily avoid enemies' telegraphed skills.
gun_tag-10000116,Low Mobility
gun_tag-20000116,This T-Doll has low mobility in combat and cannot easily avoid enemies' telegraphed skills.
gun_tag-10000114,Strong Formation Buff
gun_tag-20000114,This T-Doll has strong formation buffs that can provide outstanding support to allies.
gun_tag-10000138,Exclusive Equipment
gun_tag-20000138,This T-Doll has powerful exclusive equipment that can greatly enhance combat performance.
gun_tag-10000117,Burst Damage
gun_tag-20000117,This T-Doll can output a great deal of damage for a short period of time upon skill activation.
gun_tag-10000118,Continuous Damage
gun_tag-20000118,This T-Doll can output considerable damage over a long period of time upon skill activation.
gun_tag-10000119,Single Target Damage
gun_tag-20000119,This T-Doll can deal high damage against a single enemy with normal attacks or skills.
gun_tag-10000120,Multi-Target Damage
gun_tag-20000120,This T-Doll can deal damage against multiple enemies with normal attacks or skills.
gun_tag-10000121,AoE Damage
gun_tag-20000121,This T-Doll can deal damage against enemies within a certain area with normal attacks or skills.
gun_tag-10000122,Damage Immunity
gun_tag-20000122,This T-Doll becomes immune to damage for a short period of time upon skill activation.
gun_tag-10000123,Stun
gun_tag-20000123,This T-Doll's skill can stun enemies.
gun_tag-10000124,Pierce
gun_tag-20000124,This T-Doll's skill can deal damage that pierces through enemies in a line.
gun_tag-10000125,Knockback
gun_tag-20000125,This T-Doll's normal attacks or skills can knockback enemies.
gun_tag-10000126,Back Line Priority
gun_tag-20000126,This T-Doll's normal attacks or skills will prioritize back line enemies.
gun_tag-10000127,Buff Damage
gun_tag-20000127,This T-Doll can enhance allies' damage.
gun_tag-10000128,Buff Evasion
gun_tag-20000128,This T-Doll can enhance allies' evasion.
gun_tag-10000129,Buff Accuracy
gun_tag-20000129,This T-Doll can enhance allies' accuracy.
gun_tag-10000130,Buff RoF
gun_tag-20000130,This T-Doll can enhance allies' rate of fire.
gun_tag-10000131,Buff Crit Rate
gun_tag-20000131,This T-Doll can enhance allies' crit rate.
gun_tag-10000132,Debuff Damage
gun_tag-20000132,This T-Doll can reduce enemies' damage.
gun_tag-10000133,Debuff Evasion
gun_tag-20000133,This T-Doll can reduce enemies' evasion.
gun_tag-10000134,Debuff Accuracy
gun_tag-20000134,This T-Doll can reduce enemies' accuracy.
gun_tag-10000135,Debuff RoF
gun_tag-20000135,This T-Doll can reduce enemies' rate of fire.
gun_tag-10000136,Night Skill
gun_tag-20000136,This T-Doll has a powerful nighttime skill and can greatly improve night combat performance.
gun_tag-10000137,Damage Multiplier
gun_tag-20000137,This T-Doll's skill can cause an enemy to take increased damage from all sources for a short period of time.
