item-10000001,T-Doll Contract
item-20000001,Contract used to produce T-Dolls.
item-10000002,Equipment Contract
item-20000002,Contract used to produce equipment.
item-10000003,Quick Production Contract
item-20000003,Used to prioritize the manufacturing of selected T-Doll or equipment//c it can instantly complete the current production.
item-10000004,Quick Repair Contract
item-20000004,Used to prioritize the maintenance of selected T-Doll//c it can instantly complete the current repairs.
item-10000005,Daily Pause Permit
item-20000005,Daily Pause Permit
item-10000006,Auto-Battle Permit
item-20000006,Auto-Battle Permit
item-10000007,Oath Certificate
item-20000007,A proof of Oath established between a commander and a cherished T-Doll//c granting each other more authorization and greater responsibility.
item-10000008,Quick Training Contract
item-20000008,Used to prioritize the drilling of selected T-Doll//c it can instantly complete the current training.
item-10000009,Enhancement Capsule
item-20000009,All four attributes of a T-Doll will be enhanced by 1 point after use. Portions of the points in capped stats will be applied to other unfilled attributes. "There are a variety of flavors to choose from."
item-10000010,Dummy Core
item-20000010,Used as the control module for Dummy Links. "It can only be ejected with the owner's permission//c which has also become the oppression of robots."
item-10000011,Key Card
item-20000011,Used to exchange for a random number during the event.
item-10000012,Points
item-20000012,Used to pick a specific number during the event.
item-10000013,Name Change Card
item-20000013,A card for changing your name. "An opportunity for everyone (including yourself) to see you in a new light."
item-10000014,Original Sample
item-20000014,Analyzing this sample will yield chips or HOC fragments. "Will it be the same result this time? Perhaps what we lack is a bit of inspiration."
item-10000015,Pure Sample
item-20000015,Analyzing this sample will yield chips or HOC fragments. Pure Samples tend to yield better results. "At least this one looks clearer."
item-10000016,Quick Analysis Contract
item-20000016,Complete all current data sample analyses in one go. "Due to the dealer's personal interest//c please include a photograph of a real cat as part of the payment for this contract."
item-10000017,Data Patch
item-20000017,For upgrading HOC. Obtainable through dismantling max-levelled HOC. "'When I walk along with two others//c they may serve as my teachers//c' so...'Bye//c teachers.'"
item-10000031,Basic Training Data
item-20000031,Obtained through Combat Simulation//c it can be used in low level Skill Training.
item-10000032,Intermediate Training Data
item-20000032,Obtained through Combat Simulation//c it can be used in intermediate level Skill Training.
item-10000033,Advanced Training Data
item-20000033,Obtained through Combat Simulation//c it can be used in high level Skill Training.
item-10000041,Token
item-20000041,Special currency used for purchasing furniture and costumes. "These mysterious coins have once been suspected of being the source of inspiration for designer T-Dolls."
item-10000042,Exchange Ticket
item-20000042,The more you buy//c the more free stuff you get! IOP//c what a wonderful enterprise with its clients' interests at heart.
item-10000043,Black Card
item-20000043,You now have the premium cards that only the elites were able to apply for. It grants you the privilege of being able to directly order specific Costumes.
item-10000044,Calibration Ticket
item-20000044,Currency used to perform Equipment Calibration. Doesn't look like it's worth any money.
item-10000045,Memory Fragment
item-20000045,Griffin releases yet another report on T-Doll rights: "You want me to be free//c but all I just want is ice cream."
item-10000046,Special Combat Report
item-20000046,For upgrading HOC. "I hope everyone can take away the best lesson from this. You gain more experience from failures than successes."
item-10000047,Theater Material
item-20000047,
item-10000048,Three types of Training Data
item-20000048,
item-10000049,
item-20000049,
item-10000050,Universal Parts
item-20000050,Recycled parts from T-Dolls during pre-mission maintenance. They can be used for equipment enhancement after a little cleaning and processing. Kalina and the Commander are very pleased with this process and have given praise to the T-Doll that suggested it//c but it seems that they didn't give her a raise.
item-10000051,New Type Fire-Control Component
item-20000051,In response to the Commander's request//c IOP has specially developed this enhancement component for advanced T-Dolls with sufficient room for development. Stock is limited since this product has not yet entered mass production//c so please exercise careful consideration when deciding on who to give this to.
item-10000100,Elite Griffin Combat Medal
item-20000100,Awarded to the Commander and the T-Dolls under their command to commend their unique and outstanding service. "Rest assured//c there won't be a next time//c just like the World Wars."
item-10000101,Combat Ranking Medal
item-20000101,An extraordinary award for Commanders who achieve outstanding perfomance in <color=#ffb400>Theater</color>.
item-10000102,Collection Ranking Medal
item-20000102,An extraordinary award for Commanders who achieve outstanding perfomance in <color=#ffb400>T-Doll Collection</color> and <color=#ffb400>Furniture Collection</color>.
item-10000103,Challenger Medal
item-20000103,An extraordinary award for Commanders who have shown outstanding effort in special events like the Carnival. "You've worked hard//c Commander. Let's have some exercise to relax."
item-10000104,Elite Adventurer Medal
item-20000104,To commemorate the extraordinary adventures of the Commander and T-Dolls of Griffin.
item-10000301,Central Data: BGM-71
