mission_hurt_config-10000001,【标记】地雷爆炸伤害
mission_hurt_config-10000002,【标记】空骑妖精伤害
mission_hurt_config-10000008,【标记】增援妖精负数伤害
mission_hurt_config-10001002,【标记】棱镜妖精伤害
mission_hurt_config-10900003,【标记】污染源伤害
mission_hurt_config-10900007,【标记】支援小队专用伤害
mission_hurt_config-11000004,【标记】通用伤害(对敌人)
mission_hurt_config-11000005,【标记】通用关门伤害(对我方/人质)
mission_hurt_config-11000006,【标记】通用爆破伤害(对我方/人质)
mission_hurt_config-11000010,【标记】通用爆破伤害(对设施)
mission_hurt_config-11000028,【标记】污染源伤害(对我方/人质)(秃洞版-回合)
mission_hurt_config-11000048,【标记】污染源伤害(对我方/人质)(秃洞版-移动)
mission_hurt_config-11000049,【标记】大楼倒塌伤害(对大楼)
mission_hurt_config-11000050,【标记】大楼倒塌伤害(对单位)
mission_hurt_config-11000051,【标记】大楼倒塌伤害(对友方)
mission_hurt_config-11000052,【标记】大楼倒塌伤害(对敌方)
mission_hurt_config-11000055,【标记】【对设施】爆破伤害_半伤
mission_hurt_config-11000064,【标记】通用爆破伤害(对设施)
mission_hurt_config-18120701,【标记】大楼倒塌伤害(对大楼)
mission_hurt_config-19337202,【标记】【对重装】毒圈伤害_半伤
mission_hurt_config-19334951,【标记】即死伤害(对我方)
mission_hurt_config-19362003,【标记】剧情歌利亚15%固定伤害
mission_hurt_config-19362015,【标记】剧情BGM20%固定伤害
mission_hurt_config-19362024,【标记】剧情冲水25%固定伤害
mission_hurt_config-19130610,【标记】ally秒杀
