npc_charavoice-10000001,Greeting
npc_charavoice-10000002,Talk 1
npc_charavoice-10000003,Talk 2
npc_charavoice-10000004,Talk 3
npc_charavoice-10000005,Talk 4
npc_charavoice-10000006,Talk 5
npc_charavoice-10000007,Talk 6
npc_charavoice-10000008,Talk 7
npc_charavoice-10000009,Talk 8
npc_charavoice-10000010,Talk 9
npc_charavoice-10000011,Talk 10
npc_charavoice-10000012,Production complete
npc_charavoice-10000013,New Year
npc_charavoice-10000014,Valentine's Day
npc_charavoice-10000015,Qixi Festival
npc_charavoice-10000016,Halloween
npc_charavoice-10000017,Christmas
npc_charavoice-10000018,Good morning
npc_charavoice-10000019,Good afternoon
npc_charavoice-10000020,Good afternoon
npc_charavoice-10000021,Good evening
npc_charavoice-10000022,Early morning greeting
npc_charavoice-10000023,Breakfast time
npc_charavoice-10000024,Lunch time
npc_charavoice-10000025,Dinner time
npc_charavoice-10000026,Late night supper time
npc_charavoice-10000027,R&R time
npc_charavoice-10000028,Griffin contribution unlocked line 1
npc_charavoice-10000029,Griffin contribution unlocked line 2
npc_charavoice-10000030,Griffin contribution unlocked line 3
npc_charavoice-10000031,Griffin contribution unlocked line 4
npc_charavoice-10000032,Griffin contribution unlocked line 5
npc_charavoice-10000033,Griffin contribution unlocked line 6
npc_charavoice-10000034,Griffin contribution unlocked line 7
npc_charavoice-10000035,Griffin contribution unlocked line 8
npc_charavoice-10000036,Griffin contribution unlocked line 9
npc_charavoice-10000037,Griffin contribution unlocked line 10
npc_charavoice-10000038,Griffin contribution unlocked line 11
npc_charavoice-10000039,Griffin contribution unlocked line 12
npc_charavoice-10000040,Griffin contribution unlocked line 13
npc_charavoice-10000041,Griffin contribution unlocked line 14
npc_charavoice-10000042,Griffin contribution unlocked line 15
