sangvis_chip-10001001,夜战视野
sangvis_chip-20001001,夜间作战时//c额外为梯队提供1格视野。
sangvis_chip-10001002,夜视能力
sangvis_chip-20001002,夜间作战时//c抵消100%夜战命中惩罚。
sangvis_chip-10001003,鬼影姿态
sangvis_chip-20001003,梯队每回合第1次移动时不消耗行动点。
sangvis_chip-10001004,充足燃料
sangvis_chip-20001004,梯队可额外携带2份弹药口粮。
sangvis_chip-10002004,快速补给
sangvis_chip-20002004,为相邻我方梯队呼叫空投补给。
sangvis_chip-10003001,弱化
sangvis_chip-20003001,降低自身2格范围内敌方梯队12%伤害
sangvis_chip-10003002,斗魂
sangvis_chip-20003002,提高自身3格范围内友方梯队6%伤害。
sangvis_chip-10003003,孤狼
sangvis_chip-20003003,自身一格范围内没有友方时//c提升自身梯队10%伤害。
sangvis_chip-10003004,坚守
sangvis_chip-20003004,位于我方占领点位时//c提升自身梯队100%回避和50%护甲。
