skin_group-10000002,Weirder Things
skin_group-20000002,Halloween is coming. Behind the fanciful and mysterious costume party lurks the undercurrent of horror. Will the Commander be able to identify the culprits in time and defuse the crisis that is to befall the parade event?
skin_group-10000003,Fatal Performance
skin_group-20000003,Thanks to Contender's connections//c the Commander was invited to a grand opera performance. However//c behind the gorgeous stage lies a dangerous murderous intent. What will prove to be fatal against the Commander? A deadly ambush? Or the T-Dolls in costumes?
skin_group-10000001,Santa Claus Hunt
skin_group-20000001,Griffin is about to celebrate its first Christmas//c and while everyone is busy with the feast and entertainment program//c several dangerous T-Dolls are hatching a crazy plan…
skin_group-10000004,Year of Memories
skin_group-20000004,When the Eastern T-Dolls are out of the base//c how can those left behind at Griffin recreate an authentic celebration of the magnificent Spring Festival? After unexpected commotions//c the new year will surely be better... Probably.
skin_group-10000005,Honey Sweet Moment
skin_group-20000005,The T-Dolls who took on an ad shoot mission reveal a rarely seen side of themselves. Will the moment of wearing a wedding dress be a special memory for them?
skin_group-10000006,Anniversary Party
skin_group-20000006,Compared to Griffin's anniversary banquet//c the internal party is certainly more relaxing. On this night of commemoration//c I'm sure the Commander wouldn't mind if we're a bit rowdy//c right?
skin_group-10000007,Unstealable Gems
skin_group-20000007,The Commander and T-Dolls receive a special mission on the anniversary day. The gems to be guarded by everyone are not so easy to steal. The same goes for memories.
skin_group-10000008,Maid Training Camp
skin_group-20000008,In order to undertake an important mission//c the T-Dolls are going through additional special training. Although there may be some surprises along the way to becoming an exemplary maid//c it shouldn't be too much trouble for them...right?
skin_group-10000009,Baywatch
skin_group-20000009,The T-Dolls at Griffin are unexpectedly given a short and peaceful summer vacation//c but the beach might be more than what it seems... Will the T-Dolls really be able to enjoy this "peaceful" vacation?
skin_group-10000010,Witch's Forest
skin_group-20000010,On Halloween//c in the corner of an obscure warehouse//c the scary campaign made up by several Griffin Dolls has accidentally opened a portal to an alternate reality? Is this a ghostly prank or the manifestation of Dollkind's twisted nature?
skin_group-10000011,Christmas Eve Express
skin_group-20000011,On Christmas Eve//c Five-seven grudgingly took over the job of delegating human resources for the event after Gr G36's accident. Will her last-minute eccentric recruits be up to the task? Or are they all preoccupied with their own thoughts during the mission?
skin_group-10000012,Operation New Year Visit
skin_group-20000012,To welcome the imminent Spring Festival//c the base is preparing for an unprecedented operation - New Year Visit! Will this millennium-old tradition be successfully upheld at Griffin? Or maybe the question is...which T-Dolls will be dragged into this whirlpool of fiery//c lively turmoil?
skin_group-10000013,Gun & Rose
skin_group-20000013,Due to a case//c several T-Dolls get the unusual opportunity to put on a wedding dress. How do they feel during the days spent away from the familiar gunfire and smoke?
skin_group-10000014,Night of Sweetness and Surprise
skin_group-20000014,As we celebrate our anniversary//c the Griffin Dolls are invited to a cocktail party filled with desserts. It was going to be a calm and relaxing night//c but thanks to two unexpected guests//c it turned into a hilarious and thrilling experience.
skin_group-10000015,Operation Mermaid
skin_group-20000015,The beach getaway (read "Mermaid Investigation") is full of unexpected peril. Why is the beach covered in traces of violence? What role does the mysterious manuscript play?
skin_group-10000016,Night of the Danse Macabre
skin_group-20000016,Griffin has finally organized a test of courage after overcoming many obstacles. But unbeknownst to the chattering girls//c a mysterious figure is lurking in the dark. What exactly is "she" after...?
skin_group-10000017,
skin_group-20000017,
