theater_area-10000411,Normal Map
theater_area-20000411,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000412,Normal Map
theater_area-20000412,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000413,Normal Map
theater_area-20000413,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000414,Stronghold Map
theater_area-20000414,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000415,Normal Map
theater_area-20000415,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000416,Normal Map
theater_area-20000416,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000417,Normal Map
theater_area-20000417,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000418,Stronghold Map
theater_area-20000418,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000421,Normal Map
theater_area-20000421,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000422,Normal Map
theater_area-20000422,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000423,Normal Map
theater_area-20000423,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000424,Stronghold Map
theater_area-20000424,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000425,Normal Map
theater_area-20000425,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000426,Normal Map
theater_area-20000426,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000427,Normal Map
theater_area-20000427,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000428,Stronghold Map
theater_area-20000428,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000431,Normal Map
theater_area-20000431,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000432,Normal Map
theater_area-20000432,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000433,Stronghold Map
theater_area-20000433,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000434,Normal Map
theater_area-20000434,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000435,Normal Map
theater_area-20000435,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000436,Stronghold Map
theater_area-20000436,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000437,Normal Map
theater_area-20000437,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000438,Stronghold Map
theater_area-20000438,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000441,Normal Map
theater_area-20000441,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000442,Normal Map
theater_area-20000442,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000443,Stronghold Map
theater_area-20000443,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000444,Normal Map
theater_area-20000444,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000445,Normal Map
theater_area-20000445,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000446,Stronghold Map
theater_area-20000446,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000447,Normal Map
theater_area-20000447,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000448,Stronghold Map
theater_area-20000448,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000511,Normal Map
theater_area-20000511,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000512,Normal Map
theater_area-20000512,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000513,Normal Map
theater_area-20000513,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000514,Stronghold Map
theater_area-20000514,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000515,Normal Map
theater_area-20000515,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000516,Normal Map
theater_area-20000516,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000517,Normal Map
theater_area-20000517,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000518,Stronghold Map
theater_area-20000518,These blood-soaked hills are the first obstacle in our way forward. We must seize this area and set up a base here for the next stage of our offensive.
theater_area-10000521,Normal Map
theater_area-20000521,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000522,Normal Map
theater_area-20000522,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000523,Normal Map
theater_area-20000523,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000524,Stronghold Map
theater_area-20000524,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000525,Normal Map
theater_area-20000525,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000526,Normal Map
theater_area-20000526,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000527,Normal Map
theater_area-20000527,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000528,Stronghold Map
theater_area-20000528,To start off//c we've decided to extend the battlefront and surround our target. However//c enemy artillery is so heavy it's like an endless thunderstorm echoing through the skies above the battlefield.
theater_area-10000531,Normal Map
theater_area-20000531,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000532,Normal Map
theater_area-20000532,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000533,Stronghold Map
theater_area-20000533,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000534,Normal Map
theater_area-20000534,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000535,Normal Map
theater_area-20000535,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000536,Stronghold Map
theater_area-20000536,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000537,Normal Map
theater_area-20000537,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000538,Stronghold Map
theater_area-20000538,The battle has finally come to the final stage//c but this last step is also the hardest. We'll either win or fall into the depths of hell. It all depends on our next move.
theater_area-10000541,Normal Map
theater_area-20000541,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000542,Normal Map
theater_area-20000542,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000543,Stronghold Map
theater_area-20000543,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000544,Normal Map
theater_area-20000544,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000545,Normal Map
theater_area-20000545,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000546,Stronghold Map
theater_area-20000546,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000547,Normal Map
theater_area-20000547,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
theater_area-10000548,Stronghold Map
theater_area-20000548,Knocking down their strong outer defense was just the beginning. We're about to head deep into the valley and destroy all enemy forces holed up in there. The last one standing will be the true winner.
