unit_character-10000100,Griffin
unit_character-20000100,This unit is from Griffin
unit_character-10000101,Sangvis Ferris
unit_character-20000101,This unit is affected by Sangvis technology and belongs to Sangvis Ferri Manufacturing
unit_character-10000102,Paradeus
unit_character-20000102,This unit's most distinctive feature is the white paint job. Everything else is a mystery. (Known to the players as the White Faction.)
unit_character-10000103,KCCO
unit_character-20000103,This unit is from the Military//c caution and avoidance is advised.
unit_character-10000104,Infected
unit_character-20000104,Infected and mutated//c known to players as a Zombie.
unit_character-10000105,Statesec
unit_character-20000105,This unit is from Statesec
unit_character-10000200,BOSS
unit_character-20000200,Danger! This unit is a Boss//c please be careful//c Commander!
unit_character-10000201,Scarecrow
unit_character-20000201,S.F. Manufacturing Unit
unit_character-10000202,Executioner
unit_character-20000202,S.F. Manufacturing Unit
unit_character-10000203,Hunter
unit_character-20000203,S.F. Manufacturing Unit
unit_character-10000204,Intruder
unit_character-20000204,S.F. Manufacturing Unit
unit_character-10000205,Alchemist
unit_character-20000205,S.F. Manufacturing Unit
unit_character-10000206,Destroyer
unit_character-20000206,S.F. Manufacturing Unit
unit_character-10000207,Gager
unit_character-20000207,S.F. Manufacturing Unit
unit_character-10000208,Architect
unit_character-20000208,S.F. Manufacturing Unit
unit_character-10000209,Dreamer
unit_character-20000209,S.F. Manufacturing Unit
unit_character-10000210,Ouroboros
unit_character-20000210,S.F. Manufacturing Unit
unit_character-10000211,Judge
unit_character-20000211,S.F. Manufacturing Unit
unit_character-10000212,Agent
unit_character-20000212,S.F. Manufacturing Unit
unit_character-10000213,Beak
unit_character-20000213,Motorbike enthusiast
unit_character-10000214,Cerberus
unit_character-20000214,Cerberus//c a beast-type unit developed by Sangvis Ferri//c is more powerful than your regular robot dog.
unit_character-10000215,M16A1
unit_character-20000215,M16 after being infected by Parapluie
unit_character-10000216,"Nyto"
unit_character-20000216,A mysterious lifeform that calls itself "Nyto"
unit_character-10000300,Normal
unit_character-20000300,This unit has balanced stats and no outstanding traits
unit_character-10000301,Danger
