 ()||<BIN>3</BIN><Night><BGM>BGM_NightOPS</BGM><SE1>Battlefield</SE1>:……戦闘はいよいよ大詰めに差し掛かっていた。
G11(0)<Speaker>Gr G11</Speaker>||:エクスキューショナーの手足を破壊したよ。これで目標達成だよね。
HK416(0)<Speaker>416</Speaker>;G11(0)||:すっかり調子戻ったみたいね、G11。
HK416(0);G11(0)<Speaker>Gr G11</Speaker>||:416が代わりに弾丸を受け止めてくれるから……ずいぶん楽になったよ。
HK416(0)<Speaker>416</Speaker>;G11(0)||:感謝しなさいよ。//n以前ならこんな待遇、あり得なかったんだから。
HK416(0);UMP9(3)<Speaker>UMP9</Speaker>||:もうっ、わたしたちみんな家族なんだし、水臭いこと言うなよー。
HK416(0)<Speaker>416</Speaker>;UMP9(3)||:あなたが正規ルートで生産された人形だったら、信用したかったところね。
HK416(0);UMP9(3)<Speaker>UMP9</Speaker>||:あはは、そんなのなんだって一緒だよー。//n今の暮らしだって悪くないでしょ？
G11(0)<Speaker>Gr G11</Speaker>;UMP9(3)||:悪いことだらけだよ。//n早く家に帰りたい……
G11(0);HK416(0)<Speaker>416</Speaker>||:現実を受け入れなさい、帰る家なんてとっくにないでしょ……
UMP45()<Speaker>UMP45</Speaker>||<黑屏1>:あなたたち、余計なおしゃべりはいいから、早くエクスキューショナーの様子を見てきて。
UMP9(0)<Speaker>UMP9</Speaker>||<黑屏2>:ふふーん、ジャミング装置が通信を遮断しちゃってるおかげで、たっぷり「尋問」ができるね。
UMP9(0)<Speaker>UMP9</Speaker>||<震屏>:ねえ、遺言とかある？//nジャミング装置を持ち去ってから、あなたのご主人様に伝えておいてあげるわよ。
ExcutionerElite(1)<Speaker>エクスキューショナー</Speaker>||:残念だが、貴様らには何も伝えられやしないさ……
ExcutionerElite(1)<Speaker>エクスキューショナー</Speaker>||<BGM>BGM_Sneak</BGM>:ジャミング装置の周囲には爆薬が敷き詰められてるからな。
G11(2)<Speaker>Gr G11</Speaker>||:……？！爆薬？
ExcutionerElite(1)<Speaker>エクスキューショナー</Speaker>||:強力な爆薬だから逃げようたって無理だぜ。404だろうがジャミング装置だろうが、起爆すれば何もかも粉々だ。
UMP9(4)<Speaker>UMP9</Speaker>||:待って！//nあんたたちの目的はジャミング装置を守ることじゃなかったの？！
ExcutionerElite(0)<Speaker>エクスキューショナー</Speaker>||<黑屏1>:それがウロボロスの野郎、奴の自分勝手なところさ。
Weaver(0)<Speaker>エクスキューショナー</Speaker>||<BIN>9</BIN><黑屏2>:奴は元からそのつもりだったのさ。//nハンターを使って時間稼ぎをし、俺にはジャミング装置の周りに爆弾を埋めさせて。+貴様らがどう出ようと、ここまでくれば結果は同じ……
Weaver(0)<Speaker>416</Speaker>||:ウロボロス……そんなひどい命令に、あなたよく従えるわね。
Weaver(0)<Speaker>エクスキューショナー</Speaker>||<黑屏1>:404小隊、貴様らグリフィンの部隊だって、従う以外に選択肢はないだろう？
ExcutionerElite(0)<Speaker>エクスキューショナー</Speaker>||<BIN>3</BIN><黑屏2><Night>:己の利益のために他の人形たちを犠牲にする時、そいつらのことを思いやったりするのか？
UMP45(2)<Speaker>UMP45</Speaker>||:…………
UMP9(2)<Speaker>UMP9</Speaker>||:45姉……
G11(0)<Speaker>Gr G11</Speaker>||:もう家に帰れない……ってこと？
HK416(0)<Speaker>416</Speaker>||:土下座して謝るしかなさそうね、45。//nこの時を待ちわびていたわ。
ExcutionerElite(1)<Speaker>エクスキューショナー</Speaker>||<黑屏1>:人形を待ってるのは天国でも地獄でもない。+404小隊、俺と一緒に……+この世から永久に消えてもらうぞ……
 ()||<BIN>8</BIN><黑屏2><Night><BGM>BGM_Empty</BGM><SE1>Explode</SE1>:……S06地区、鉄血に占領された臨時指揮室にて。
Weaver(0)<Speaker>ウロボロス</Speaker>||<BGM>BGM_Boss</BGM>:エージェント殿。//n誠に遺憾ながら報告させていただきます。+我々のジャミング装置は、先ほどの爆発で破壊されてしまいました。+爆弾はエクスキューショナーが独断で設置し、起爆させたものでございます。//nあやつは今ごろ、404小隊とともに灰と化していることと思われます。
BOSS-8(0)<Speaker>エージェント</Speaker><通讯框>;Weaver(0)||:ジャミング装置は【傘計画】を実行するための重要な道具だというのに、たった4人のゴミ人形の命と引き換えになってしまうとは……
BOSS-8(0);Weaver(0)<Speaker>ウロボロス</Speaker>||:申し訳ありません。//n全てはわたしがハンターとエクスキューショナーのAIの不安定さを考慮しきれなかったためでございます。+なお爆発地点には、あやつらの生死を確認するため既に部隊を派遣しております。
BOSS-8(0)<Speaker>エージェント</Speaker>;Weaver(0)||:この期に及んで何を確認するというのです、ウロボロス。+ただちに撤退し、詳しい報告を聞かせなさい。//nよろしくて？
BOSS-8(0);Weaver(0)<Speaker>ウロボロス</Speaker>||<黑屏1>:はい……その通りにいたします、エージェント殿。
Weaver(1)<Speaker>ウロボロス</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:S06地区の全鉄血部隊よ、このウロボロスの命令に従え……+……404の捜索範囲を拡大し、効率を最大限まで引き上げろ。+グリフィン人形の生存者を見つけ次第、全力で殲滅するのだ！+……雑魚たちに頼るだけでは足りぬ、この目で確かめなければ。+404小隊の屍をわが目に収めるまで、この戦いを終わらせるわけにはいかぬ！
