()||<BIN>9</BIN><BGM>BGM_Sneak</BGM>:…………
？？()<Speaker>？？</Speaker>||<黑屏1>:……45姉？+しっかりして！UMP45！
UMP45()<Speaker>UMP45</Speaker>||<BIN>70</BIN><黑屏2>:うう…………
UMP45(2)<Speaker>UMP45</Speaker>||:私……どれくらい寝てた？
UMP45(2);UMP9(2)<Speaker>UMP9</Speaker>||:それほどでもないよ。調整が終わったから、45姉を起こすようにって、シーアに頼まれたの。//nただ……
UMP45(2);HK416(0)<Speaker>416</Speaker>||:そこまで目を見開いてるところは初めて見たから、少し面白かったわ。
UMP45(2);G11(0)<Speaker>Gr G11</Speaker>||:フリーズしてるみたいだったよ。
UMP45(2)<Speaker>UMP45</Speaker>;G11(0)||:…………+突然オフラインに切り替わったから、反応が遅れただけよ……今回の戦闘はあまりうまくいかなかったらしい。
UMP45(2);NPC-Seele(0)<Speaker>シーア</Speaker>||:すみません、45さん。先ほど緊急事態が起きまして……+ネットワークをチェックしていたら、他の人形の信号が検知されたのです。
HK416(2)<Speaker>416</Speaker>;NPC-Seele(0)||:招かれざる客ってこと？まさか鉄血？
HK416(2);NPC-Seele(0)<Speaker>シーア</Speaker>||:いいえ、グリフィンの信号です。//n何かの間違いでネットワークに入り込んだのでしょう。+指揮官のところへ報告に向かうはずだった新人かと思われます。//n認証時にネットワークの入口を間違えたものかと。+デールが監視中にうっかりポートを混同してしまったのでしょうね……
G11(2)<Speaker>Gr G11</Speaker>;NPC-Seele(0)||:それじゃ……あたしたちの存在がいつバレてもおかしくないってことだよね……
G11(2);NPC-Deele(0)<Speaker>デール</Speaker>||:馬鹿言うなよ！確かに僕のミスだけど、そんな大ごとにはならないって。+たとえネットワークに入り込んでも、認証に通らずセキュリティプログラムが働き、メンタルポジションがすぐさまロックされるからな。+つまり、よそ者はどのポートからもアクセスできないってことさ。//nお前たちが見つかることもないから、安心してよ！
G11(2);UMP9(2)<Speaker>UMP9</Speaker>||:いや、全然安心できないって！+人形のメンタルモデルが欠損していることにグリフィンが気づいたら、遅かれ早かれわたしたちのところにやってくるんだから。
UMP45(2)<Speaker>UMP45</Speaker>;UMP9(2)||:……誰が入り込んだのか、調べられる？
UMP45(2);NPC-Deele(0)<Speaker>デール</Speaker>||:データベースに合致するIDはないね。たぶん新しく加入した人形だ。+でもそんな大きな問題じゃないよ！僕がそいつをネットワークから追い出すからさ。//nただ、居場所を特定するまで時間がかかるから、今のうちに休んでおいてよ。
UMP45(2)<Speaker>UMP45</Speaker>;NPC-Deele(0)||:…………+それなら、いっそ私たちがネットワークに入ってその子を捜した方がいいんじゃない？
UMP45(2);NPC-Deele(0)<Speaker>デール</Speaker>||:へ？それは訓練の一環としてってこと？
UMP45(2)<Speaker>UMP45</Speaker>;NPC-Deele(0)||:どちらにしろターゲットとなる信号を捜すんだから、この機会を借りて実践練習してみるのも悪くないでしょ。+ついでにグリフィンの新型人形のデータも手に入れれば、データベースの拡張にもなるだろうし。
UMP45(2);G11(3)<Speaker>Gr G11</Speaker>||:あれ……もしかしてもう寝れない感じ？
UMP45(2);UMP9(2)<Speaker>UMP9</Speaker>||:45姉、ほんとにやるの？//nもしわたしたちが見つかったら……
UMP45(2)<Speaker>UMP45</Speaker>;UMP9(2)||:本当の任務はこれより遥かに危険よ。//nリスクを心配するより、どうやって乗り越えるかを考えた方がいいわ。+それに私がいるんだから、みんなは命令に従うだけで楽でしょ？
UMP45(2);HK416(0)<Speaker>416</Speaker>||:そういうあんたが心配なのよ、45。//n私だけではなく、みんな気にしているわ。
UMP45(2)<Speaker>UMP45</Speaker>;HK416(0)||:大丈夫よ、私はいつだって自分を最重要視しているから。//n心配するようなことはまだないわ。
UMP45(2);UMP9(0)<Speaker>UMP9</Speaker>||<黑屏1>:…………+うん、45姉がそう言うのなら、出発しよ！
UMP9(0)<Speaker>UMP9</Speaker><通讯框>||<BIN>72</BIN><黑屏2>:位置信号か……まずはこの招かれざる客のメンタルモデルデータを集めたほうがよさそうだね。
HK416(0)<Speaker>416</Speaker><通讯框>||:具体的には？
UMP9(0)<Speaker>UMP9</Speaker><通讯框>||:意外と簡単だよ……さっきキーを使ったやり方と同じ。//n近づいて、彼女のデータを持ち帰るだけ。+とはいえ、メンタルモデルの信号はバラバラに流されちゃったみたいだから、欠片を全部集めるしかなさそうだね。
G11(0)<Speaker>Gr G11</Speaker><通讯框>||:なんかめんどくさそう……欠片一つだけじゃダメ……？
UMP9(0)<Speaker>UMP9</Speaker><通讯框>||:ダメなわけじゃないけど、それじゃかわいそうでしょ……+メンタルモデルのデータが欠けた人形は、知能がとことん落ちちゃうんだよ。
UMP45(0)<Speaker>UMP45</Speaker><通讯框>||<黑点1>:訓練とはいえ、油断しないように。//n急いですべてのデータを集めるわよ。
