()||<BIN>34</BIN><BGM>BGM_Boss</BGM>:…………
破坏者()<Speaker>デストロイヤー</Speaker>||:ここはどこ？
？？()<Speaker>？？</Speaker>||:プレイヤーの皆さん、未来の世界へようこそ。+ここでは革新的なネットワーク技術により、全く新しいバーチャルリアリティを体験できます。+そして、40年前の人類による技術遺産も……
破坏者()<Speaker>デストロイヤー</Speaker>||:ドリーマー……あんたでしょ？+いい加減にして、また何を企んでるのよ。
BOSS-11(0)<Speaker>ドリーマー</Speaker>||:フフッ、あたしはお祝いの言葉を伝えに来たまでよ。//n新しいボディの改造は大方済んだわ。
BOSS-11(0);BOSS-6(0)<Speaker>デストロイヤー</Speaker><通讯框>||:え、それほんと？今度こそ望み通りのものよね？+子犬やら子豚でごまかすつもりじゃないでしょうね？
BOSS-11(0)<Speaker>ドリーマー</Speaker>;BOSS-6(0)||:ええ……+もう追いかけっこはナシ。だから四本足の必要もないわ。
BOSS-11(0);BOSS-6(0)<Speaker>デストロイヤー</Speaker>||:はは、ならいいんだけど……+って、ちょっと待って。//n今なんて言った？？つまり前回はわざと……
BOSS-11(0)<Speaker>ドリーマー</Speaker>;BOSS-6(0)||:とにかく、今回は正真正銘の改造よ。+感謝しなさい、あなたのお望み通りの体がついに手に入るのよ。
BOSS-11(0);BOSS-6(0)<Speaker>デストロイヤー</Speaker>||:ふんっ……手に入るなら、そりゃ嬉しいけどさ。+あの大型犬のボディに振り回されて、かなり情熱は冷めちゃったけど……+それに404はもう袋のネズミも同然だし、そんなに強力なボディがあったって、大した使い道はないんじゃないの。
BOSS-11(0)<Speaker>ドリーマー</Speaker>;BOSS-6(0)||:そうでもなさそうよ。404たちはまだ諦めてないようだし。
BOSS-11(0);BOSS-6(0)<Speaker>デストロイヤー</Speaker>||:ほんとに？もう3時間は動きがないみたいだけど。+あんたも包囲網からは逃げようがないって言ってたじゃない。//nだとしたらきっとどこか隅っこで死にかけてるんじゃないの。
BOSS-11(0)<Speaker>ドリーマー</Speaker>;BOSS-6(0)||:デストロイヤー……あいつらのことがよく分かっていないようね。+今このタイミングでむやみに攻撃を仕掛けてくるかしら？//n404は自暴自棄になり判断を誤るようなやつらじゃないわ……+どこかに潜んで動いていないのなら、それこそが一番危険なのよ。
()||:…………ドリーマーは椅子に座り、自身の髪の毛をいじり始める。
BOSS-11(0)<Speaker>ドリーマー</Speaker>;BOSS-6(0)||:或いは、さっきの攻撃で、UMP45を仕留め損ねたのかもしれない……+そう……どこかに隠れてUMP45を助けようとしているのだわ。//n45はあいつらにとって、ここから脱出するための唯一の希望だもの。
BOSS-11(0);BOSS-6(0)<Speaker>デストロイヤー</Speaker>||:チッ。そんな悪足掻き、何の意味もないわよ。
BOSS-11(0)<Speaker>ドリーマー</Speaker>;BOSS-6(0)||:甘くみてはいけないわ。+404の補給はまだ十分足りてるし、助っ人も多いわ。//nその上、部隊を再調整する時間もたくさんあるし、新型の兵器や罠を準備している可能性だってある。
BOSS-11(0);BOSS-6(0)<Speaker>デストロイヤー</Speaker>||:それって……あのちっぽけなドローンのこと？+威力はそれほどでもなかったけど、小細工が多くて確かにウザったいわね。
BOSS-11(0)<Speaker>ドリーマー</Speaker>;BOSS-6(0)||:だから基地で知らせを待っているようじゃだめよ。//nデストロイヤー、改造が済んだらすぐに出発しなさい。
BOSS-11(0);BOSS-6(0)<Speaker>デストロイヤー</Speaker>||:分かった。+あ、そうだ。あの大型犬のボディ……まだ余ってる？
BOSS-11(0)<Speaker>ドリーマー</Speaker>;BOSS-6(0)||:あら？やっぱりあれが恋しいの？
BOSS-11(0);BOSS-6(0)<Speaker>デストロイヤー</Speaker>||:そんなんじゃないわよ！+あの姿になるのは二度とご免だけど、そばにおけるんならそこそこ心強いでしょ……
BOSS-11(0)<Speaker>ドリーマー</Speaker>;BOSS-6(0)||:フフ、そんなことだと思ったわ。やっぱりあの犬がしっくりきたのね……+安心して、まだテスト段階だけど、一匹だけなら製造できるわ。+あともう少しで、新しいボディとしもべが完成するわよ。
BOSS-11(0);BOSS-6(0)<Speaker>デストロイヤー</Speaker>||:今度はおかしなことしないでよね！//nあたしはすべての鉄血を凌駕する存在になるのよ、外見も中身も！
BOSS-11(0)<Speaker>ドリーマー</Speaker>||<黑屏1>:仰せの通りに、デストロイヤー様。あと少しでございます。+その見返りに、404を皆殺しにしてちょうだい……+できるわよね？
