()||<BIN>99</BIN><BGM>BGM_Room</BGM>:…………作戦終了。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:ふぅ……とりあえずは片付いた？
AN94(0)<Speaker>AN-94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:代償は大きいですが、合流へのルートは確保できたはずです。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:【できたはず】じゃなくて、【できた】よ。+ほら、あそこにいるやつらを見てみろ。
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>99</BIN>:………
AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:AN-94、よくやったわ。
AN94(0)<Speaker>AN-94</Speaker>||<BIN>99</BIN>:……いいえ、当たり前のことをしたまでです。
AR15Mod(0)<Speaker>AR-15</Speaker>||<BIN>99</BIN>:アンジェが自ら出向いてくれるなんてね。
AR15Mod(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:もちろんよ。私はいつだって命がけで部下を守る、頼れる指揮官よ？//nせめて、礼の一つくらい言ってもいいんじゃない？
AR15Mod(0)<Speaker>AR-15</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:はぁ……本当あなたらしいわね、私が口出しすることでもないわ。+それからお待ちかね、こちらが私たちの新しいメンバーよ。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:…………+いい格好ね、最後のメンタルアップグレードも上手くいったようでなによりよ……+でしょ、M4A1？
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||<BIN>99</BIN><黑屏1>:……こんにちは、アンジェリアさん。+M4A1、なんなりとご用命ください。
