()||<BIN>7</BIN><Night><黑点2><BGM>BGM_Sneak</BGM>:……
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:みんな、ゆっくり休めた？//n仕事の時間よ。
HK416(0)<Speaker>416</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:その表情を見るに、ろくな仕事じゃなさそうね……//nそれで、どこへ行くの？
HK416(0);UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:G11を起こして、雇い主からとんでもないものを押しつけられたわ。//nもうほんとにひどいものよ。
HK416(0)<Speaker>416</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:あんたがここにいる以上にひどいことなんて……+ほら、G11！起きて！
G11(3)<Speaker>Gr G11</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:んぁあ……なんだよ……+まだ5分しか寝てないのに……
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:9、近くで鉄血のネットワークと接続できる場所がないか探して。
UMP9(0)<Speaker>UMP9</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:ちょっと待ってね……えっと、この近くに鉄血の中継ステーションがあるみたい。//n周囲を鉄血の人形が守っているから、きっと使えるよ。
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:よし、なら最初のターゲットはそこね。準備はいい？
HK416(0)<Speaker>416</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:G11、はやく起きなさい！
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night><黑屏1>:問題ないみたいね、じゃあ行くよ。
