()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏2>:…………+……通信中断15秒後。
格里芬人形A()<Speaker>グリフィン人形A</Speaker>||<BGM>BGM_War</BGM><火花>:私たちは今……どうすればいいのでしょう？
格里芬人形C()<Speaker>グリフィン人形C</Speaker>||:分かりません。通信が切れましたが……鉄血の方も止まったみたいです。
格里芬人形A()<Speaker>グリフィン人形A</Speaker>||:このまま……ただ待つだけですか？
格里芬人形B()<Speaker>グリフィン人形B</Speaker>||:そんなの死ぬのを待つのと同じじゃない！+無駄死にはいやよ、それならせめて戦ったうえで――！
格里芬人形A()<Speaker>グリフィン人形A</Speaker>||:勝手に動かないでください！方向が分からない以上、味方を誤射する可能性が――！
格琳()<Speaker>カリーナ</Speaker>||:グリフィンの人形の皆さん！
格里芬人形C()<Speaker>グリフィン人形C</Speaker>||:カリーナさんだ！メガホンで呼びかけてるよ！
格琳()<Speaker>カリーナ</Speaker>||:突破口は北西315です！+今のうちに！一気に向かってください！+どれだけ数がいようと構いませんので、みんなで力を合わせて一緒に逃げ出しましょう！
格里芬人形B()<Speaker>グリフィン人形B</Speaker>||:前の方で戦闘が起きてるわ、みんなも続こう！
格里芬人形C()<Speaker>グリフィン人形C</Speaker>||:前線に出ますので、忘れずメンタルを回収してくださいね！+ウラー――！！
BOSS-7(0)<Speaker>ゲーガー</Speaker>||<黑屏1>:なっ！待て！+なぜだ、なぜ突然こんなことが――+許さん！総員、攻撃開始だ！
