()||<BIN>71</BIN><BGM>BGM_Danger</BGM><黑屏2>:…………
HK416(3)<Speaker>416</Speaker>||:しつこい奴ね！
UMP9(4)<Speaker>UMP9</Speaker>||:あいつのシールドを貫通できる方法はないの……？！
UMP45(2)<Speaker>UMP45</Speaker>||:アンジェ！エージェントは予想よりも強いわ、増援が必要――
NPC-Ange(0)<Speaker>アンジェリア</Speaker><通讯框>||:エルダーブレインをそのまま引き付けてくれる？//n私がそっちへ――
NPC-Ange(0)<Speaker></Speaker>||:ズズ――
NPC-Ange(0)<Speaker>？？</Speaker>||:アンジェ、またも任務を手伝ってくれたことに感謝する。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||:エゴール……！どうして暗号化チャンネルを……！
NPC-Ange(0);NPC-Yegor(2)<Speaker>エゴール</Speaker><通讯框>||:情報封鎖エリアのやり方が相変わらず粗末だ、そのうち命を落とすことになると忠告したはずだぞ。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;NPC-Yegor(2)||:いつから盗聴されていた……！？
NPC-Ange(0);NPC-Yegor(2)<Speaker>エゴール</Speaker>||:つい先ほどからだ。お前たちの無駄話に興味などない。+二回も生き延びるとは驚きだが、お前の体で義肢に交換できる部分も残り多くはないだろう、今回は諦めた方がいい。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;NPC-Yegor(2)||:なぜ私が毎回生き延びられるか知ってる？+あなたがいつも自信過剰だからよ。
NPC-Ange(0);NPC-Yegor(2)<Speaker>エゴール</Speaker>||:相変わらずの減らず口だな。攻撃を開始しろ。
AR15Mod(5)<Speaker></Speaker>()||<震屏><SE1>Explode</SE1>:…………！
AR15Mod(5)<Speaker>AR-15</Speaker>||:どうしたの？！
HK416(3)<Speaker>416</Speaker>||:装甲部隊だわ！軍の戦車よ！
M4A1Mod(4)<Speaker>M4A1</Speaker>||:………+エゴール……！
NPC-Ange(0)<Speaker>アンジェリア</Speaker><通讯框>||:45！そちらの状況は！
NPC-Ange(0);UMP45(2)<Speaker>UMP45</Speaker>||:ゴホッゴホッ……戦車の相手をするのは無理！//nそれに、エルダーブレインと分断されてしまったわ！敵の攻撃も強烈よ！
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;UMP45(2)||:どんな手段を使っても構わない！だから、絶対にエルダーブレインは渡すな！+聞こえたか！グリフィンの支援とともにすぐ向かう！
NPC-Ange(0);UMP45(2)<Speaker>UMP45</Speaker>||:そんな無理難題をふっかけないでよ……
M4A1Mod(4)<Speaker>M4A1</Speaker>;UMP45(2)||<黑屏1>:文句を言っても何も始まらないわ。反撃の方法を考えましょ！
