()||<SE2>Alarm</SE2><BIN>10</BIN>:…………5分後、鉄血の警報が鳴り出した。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:警報だよ！きっとあいつが来たんだ！
M16(3)<Speaker>M16A1</Speaker>||:落ち着け、今すぐにたどり着くわけじゃない。+RO、今のうちに鉄血の兵力を試算してくれないか？
RO635(0)<Speaker>RO635</Speaker>||:…………+おそらく……かなりの数になると思います。+ですが、ゲーガーの指揮効率から見て、一度にこんなたくさんを引き連れるのは無理かと。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:どういうこと？//n全員一気に攻め込んでくることはないの？
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:或いは……
RO635(3)<Speaker>RO635</Speaker>||:……ゲーガー以外にも鉄血ボスが存在するのかもしれません。
M16(3)<Speaker>M16A1</Speaker>||:おいおい、ボス級が2人もいるってのか？+嘘だって言ってくれよ。
RO635(0)<Speaker>RO635</Speaker>||:現段階では推測にすぎません。//nですが、最大限警戒は必要かと思います。+鉄血に囲まれないうちに、早く後方の突破口に向かいましょう。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:M1887はどうするの？//nまだ見つかってないけど……
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:ここにいないということは、もっと奥に進んでいるはずです。+今はひたすら前に進み、彼女たちに会えることを祈るしかありません。+とにかく……まずは自分の身をしっかり守ることです。
M16(3)<Speaker>M16A1</Speaker>||:…………+わかった。RO、指揮を頼む。
