()||<BIN>7</BIN><BGM>BGM_Battle</BGM><SE1>Battlefield</SE1>:…………
BOSS-7(0)<Speaker>ゲーガー</Speaker><通讯框>||:噂に聞くAR小隊だな？+残念だが、ここから生きては帰れないぞ。+侮っているわけではないが、お前たちのここまでの補給状況や人員はすべて調べさせてもらった。+今の状態で、この防衛線を突破することは不可能だ。
RO635(4)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:くそっ！砲台の脅威が大きすぎます......！+このままでは全滅しかねない……もう撤退するしか……
M16(3)<Speaker>M16A1</Speaker>||:RO、消耗戦ではゲーガーには勝てないぞ！
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:そんなのどうでもいいよ！もうつっこんじゃえ！！
？？()<Speaker>？？</Speaker>||:待って。
RO635(0)<Speaker>RO635</Speaker>||:……？！
RO635(4)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:暗号化された通信……+誰ですか？
M16(3)<Speaker>M16A1</Speaker>||:まさか……もう一人の鉄血ボス？
M1887(0)<Speaker>M1887</Speaker><通讯框>||:グリフィンの戦術人形、M1887よ。+RO635、仲間とともにゲーガーへの攻撃を続けて。+私は隙を見て後方から砲台の電源を切断するわ。
RO635(0)<Speaker>RO635</Speaker>;M1887(0)||<SE1>Battlefield</SE1>:ひ……一人で行くつもりですか？//nわたしたちのために？
M1887(0)<Speaker>M1887</Speaker>||:みんなのためよ。
M16(3)<Speaker>M16A1</Speaker>||:RO、気を付けろ。//n奴が使っているのは鉄血の通信回線だぞ。
M1887(0)<Speaker>M1887</Speaker><通讯框>||<SE2>Gunfight</SE2>:バレないようにやり過ごすには、これが一番安全なの。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:RO……信用できると思う？
RO635(0)<Speaker>RO635</Speaker>||:…………+M1887、あなたは本当にグリフィンの人形なんですよね？
M1887(0)<Speaker>M1887</Speaker><通讯框>||<SE1>Battlefield</SE1>:自分が誰なのかは、分かっているつもりよ……+それに従うべき対象もね。
RO635(0)<Speaker>RO635</Speaker>||:わかりました、あなたを信じましょう。//nお願いしましたよ。
RO635(5)<Speaker>RO635</Speaker>||:みんな、次の攻撃に備えてひとまず撤退しましょう！
