()||<BIN>10</BIN>:【TIPS】よりスムーズにプレイするため、この先にあるチュートリアルをよくお読みください。
AEK999(0)<Speaker>AEK-999</Speaker>||:で、今度は何だ、フェイル？
FAIL(0)<Speaker>フェイル</Speaker>||:それはまぁ……すぐ分かるわよ。
DJMAXSUEE(0)<Speaker>スイ</Speaker><Position>0,300</Position>||:みなさん！ご無事でしたか！
M950A(0)<Speaker>M950A</Speaker>||:スイ！目が覚めたのね！
DJMAXSEHRA(0)<Speaker>セラ＆ニーナ</Speaker><Position>0,300</Position>||:またお会い出来て嬉しいです！
AEK999(0)<Speaker>AEK-999</Speaker>||:あ！お前たち！みんなここにいたのか！
TMP(0)<Speaker>TMP</Speaker>||:急にこんなことして、どうしたのですか、フェイルさん？
FAIL(0)<Speaker>フェイル</Speaker>||:あらあら……だから、私はみんなを守ってるって言ったでしょう？
Thunder50(0)<Speaker>Thunder</Speaker>||:あなたたち……フェイルを許せるの？
DJMAXSUEE(0)<Speaker>スイ</Speaker><Position>0,300</Position>||:分かっているわ、フェイルさんが……私たちのことを守ってたことを。
DJMAXSEHRA(0)<Speaker>セラ＆ニーナ</Speaker><Position>0,300</Position>||:世界があんなことになっていたのだから、仕方がないのかもしれないです。
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||:五十年も過ぎてしまったけどね。
FAIL(0)<Speaker>フェイル</Speaker>||:ちょっとちょっとクレア、そんなこと言われるとさすがに心が傷つくわよ。
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||:あなたももう少し大人しくしていれば、みんなにボコボコにされずに済んだのに。
FAIL(0)<Speaker>フェイル</Speaker>||:うっ！調子に乗るなよ、あんなこと二度目はないんだからね！
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||:おや？それじゃ勝負する？どっちの音楽が魅力的なのか。
K2(0)<Speaker>K2</Speaker>||:あの二人……本当はそんなに仲良くないのね？
FAIL(0)<Speaker>フェイル</Speaker>||:だったらクレア、バンドを組んできなさいな！//nそしたら勝負してあげるわ！+先に言っておくけど、私の妖精たちはまだあなたのことを認めてないからね。
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||:ふっふん、ポケットシティの妖精たちがいなくたって平気よ。+私には、彼女たちさえいれば十分だわ！
()<Speaker>全体人形</Speaker>||:…………えええぇぇぇ？！
FAIL(0)<Speaker>フェイル</Speaker>||:へぇ、それじゃ期待しているわ。+あなたとあの半端者たちの邁進する魂は、きっと美味なはずよ。+それとポケットシティのみんなも、遅れを取っちゃだめよ！
K2(0)<Speaker>K2</Speaker>||:クレア、その……本気？
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||:別に問題ないんでしょ、この私がいるんだからね！+安心して。一か月後には、きっとみんなに最高のステージを届けられるようになってるわ！+よし！これで後は最後の封印一つ！まずは肩慣らしでもしておきましょうか！
()||:【TIPS】この先の戦闘は通常の戦闘と大きく異なります。以下の説明をよくお読みください。+予期せぬ事態を避けるため、まず初めに【自動スキル】をオフにして、【設定】-【音声】の【BGM】をオンにしてください。+リズムノートが青色の判定ラインと重なる瞬間に、対応する人形のスキルアイコンをタップすることで、相応のMAXシンクロ率を獲得できます。+逆にリズムノートを外した場合、人形は一定のダメージを受けます。+BGMが止むまでに、全ての人形が撃破されていなければ、勝利となります。+繰り返しになりますが、予期せぬ事態を避けるため、必ず【自動スキル】をオフにして、【設定】-【音声】の【BGM】をオンにしてください。
