()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<BIN>85</BIN><BGM>BGM_Empty</BGM><黑屏2>:……作戦終了。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>||<黑屏1>0,5</黑屏1>:到着したよ、SOP II！+まさかあのスケアクロウの言ってたことが本当だったなんて……+……SOP II？
()||<BIN>9</BIN><黑屏2>:……
SOPIIDamage(3)<Speaker>M4 SOPMOD II</Speaker>||<闪屏><duration>5</duration></闪屏>:<size=55>あ――――――！</size>
()||<BIN>85</BIN><闪屏><duration>5</duration></闪屏>:
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>||<震屏>:
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>||<BGM>BGM_NightOPS</BGM>:SOP II？！
Cx4Storm(0);SOPIIDamage(2)<Speaker>M4 SOPMOD II</Speaker>||:大丈夫……これでやっと一息つけるよ……+わたし……ずっと……+万が一罠だったらどうしようって……みんなを危険な目にあわせたらどうしようって……
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPIIDamage(2)||:大丈夫です、SOP II、作戦には冒険する勇気が必要です。+もし私でしたら、こんなこと決められません。
Cx4Storm(0);SOPIIDamage(2)<Speaker>M4 SOPMOD II</Speaker>||:でもM16は言ってたな……勇気と愚かの違いは、その結果だけ……+今までは小隊の仲間たちがわたしの無茶を後片付けしてくれてたけど、今ではわたしがみんなのために責任を負わないと……
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPIIDamage(2)||:私たち、SOP IIの負担にはなりたくないよ……
Cx4Storm(0);SOPIIDamage(2)<Speaker>M4 SOPMOD II</Speaker>||:でも、今のわたしたちは同じ泥船に乗った仲間……昔だったらこんなこと考える必要なんてなかったのにな……+M4は……毎回毎回こんなに大変だったんだね……+もしかしたら色々迷惑をかけちゃったかもしれない……
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPIIDamage(2)||:SOP II……
Cx4Storm(0);SOPIIDamage(0)<Speaker>M4 SOPMOD II</Speaker>||:はは、やっぱ隊長なんてわたしに似合わないや……+あとは、偵察隊の報告を待とう！
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPIIDamage(0)||<黑点1>:……はい。
()||<BIN>9</BIN><黑点2><黑点1>:……数分後、偵察に出た人形たちが戻ってCx4に報告をした。表情からして、その結果は分かりきっていたことだった。
