()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Truth</BGM>:
()<Speaker>アンジェリア</Speaker>||<BIN>9</BIN><黑屏2><SE1>Heartbeat</SE1>:二分間かけて……+……感覚を取り戻した。
()<Speaker>アンジェリア</Speaker>||:十分間かけて……+……床でもがき、這い上がって、壁の残骸を支えに起き上がり、気休め程度の応急処置を行った。
()<Speaker>アンジェリア</Speaker>||:一分間かけて……+……考えた。+……自分は生きているのか、それとも死んでいるのか。
()<Speaker>アンジェリア</Speaker>||:そして十秒間かけて答えを出した……
()<Speaker>アンジェリア</Speaker>||<黑屏1>:私は生きている。でももうすぐ死ぬ。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||<BIN>157</BIN><睁眼>:コホッコホッ……+コホッ……+痛てぇ……体が言うこと聞かない……+M4A1……+AK12……+聞こえるか？状況はどうなっている？エルダーブレインは？捕獲できたか？
()<Speaker></Speaker>||:……+……チャンネルからはノイズしか聞こえてこなかった。
NPC-AngeDamage(2)<Speaker>アンジェリア</Speaker>||:ちっ……ここの放射線濃度だと通信すらできないか……//nここを……離れないと……+こんな体で……まだ戦えるかどうか……
NPC-AngeDamage(2)<Speaker></Speaker>||:……アンジェは通信機をポケットの中にしまった。
NPC-AngeDamage(2)<Speaker>アンジェリア</Speaker>||:今まで自分の外見を気にしてこなかった人間とはいえ、さすがに今の自分の顔は見たくないな。+両手だけを見ても……今の自分はきっとバケモノみたいな見た目をしていることが分かる。+私は……何になるんだ……？死以外に……なにが……
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||<震屏>:ゴホッ！ゴホッゴホッーー！
NPC-AngeDamage(2)<Speaker>アンジェリア</Speaker>||:あれが何なのか知ってるわ……
()<Speaker>？？</Speaker>||:グゥアアアアアアァァァァァァ――！！
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||:……！
()<Speaker></Speaker>||:……背筋に悪寒が走るような唸り声が遠くから伝わってきた。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||<黑屏1>0,0.7<黑屏1>:……あいつらね。私はあの不吉な声を知っている。世界大戦の前から世界中にまき散らされていた悪夢。+私の咳はあいつらを引き寄せてしまう。急いでここを離れないと……！
