()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<BIN>157</BIN><BGM>BGM_Sneak</BGM><黑屏2>:
()||:……416に【イエローエリア】で信号弾を発射させることに決めた。
AK12(2)<Speaker>AK-12</Speaker>||:アンジェ、あちらに信号弾が！
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||:あれはグリフィンの制式信号弾……指揮官からの誘導か！
AK12(2)<Speaker>AK-12</Speaker>||:イエローエリアの方向ね。ならその体でも助かる可能性があるわ。
AN94(2)<Speaker>AN-94</Speaker>||:アンジェ、体調の方は大丈夫ですか？
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker><震屏>||:大丈夫……コホッ……もうしばらくはもつ。
AK12(2)<Speaker>AK-12</Speaker>||:なら急がないと、そろそろ感染者も集まってくるし。
AN94(5)<Speaker>AN-94</Speaker>||:ただこのまま進むわけにもいかない。+前方にいくつか軍の人形小隊が巡回している。その巡回ルートを回避しないと。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||:軍をおびき寄せて……感染者と戦わせることはできる？
AK12(2)<Speaker>AK-12</Speaker>||:できるわ。さっきの観察によると、軍は感染者に対しても攻撃することが分かっている。多分私たちを追うことに急ぐあまり、友軍の信号や負傷者のことを構っていられないのかもね。+しかし、万が一失敗したら、私たちは同時に軍と感染者の相手をすることになるわ。そうなったら何もかも終わりよ。
NPC-AngeDamage(2)<Speaker>アンジェリア</Speaker>||:そうね……コホッコホッ……クソ、もう少し考えないと……+もう少し……信号弾が打ち上げられたポイントに近づいて、信号スキャンで位置を特定するしか……
AN94(5)<Speaker>AN-94</Speaker>||:できません。戦場の状況が分からないまま、近くに通信できる拠点もなしに、自分たちだけで信号を探しに行くのは危険です。+汚染レベルの低いエリアに行き、信号弾を打ち上げて救援が来るのを待つべきです。
AK12(2)<Speaker>AK-12</Speaker>||:私たち二人だけで軍をやり過ごすのは無理よ。アンジェもそう長くはもたないし、多少の冒険は必要だと思うわ。
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||:二人とも黙って……+もう少し……もう少し考えさせて……
AK12(2)<Speaker>AK-12</Speaker>||:どのみち、このままここに居続けるわけにはいかない。行くわよ、アンジェ。
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker><Shake>||:分かってるさ……コホッコホッ……
NPC-AngeDamage(2)<Speaker>アンジェリア</Speaker>||:早めに……決めて……おくわ……
NPC-AngeDamage(2)<Speaker>アンジェリア</Speaker><Shake>||<黑屏1>:コホッコホッ……コホッコホッゴホッ――！
()||<黑屏1>:<color=#fff775>当該戦役のそれぞれの任務目標を完成することで、違うルートに進むことができます。任務目標を完成した後、他の未プレイルートに進むことができません。リセットを行うことで、再びルートを選択することができます。</color>
()||<黑点2><BIN>10</BIN>:
