()||<SE1>Battlefield</SE1><BIN>7</BIN><Night>:……
G11(2)<Speaker>Gr G11</Speaker>||:ふぅ……やっと安全なとこまできたよ。//nあぁん、疲れた……
UMP9(2)<Speaker>UMP9</Speaker>||:いやいや、疲れてるのは416の方でしょ……+ん？416、突っ込まないの？
HK416(2)<Speaker>416</Speaker>||:…………+45、変だと思わない？+私たちの動きが……アーキテクトのカメラに捕らえられていたのはなぜ？
UMP45(0)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1>:なに？私が関わってるとでも言いたいの？+疑い深いのはあなたの悪い癖よ、416。
HK416(0)<Speaker>416</Speaker>||:ならその疑いを晴らしてみせなさいよ。
UMP9(2)<Speaker>UMP9</Speaker>||:416……
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:フフ……+作戦は練れば練るほど上手くいくものよ。+そして今、私たちの戦いが始まるわ。
UMP45(0)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1><BIN>10</BIN><黑屏2>:前方の拠点が見える？
UMP9(0)<Speaker>UMP9</Speaker>||:あそこって……アーキテクトの基地よね？
UMP45(0)<Speaker>UMP45</Speaker>||:その通り。//nそして、私たちのターゲットでもあるわ。
HK416(2)<Speaker>416</Speaker>||:冗談でしょ……+大型砲台だらけの基地よ、警備も厳しいに決まってるわ。
UMP45(0)<Speaker>UMP45</Speaker>||:普通ならそうよね。+でも今回、敵は普通の相手じゃないの。
UMP9(0)<Speaker>UMP9</Speaker>||:それに、わたしたちだってそんじょそこらの人形部隊とは違うしね！+わたしたちの45姉には、きっと万全な計画があるのよね！
G11(0)<Speaker>Gr G11</Speaker>||:416、また負けたね……
HK416(0)<Speaker>416</Speaker>||:はぁ……+隊長はあなたよ、黙って従うわ。
UMP45(0)<Speaker>UMP45</Speaker>||:ええ、そろそろ出発ね。+アーキテクトに反撃の隙を与えないよう、気合い入れていくわよ！
