()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Room</BGM><BGM>BGM_Room</BGM>:
安潔()||<黑屏1><BGM>BGM_Room</BGM>:……好了，閒談時間結束。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>||<黑屏2><BIN>181</BIN>:開始做我們該做的事吧。+AK12，現在隔離牆周邊的狀況如何？
AK12(0)<Speaker>AK12</Speaker>||:隔離牆外三公里扇面內有五處感染生物正在聚集，原因不明。+目測觀察，這些感染生物的狀態並不穩定。隔離牆附近的駐軍沒有採取行動。+另外，根據最新的預報，之後可能會有雷暴天氣，附近的輻射程度會大大增加。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:雷暴啊……真是糟糕的天氣。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:雷暴天氣可能會進一步刺激那些感染生物。+如果我是負責隔離牆安全的軍官，這個時候就使用火力驅散那些怪物了。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:這是不可能的。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:為什麼？+現在城市裡不是正在開重要的國際會議嗎？
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:正因如此，為了避嫌軍隊使用武力會更加謹慎。+再說，由於坍塌液造成的污染，這裡現在已經不再是這個國家的首都了，有沒有足夠的應急兵力都是個問題。+貝萊格萊德現在的地位……僅僅是一個污染區邊緣的普通城市而已。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:所以也不會有太多人在乎一個被放棄的首都嗎？
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:沒錯……所以這裡的守備力量比較薄弱。+相比其他的城市，各方勢力在這裡的力量都不是很強。+我想，這次會議之所以選在這裡，多半也有這方面的考慮。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:即使伴隨著會被感染生物攻擊的風險嗎？
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:風險與收益是並存的。+而且……相比感染生物，另一些傢伙才值得更加被重視。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:你是說那些白色的傢伙？
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>||<黑屏1>0,3</黑屏1>:是啊……不過也許不僅僅只有他們。
()||<BIN>169</BIN><黑屏2>0,5</黑屏2>:安潔望向山下的都市，神情愈發凝重起來。+而此時通訊傳來，安潔緩緩地舉起手接聽。
NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>安全局已經到達了。</color>+<color=#00CCFF>格里芬也通過了測試。</color>
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;NPC-Jason(0)||:我和你說過格里芬是不會有問題的。
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>接下來還會有更多測試。</color>+<color=#00CCFF>安全局的特工小組會為你爭取時間，希望你的效率不要讓他們失望。</color>
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;NPC-Jason(0)||:嗯。
NPC-AngeStreet(0)<Speaker></Speaker>||<黑屏1>:安潔掛掉了通訊。
安潔莉婭()||<黑屏1><BIN>9</BIN>:這座城市，現在還能如此繁華，但這樣的繁華還能持續多久呢。
()||<BGM>BGM_Empty</BGM><黑屏1>:……+…………+忤逆小隊在紀念碑附近繼續監視隔離牆的狀況。
()||<BIN>181</BIN><黑屏2>:安潔發現AK12停留在紀念碑的一側，似乎在觀察什麼。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>||:你在看什麼，AK12？
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:我在看這座石碑。+為什麼上面沒有刻名字？
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||<BGM>BGM_Wake</BGM>:……光一座石碑，無法承載需要被紀念者的數量。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:空白，是一種警示麼。+不過安潔，這裡不會有人來嗎？
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:為什麼會這麼想？
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:既然這裡是用來祭奠死去同伴的地方……那時常有人會來這裡祭奠吧？
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:……本該是這樣的。+不過，這裡早就被世人遺忘了。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:被遺忘？
