()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<BIN>181</BIN><黑屏2><BGM>BGM_Room</BGM>:……滴。+……通訊中。
AR15Mod(0)<Speaker>AR15</Speaker><通讯框>||:<color=#00CCFF>那也沒必要自己衝出去……我會追上她和她一起跟蹤這輛載具的。</color>+<color=#00CCFF>如果真的能找到“節點”，接下來是直接將它毀掉嗎？</color>+<color=#00CCFF>那到底是什麼東西……？</color>
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AR15Mod(0)||:你不需要知道那是什麼，一旦發現疑似的物體，收到我的命令後就立即摧毀。
AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>……明白了。</color>+<color=#00CCFF>這個頻道不安全，我追上AN94後再想辦法和你聯繫。</color>
AK12(0)<Speaker>AK12</Speaker>||:安潔，我這邊發現了一些不太對勁的狀況。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>||:收到。+我等著你們下一次聯絡，AR15。
()||:安潔結束了和AR15的通訊。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>||:發生什麼了？
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:隔離牆那邊有情況。+除了對牆外的感染生物外，根據你的要求我也一直在監視駐守的當地部隊。+根據我之前的觀察，他們一直在按照固定的模式進行巡邏和守衛行動。+但是就在剛才，有一部分人脫離了他們原有的巡邏路線，開始往牆頭集合。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:是有敵人入侵了？
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:不……+我並沒有偵測到外來信號。+剛才脫離的單位正在用新的識別信號取代了原有的識別信號，信號特徵……是白色勢力。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:“葉子的枯萎總是在根莖腐朽之後”。+不僅是城內，這裡也是這樣麼……
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:安潔，我們現在要怎麼做？
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>||<黑点1>:你和M4現在立即前往隔離牆，偵查和收集那裡的情報。+根據現場狀況，我們再決定下一步的行動。
