()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>159</BIN><黑屏2><BGM>BGM_Truth</BGM>:……市街地にて。
()<Speaker></Speaker>||:グリフィンの小隊は街道を慎重に進んでいた。+自分の悲惨な運命を知りもしないELID感染者をのぞき、戦場のそこかしこに欠損した躯体が散らばっていた。+RO635はいくばくかの感染者を掃討すると、ふいに奇妙な感覚に襲われた。
RO635(2)<Speaker>RO635</Speaker>||:<color=#A9A9A9>（識別信号は、青……）</color>+<color=#A9A9A9>（はぐれたグリフィン人形かしら？）</color>
()<Speaker></Speaker>||:RO635は小隊の人形に、声をひそめて傍に寄るよう指示すると、//nゆっくりと目前の廃墟へと近づいた。+見ると、弾痕に埋め尽くされた鉄板の裏に、//n怯えた表情をした人形が、胸元を抑えながら震えている。+彼女の前には、爆撃で粉々になった、//n感染者の死骸らしきものが転がっていた。
RO635(2)<Speaker>RO635</Speaker>||:だ……大丈夫？
()<Speaker></Speaker>||:灰色の髪の少女は答えなかった。
RO635(2)<Speaker>RO635</Speaker>||:グリフィンの人形ですか？+失踪した監視小隊か……//n今回の任務から新しい仲間が加わったと聞いています。//nあなたは確か、HS2000ですね？資料で見たことあります。
HS2000(1)<Speaker></Speaker>||:少女が顔をあげた。//nその表情は恐怖……そして申し訳なさで満ちていた。
HS2000(1)<Speaker>HS2000</Speaker>||:ごめんなさい……わ、わたし怖くて……+あの人……アイツが……
RO635(2)<Speaker>RO635</Speaker>;HS2000(1)||:……他のメンバーは？
RO635(2);HS2000(1)<Speaker>HS2000</Speaker>||:みなさん、わ、わたしのために……//nご、ごめんなさい……わたし、怖かったんです、すごく怖かったんです……+状況への対処の仕方がみつからなくて……//nメンタルが真っ白になって……急に動けなく……
RO635(2)<Speaker>RO635</Speaker>;HS2000(1)||:おちついて、わたしを見てください。
RO635(2);HS2000(1)<Speaker>HS2000</Speaker>||:わたしがちゃんと戦えていたら……みんなは……+でも……わたし、ただの医療用人形で……
RO635(2)<Speaker>RO635</Speaker>;HS2000(1)||:私の初めての任務は、ちっぽけなものでした。死体を見なくて済んだ分、幸運でしたけど。+―――だから、初陣でELIDを撃退する任務についたあなたは、私なんかより、ずっと勇敢ですよ。
RO635(2);HS2000(1)<Speaker>HS2000</Speaker>||:でも……わ、わたし……
RO635(2)<Speaker>RO635</Speaker>;HS2000(1)||:力の及ばない敵に立ち向かった、それだけでも十分立派です。+だから自分を責めないでください、今はまず、生き残ることが先決です。
RO635(2);HS2000(1)<Speaker></Speaker>||:HS2000は勢いよく顔をあげた。//n当初の動転した様子の他に、その瞳からは驚きと感謝の意がみてとれる。
RO635(2)<Speaker>RO635</Speaker>;HS2000(1)||:次に目覚めるのが基地の工場で、//nこれまでの記憶を失くしてたなんて、イヤでしょう？
RO635(2);HS2000(1)<Speaker>HS2000</Speaker>||:わたし……そんなの、イヤです……
RO635(2)||:RO635はあたりを見回すと、HS2000の肩を優しく叩いた。
RO635(2)<Speaker>RO635</Speaker>||:それなら、まずは頑張って生き残ろう、ね？+今からあなたはわたしたち主力小隊と一緒に行動する。//nだから一緒に、生きて帰る方法を探しましょう。
()<Speaker></Speaker>||:HS2000は瞳を輝かせ、RO635に向かって小さく頷いた。+そして必死に起き上がると、小隊のひとつへと駆け寄った。
()<Speaker></Speaker>||:小隊がそろったのを確認して、RO635が立ち上がる。
RO635(3)<Speaker>RO635</Speaker>||<黑屏1>:できることなら、この子たちをこんなところに来させたくなかったけど。
