()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>97</BIN><Night><BGM>m_va_showtime</BGM><黑屏2>:
Dorothy(0)<Speaker>ドロシー</Speaker>||:あたし……+ここどこ……+それと……+あたしなにしてるの……
Dorothy(2)<Speaker>ドロシー</Speaker><Shake>||:キャッ！なんであたしの足が勝手に動いてるの？！+ここはどこ！あたしは何してるの！
Stella(0)<Speaker>ステラ</Speaker>;Dorothy(2)||:そう叫ぶな、ホワイトナイトに追いつかれるぞ。//n前を見て走って！早く！
Stella(0);Dorothy(2)<Speaker>ドロシー</Speaker>||:ステラ？？
Stella(0);Dorothy(2)<Speaker>ドロシー</Speaker>||:なにがあったの？あたし……お姉ちゃんに意識を乗っ取られたんじゃ？
Stella(0)<Speaker>ステラ</Speaker>;Dorothy(2)||:アナはなぜかあなたへのコントロールを解除した。//nそして私はその機に乗じてあなたをハッキングし、体を操らせてもらっている。
Stella(2)<Speaker>ステラ</Speaker>;Dorothy(2)||:……どうかしたか、ドロシー？
Stella(0);Dorothy(5)<Speaker>ドロシー</Speaker>||:い、いやぁ……
Stella(0);Dorothy(5)<Speaker>ドロシー</Speaker>||:ただなんか……ななななんていうか……こう……
Stella(2)<Speaker>ステラ</Speaker>;Dorothy(5)||:アナに何があったのかは知らないが、これは唯一のチャンス――
Stella(0);Dorothy(5)<Speaker>ドロシー</Speaker>||:ハッキング……操る……+そんな……そんなことがありえるだなんて……
Stella(2)<Speaker>ステラ</Speaker>;Dorothy(5)||:ドロシー……？+なにか様子がおかしいな。//nすまない、もしかしたらハッキングのせいでメンタルにバグが発生したかもしれない。+あとでキャッシュをクリアして、ついでに過熱したモジュールの冷却も――
Dorothy(5)<Speaker>ドロシー</Speaker><Shake>||:うっ、うわあああぁぁぁぁぁぁ――！+もうダメ！処理できないぃぃぃ――！
()||<SE1>Runstep</SE1>:……ドロシーは急に加速して走り出した。
Stella(0)<Speaker>ステラ</Speaker>||:ドロシー、待って！前は――！
Dorothy(5)<Speaker>ドロシー</Speaker>||:ステラ！ハックして！//nあたしが初めての相手だと思ってメチャクチャにハックして！
()||<震屏>:……コン！
Stella(2)<Speaker>ステラ</Speaker>||:あ……ドロシー？大丈夫か？
Stella(2);Dorothy(2)<Speaker>ドロシー</Speaker>||:う……+壁にぶつかっちゃった、ちょっと自己検査が必要かも……
Stella(0)<Speaker>ステラ</Speaker>||:起きて、まだホワイトナイトが後ろにいるから！
()||:……ステラは通路の前方を見た。
Stella(2)<Speaker>ステラ</Speaker>||:……ちっ！なんで行き止まりなんだ！+建物の構造図だとここには通路があるはず……
Stella(2)<Speaker>？？</Speaker>||:だってここは秘密通路だから。
Stella(2)<Speaker>ステラ</Speaker>||:？！壁の後ろから……+それにこの声は……+セイ！セイなのか！
()||<SE1>AVG_door_elecport</SE1>:……ステラの前にある壁がゆっくりと開き、一人のホワイトナイトの姿が現れた。
Sei(0)<Speaker>セイ</Speaker>||:久しぶりね、ステラ。
Sei(0);Stella(0)<Speaker></Speaker>||<SE1>ClothingUp</SE1>:……ステラは一瞬唖然として、そしてすぐセイに駆け寄り抱きしめた。
Sei(0);Stella(3)<Speaker>ステラ</Speaker>||:ああ……+そんな……+まるで……夢のようだ……+もうここで死んでもいい……
Sei(4)<Speaker>セイ</Speaker>;Stella(3)||:ふふっ、それじゃ私が無駄足になるわ、ステラ。
Dorothy(0)<Speaker>ドロシー</Speaker>||:うう……起きたよ。
Dorothy(5)<Speaker>ドロシー</Speaker>||:なにをしてるんだよ、ハニーたち！まずはここから離れた方がいいよ！
Sei(2)<Speaker>セイ</Speaker>||<黑屏1>:どうも、ドロシー総理。+電撃隊第765師団、セイ・P・アサギリ、何なりとご命令を！
()||<BIN>46</BIN><黑屏2><BGM>BGM_Empty</BGM>:……そしてセイは二人を連れて秘密通路に入り、扉を閉めた。
()||<BGM>m_va_follow_the_trail</BGM><SE1>AVG_footsteps_cave</SE1>:……暗い道の中、三人は進む。
Stella(3)<Speaker>ステラ</Speaker>||:よく来てくれた……セイ、あなたがいなかったら私……
Sei(0)<Speaker>セイ</Speaker>;Stella(3)||:来る途中に色々と聞いたわ。//nドロシー総理、アナ、そしてあなたのことも、ステラ。+それで急いで駆けつけてきて、タイミングはちょうどよかったみたいね。
Sei(0);Dorothy(0)<Speaker>ドロシー</Speaker>||:こんなところに秘密通路があったの？全然知らなかった！
Sei(0)<Speaker>セイ</Speaker>;Dorothy(0)||:ここはホワイトナイトの秘密離脱通路、隊長クラスのメンバーにしか使用権限がないけど。+行こう、後10分くらいで本部の裏口に着けるはず。
Sei(0);Stella(0)<Speaker>ステラ</Speaker>||:でもあなたはまだ副隊長だったはず、しかも人間の。
Sei(0)<Speaker>セイ</Speaker>;Stella(0)||:ええ、でもジェリコ隊長が権限を譲ってくれたの。+先住民の方がこれを必要としてるでしょうって。私たちの命は一回限りだから。
Stella(2)<Speaker>ステラ</Speaker>||:セイ……+ジェリコは？
()||:……セイは大きくため息を吐いた。
Sei(3)<Speaker>セイ</Speaker>||:ステラ、あんなことをさせておいて、今さら……
Sei(3);Stella(2)<Speaker>ステラ</Speaker>||:すまない。しかし……+ただなんというか……人形のメンタルモデルはバックアップできるから……+それに……最悪すべてなかったことにも……
Sei(3)<Speaker>セイ</Speaker>;Stella(2)||:なかったことにするなんてありえないよ、ステラ！+私に何をさせたのかをよく考えてみて//nジェリコはこのことを忘れらるかもしれないけど、私は？私だけはこの出来事をずっと覚えているの……
Sei(3);Stella(0)<Speaker>ステラ</Speaker>||:すまない、巻き込んでしまって……+すべて終わったら何とか埋め合わせを……例えば記憶消去の手術とか……
Sei(2)<Speaker>セイ</Speaker>;Stella(0)||<BGM>BGM_Empty</BGM>:でも私はジェリコを殺していない。
Sei(2);Stella(2)<Speaker>ステラ</Speaker>||<BGM>m_va_hopes_and_dreams</BGM>:なに……
Sei(0)<Speaker>セイ</Speaker>;Stella(2)||:ジェリコは私に殺されるつもりでいたけど……+私は一発目を外してしまって、そしてどうしても……二発目を撃てなかった。+私はジェリコを外に残してきた、救援を呼べる場所に……彼女なら自力で何とかなると思ったから。//nそして私たちの味方になってくれると信じている。
Sei(0);Stella(0)<Speaker>ステラ</Speaker>||:分かった……それに、今となってはもう重要なことではない。+本来の計画だと、【傘】ウィルスですべてのグリフィン人形をコントロールし、ドロシーとその裏にいるアナを引きずり出して倒せば、すべて解決できると思っていたんだが。
Sei(0)<Speaker>セイ</Speaker>;Stella(0)||<BGM>BGM_Empty</BGM>:そういえば……あなたどうやって鉄血を操れるようになったの？
