()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>159</BIN><Night><BGM>BGM_Room</BGM>:数分前、グリフィン小隊側。
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:（通知音）
SSG3000(0)<Speaker>SSG3000</Speaker>||:こちらSSG3000。どうかしたのですか、Kord？+……もしもし？+聞こえますか、Kord？
DesertEagle(0)<Speaker>デザートイーグル</Speaker>;SSG3000(0)||:どうされたのです？
DesertEagle(0);SSG3000(0)<Speaker>SSG3000</Speaker>||<SE1>AVG_tele_disconnect</SE1>:隊長、Kordから通信リクエストが来たのですが、//n出ても何も聞こえてきません。+変です、通信までダメになってしまうなんて。
DesertEagle(0)<Speaker>デザートイーグル</Speaker>;SSG3000(0)||:さきほどから雰囲気がおかしいですわね。+わたくしに問いかけてくる声が聞こえ続けているのに、//n声の源がわからない……まるでホラー映画のワンシーンみたいですわ。
DesertEagle(0);SSG3000(0)<Speaker>SSG3000</Speaker>||:緊張しすぎですよ、隊長。+ですが、確かに状況はあまり良くないようです。//nKordの位置座標の特定も出来なければ、通信を送ることも出来ない。+何なんですか、私たちを妨害してるのは！
DesertEagle(0)<Speaker>デザートイーグル</Speaker>;SSG3000(0)||:霧が濃くなって来ましたわ。
DesertEagle(0);SSG3000(0)<Speaker>SSG3000</Speaker>||:私はまだ鮮明に見えますね……何かがこちらに向かって来ています。+「ハハッ、ここにはぐれたヤツが二人もいるぞ」+「何しに来たのかな……」
DesertEagle(0)<Speaker>デザートイーグル</Speaker>;SSG3000(0)||:化け物の真似にしては、セリフに禍々しさが足りませんわね。+もっと息を荒立てながら唸りつつ、//n喋ってる内容もちぐはぐにした方がらしくなるのではなくって？
DesertEagle(0);SSG3000(0)<Speaker>SSG3000</Speaker>||:あはは、ぐうの音も出ませんね。+では、私たちでこいつらを片付けますか？それとも離れます？
DesertEagle(0)<Speaker>デザートイーグル</Speaker>;SSG3000(0)||:わたくしたちの任務は、隔離壁のコントロールセンターを見つけること。+さきほどAR小隊に共有してもらった情報によれば、//nこの区域はケーブルの密度が非常に高く、//nコントロールセンターが置かれている可能性が極めて高いです。+敵が立ちはだかっているなら、排除するしかありませんわ。
DesertEagle(0);SSG3000(0)<Speaker>SSG3000</Speaker>||:いつもに増して頼りになりますね、隊長。//n指揮官の目は慧眼だったということですね。
DesertEagle(0)<Speaker>デザートイーグル</Speaker>;SSG3000(0)||:いつも通りですわ。+それにしても……エキストラの数が多いこと。
DesertEagle(0);SSG3000(0)<Speaker>SSG3000</Speaker>||:そうですね、私の想――
DesertEagle(0)<Speaker>デザートイーグル</Speaker>||<BGM>BGM_Empty</BGM>:危ない！
()<Speaker></Speaker>||<闪屏><duration>5</duration></闪屏>:SSG3000が無意識に体を屈めると、//n彼女の頭があった場所にレーザーが放たれ、//nもう一方の霧へと射込まれた。
SSG3000(0)<Speaker>SSG3000</Speaker>||<BGM>BGM_Danger</BGM>:……なんということでしょう、//nT5000の大好きな役者さんでもいるのでしょうか？
DesertEagle(0)<Speaker>デザートイーグル</Speaker>;SSG3000(0)||:生き残った防衛装置ですわ。+さきほどの爆発で電源の供給は断たれたものだと思っていましたが……//nおそらく非常電源でしょう。+年月もかなり経っているのにまだちゃんと動くなんて、おかしすぎる。+単に性能が良かったから？//nそれとも誰かがメンテナンスをし続けていた……？
