()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>214</BIN><黑屏2><BGM>BGM_Moon</BGM>:……グリフィン基地、アーキテクトの部屋のそばにて。+一匹のダイナーゲートが飛び込んでくると、テーブルの上にジャンプし、//n保管していた小さなプレゼントの包みを物資搬入口に押し込んだ。+遠くで聞こえるグリフィン人形たちの殺意に満ちた叫びを察知すると、//nダイナーゲートは振り返ることなく逃げていった。+そして、アーキテクトは物珍しそうにプレゼントを拾い上げた……
()<Speaker>アーキテクト</Speaker>||<黑点1>:アハハ、ほんとに毎年あたしにプレゼントをくれるんだね。+だけど今年もお返しはできそうにないや……+メリークリスマス……あたしのナイト様。
()<Speaker></Speaker>||<BIN>7</BIN><黑点2><Night>:……グリフィン基地近くの隠れた場所にて。
BOSS-7(0)<Speaker>ゲーガー</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>こっちは成功した。合流地点で待っているぞ。</color>+<color=#00CCFF>10分後にはこっちにこい。</color>
BOSS-6(0)<Speaker>デストロイヤー</Speaker>;BOSS-7(0)<通讯框>||:なに？成功した？！+ちょっと待って、あたしのダイナーゲートが全部ロストしちゃったみたい……
BOSS-6(0);BOSS-7(0)<Speaker>ゲーガー</Speaker><通讯框>||:<color=#00CCFF>予想の範囲内だ。</color>
BOSS-7(0)<Speaker>ゲーガー</Speaker><通讯框>||:<color=#00CCFF>撤退するぞ。そろそろ行かないとグリフィンに見つかる。お前があのバカと同じようになりたいんだったら話は別だがな。</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:……通信終了。
BOSS-6(0)<Speaker>デストロイヤー</Speaker>||:で、でも……
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:……デストロイヤーの視線は、//n反応のないレーダー探知機と時計の間で揺れていた。
BOSS-6(0)<Speaker>デストロイヤー</Speaker>||<BGM>GF_Memorial</BGM>:うぅ……どうしよう。+今日一日頑張ったのに、なんにも貰えないなんて……でも時間もないよぅ………
()<Speaker></Speaker>||:デストロイヤーは地面に座り込み、大声をあげて泣き始めた。
()<Speaker>指揮官</Speaker>||:誰かそこで泣いてるの？
()<Speaker></Speaker>||<黑点1>:デストロイヤーは急いで息を殺し、近くの茂みに隠れた。
()<Speaker></Speaker>||<黑点2><BIN>9</BIN>:指揮官の足音が徐々に近づいてくるのが聞こえる……
BOSS-6(0)<Speaker>デストロイヤー</Speaker>||:終わった……あたしもグリフィンに捕まっちゃうのかな……+アーキテクトみたいな恥さらしにはなりたくない……+ドリーマーに知られた日には、永遠にバカにされ続ける……+自爆するしか……
()<Speaker></Speaker>||:指揮官は不自然に盛り上がり震えている茂みの前で足を止め、//n仕方がなさそうに笑った。
()<Speaker>指揮官</Speaker>||:ゴホン！どこの人形かはわからないけど、//nそんなに泣いているってことはきっとプレゼントを貰えなかったんだね。+ちょうど一つ余ってるから、ここに置いておくよ。+メリークリスマス。
()<Speaker></Speaker>||<黑点1>:暗闇の中でデストロイヤーは目を輝かせながら、//n未だかつてないスピードで、声のする方へ突っ込んでいった。
