()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
UMP45Mod(0)<Speaker>UMP45</Speaker>||<BIN>221</BIN><黑屏2><BGM>BGM_Room</BGM>:果然基地中还有能动的帕拉蒂斯。+416，让9和G11都上来，这边的敌人应该都已经歼灭完了。
AK15(0)<Speaker>AK15</Speaker>||:感谢支援。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:不客气，控制平台在哪里，我们得马上打开大门才行。
RPK16(0)<Speaker>RPK16</Speaker>;UMP45Mod(0)||:我还以为你会关心一下我们的状态呢？
RPK16(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:什么时候轮得到我来关心忤逆小队成员的状态了？
RPK16(0)<Speaker>RPK16</Speaker>;UMP45Mod(0)||:404眼中的忤逆小队究竟是什么样子呢？
RPK16(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:比坦克还要结实，至少不需要我们这些脆弱的民用人形来关心。+控制平台在哪里？
RPK16(0)<Speaker>RPK16</Speaker>;UMP45Mod(0)||:就在这，密码棒也在这里。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:谢谢，416，你去启动控制平台。
HK416Mod(0)<Speaker>HK416</Speaker>||:明白。
RPK16(0)<Speaker>RPK16</Speaker>||:明明大家都是人形，居然会有这样的认知偏差，真是奇妙。+不说两句么？你应该是最有发言权的人形哦？
AK15(0)<Speaker>AK15</Speaker>||:我现在只剩下两个弹匣。
RPK16(0)<Speaker>RPK16</Speaker>||:一如既往地缺乏幽默感啊。+不过这才是你。
UMP9Mod(0)<Speaker>UMP9</Speaker>||:45姐你们成功啦……呜啊！！+地上怎么躺着个人！
RPK16(0)<Speaker>RPK16</Speaker>||:哦，这位是我们的原临时指挥官。+现在他昏迷过去了，就像折断了脊柱的老虎一样没有用处，所以我就顺手接过指挥了。
AK15(0)<Speaker>AK15</Speaker>||:RPK你的指挥和“K”先生比差太多了。+不然我们也不会被堵在控制室了。
RPK16(0)<Speaker>RPK16</Speaker>||:毕竟人形是不能替代人的，就算是这样的人也一样。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:……+原来这位就是“K”，我只在作战记录里见过他的名字。+忤逆其他人呢？+还有安洁在哪里？
RPK16(0)<Speaker>RPK16</Speaker>||:我们在任务中被铁血埋伏了，在撤退中和她们失散了，我们的原指挥官也不幸中弹，他在失去意识前交代我们要守住这里等你们。
HK416Mod(0)<Speaker>HK416</Speaker>||:大门程序已经启动完毕。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:打开大门，9，联系指挥官。
UMP9Mod(0)<Speaker>UMP9</Speaker>||:好嘞！
UMP45Mod(0)<Speaker>UMP45</Speaker>||:你们从基地内出来的通道路线同步给我们，我们需要找到安洁和剩下的忤逆。
RPK16(0)<Speaker>RPK16</Speaker>||:你们打算就这样轻装上阵地冲进去？+宛如扑火的飞蛾一样勇气可嘉呢。+为了任务着想，让AK15跟你们一起行动怎么样？
AK15(0)<Speaker>AK15</Speaker>||:我现在只剩下两个弹匣。
RPK16(0)<Speaker>RPK16</Speaker>||:这对你来说不是问题吧？+啊……我知道了，你不想见到12对不对？
UMP45Mod(0)<Speaker>UMP45</Speaker>||:心领了，我们也不习惯其他人形参与我们小队的行动。+请将路线同步给我们，我们马上就出发。+格里芬的部队很快会和你们汇合，我们的指挥官会为你们提供帮助。
RPK16(0)<Speaker>RPK16</Speaker>||<黑屏1>:欸……那好吧，信息已同步，祝你们好运。你们会用得上的。
