()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>5</BIN><SE1>AVG_Helicopter</SE1>:德国，不莱梅，威尔赫河道下游。
()<Speaker></Speaker>||:此处距离居民区已经有了相当的一段距离。+在河道的两侧，大约50米左右的距离，则被黑色的包厢车和拉好的禁止通行横条团团围住。
()<Speaker></Speaker>||<BGM>BGM_Brain</BGM>:在直升机的轰鸣声中，年轻的男性提着手提箱，穿过了河道边的苔藓路。
NPC-Light(0)<Speaker>？？？</Speaker>||:……
()<Speaker></Speaker>||:隔着树荫，他都能听见对方的对讲机内嘈杂的声音。
()<Speaker>国安局特工A</Speaker>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>D1区搜索完成，未发现异常状况。</color>
()<Speaker>国安局特工B</Speaker>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>A2区搜索完成，未发现异常状况。</color>
NPC-Jason(1)<Speaker>K</Speaker>||:收到，继续搜索，往下再查一公里。+注意，“兔子”已经脱笼了，给我擦亮眼睛，找找她掉下的毛。
()<Speaker>国安局特工A&B</Speaker>||:<color=#00CCFF>明白。</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:国安局的搜索人员已经不眠不休地在河道的两岸工作了超过24个小时。+而距安洁莉娅迈入德国境内，已经过去了五天。
()<Speaker></Speaker>||<SE1>AVG_wind_grass</SE1>:外衣和灌木摩擦着发出细碎的声响，觉察到气息的靠近，K也转过了头。+当K看清来人的面孔时，一瞬提起的心又放了回去。
NPC-Light(0)<Speaker>？？？</Speaker>||:长官。
NPC-Jason(1)<Speaker>K</Speaker>||:过来吧。
NPC-Light(0)<Speaker>？？？</Speaker>||:是。
()<Speaker></Speaker>||:模样年轻的男子走到了K的身边。+他锐利的目光笔直地盯着河道，看着那些仍在忙碌着的搜救船。
NPC-Jason(1)<Speaker>K</Speaker>||:时间紧急，我就长话短说了。+也不兜圈子，你知道我叫你过来干什么吧？莱特？
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:是，我听说是关于安洁莉娅女士的事。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:读过报告了吗？
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:嗯，直到安洁莉娅女士与默莉朵小姐发生冲突为止，我都已经清楚了。+这案子之前是J前辈在跟吧。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:那家伙现在指望不上，还是你更派得上用场。+正好你现在也是关键时刻——想好选哪个字母了吗？
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:请您不要拿我寻开心了。+J前辈是很优秀的特工，我还差得很远。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:真没幽默感。
NPC-Light(3)<Speaker>莱特</Speaker>;NPC-Jason(1)||:是您说时间紧急的。
NPC-Jason(1)<Speaker>K</Speaker>||:你这家伙……算了。
()<Speaker></Speaker>||:K偏过头，眺望起河道上仍在忙碌着的搜救船。
NPC-Jason(1)<Speaker>K</Speaker>||:你觉得默莉朵会死在河里吗？
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:很难讲，就算是同在飞机上的几个人，也没有目击到落水的瞬间。+以这个高度来说，就算是训练有素的特工也很容易受伤。+如果是普通人，就算摔死在水面上也没什么奇怪的。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:但我们的小秘书可没那么简单。
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:是的，问题在于，默莉朵小姐并不是普通人。+就安洁莉娅女士的说法，她是隶属于大型非法组织“帕拉蒂斯”的新型改造人。+据说强度足以匹敌狼群小队的AK12。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:关于帕拉蒂斯的资料，机密程度仍是A级。+这次是破例让你知道的，你明白我的意思吧。
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:是。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:原本计划要飞向乌尔利赫主席所在的办公楼的飞机，在昨天脱离了预定航道。+依照证人的证词做推演，可以确定是在飞机途径旧云达湖时，发生了冲突。
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:证人是指驾驶员和安洁莉娅女士本人吗？
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:没错。+冲突大概持续了六分钟，在抵达河道上空时，嫌犯——默莉朵在意识到计划失败之后，选择了跳机逃亡。+接到消息之后，我立刻封锁了事发地点周围五公里的地区，虽然匆忙，但对包围圈的有效程度我还是很有自信的。
NPC-Light(0)<Speaker>莱特</Speaker>||:但是，还是一无所获？
()<Speaker></Speaker>||:K摊了摊手。
NPC-Jason(1)<Speaker>K</Speaker>||:只能认定为她在此之前便已经脱离现场。+否则，我只能在报告上写她可溶于水了。
NPC-Light(0)<Speaker>莱特</Speaker>||:……
NPC-Jason(1)<Speaker>K</Speaker>||:但也不至于那么绝望。+我们还是发现了一点线索。
()<Speaker></Speaker>||:K稍稍踏了踏脚，示意了一下两人所在的这一处河滩。
NPC-Jason(1)<Speaker>K</Speaker>||:一个小时前，我们在这里找到了脱落的机舱门。+并且检测到了血迹——但这一点目前还是保密状态。
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:血迹？……安洁莉娅女士的确提过，默莉朵应该受伤了。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:我叫人搜索过周围，没有发现她的踪迹。
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:可以推演逃脱路径吗？
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:不可能，血迹的量太少了。+再加上河水本身的影响，很难做路径推演。
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:能推断时间吗？+如果计算路程，再做出半径……
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:脑筋转得很快。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||<SE1>AVG_20Winter_Book</SE1>:这就是要你来做的第一件事情，检验报告在这里。
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:是。+但是恕我直言，即便这样做了，也跟大海捞针没有区别。+而且，如果我们的人手过于分散，即便找到了嫌犯，也很难抓捕。+对手不是能匹敌精英人形的怪物吗？
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:不错，所以这个行动以消极策略进行也没人会责怪你。
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:……+……那么，重点是第二件事情吗？
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:对……没错。+我刚刚收到了一份调令。+在这边的搜查工作结束之后，你要立刻前往柏林。+高兴吧，你要跟你最喜欢的安洁莉娅女士工作了。
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Jason(1)||:……不，请不要这么说。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:少来了，我对青春期小屁孩的事情一点也不关心。+搞明白了就快点走，没看到我有客人了吗？
NPC-Light(0)<Speaker>莱特</Speaker>||:啊……
()<Speaker></Speaker>||:莱特侧头看向了身后，才发现不知何时，带着两位保镖的乌尔利赫静静地站在那里，似乎已经等待了很久。+看着这位优雅的女士，莱特欠了欠身，算是打了招呼。+乌尔利赫点了点头，看样子并不在意。
NPC-Light(0)<Speaker>莱特</Speaker>||:那么，我先告辞了。
NPC-Jason(1)<Speaker>K</Speaker>||:嗯。
