 ()||<BGM>BGM_Room</BGM><BIN>27</BIN><边框>2</边框>:…………AR-15の失踪から5日後。
赫丽安()<Speaker>ヘリアン</Speaker>||<边框>2</边框>:……AR-15に関する最新情報は以上です、クルーガーさん。//n指揮官とAR小隊は今もなお懸命に捜索中です。+それから、先ほど404小隊が申請した【緊急指揮権】ですが、こちらで承認しておきました。 
克鲁格()<Speaker>クルーガー</Speaker>||<边框>2</边框>:……やむを得ない場合を除き、彼女たちに権限を与えるものじゃないぞ。
赫丽安()<Speaker>ヘリアン</Speaker>||<边框>2</边框>:404小隊が直面している脅威は予想以上に深刻です。+あのジャミング装置も、本当に【傘計画】と関係があるのかもしれません。
克鲁格()<Speaker>クルーガー</Speaker>||<边框>2</边框><黑屏1>:うむ……+それで、404小隊は今どこだ？
赫丽安()<Speaker>ヘリアン</Speaker>||<BIN>9</BIN>:まだS06地区にいますが、すでに行動を開始しています。 +彼女たちが生きて戻れば、より詳細な情報が手に入ると思われます。
 ()||<BGM>BGM_Empty</BGM><SE2>Alarm</SE2>:……時を同じくして、S06地区の鉄血紛争地帯にて。
UMP9()<Speaker>UMP9</Speaker>||<SE1>Battlefield</SE1>:ねぇ～、起きてよ。+ほら、416。//n早く起きてってば！+ね～～～～え～～～～！
HK416()<Speaker>416</Speaker>||<BGM>BGM_NightOPS</BGM>:んんっ……+……うるさいわね。
UMP9(3)<Speaker>UMP9</Speaker>||<睁眼><BIN>3</BIN><Night>:やっほー！//n416、調子はどう？
HK416()<Speaker>416</Speaker>||:「最高の気分よ」と答えてほしいのなら 、さっさと石をどけてくれる……？
UMP9(3)<Speaker>UMP9</Speaker>||<黑屏1>:オッケー。鉄血の包囲殲滅隊が到着するまであと3分あるし、手伝ってあげるね。
UMP9(0)<Speaker>UMP9</Speaker>||<SE1>Battlefield</SE1><黑屏2>:ところでさ。遠くの爆撃音、聞こえてるよね？//nまずい状況になったらわたしは先に失礼するから、よろしくね。
HK416(0)<Speaker>416</Speaker>;UMP9(0)||:背を向けた瞬間、頭を捻じ曲げてあげるわ——頭の部分だけ。
HK416(0);UMP9(3)<Speaker>UMP9</Speaker>||:怒らないでよ〜。//n鉄血がやってくるのはわたしのせいじゃないんだから。
HK416(0);UMP9(0)<Speaker>UMP9</Speaker>||:ただの通信ジャミング装置だっていうのに、なんであんな必死になっているのかな。
HK416(0)<Speaker>416</Speaker>;UMP9(0)||:私たちが甘く見過ぎていたのよ。//n今回ヘリアンがあんなに高い額を提示したのも、そもそも訳ありだったってことね。
HK416(0);UMP9(2)<Speaker>UMP9</Speaker>||:だよねぇ。//nここら一帯レーダー基地だらけだし、一瞬でも姿を見せたら蜂の巣にされちゃうよ。
HK416(0)<Speaker>416</Speaker>;UMP9(2)||:夜間作戦をやるからには、早いところレーダー基地を占領しないと何も見えないわ。
HK416(0);UMP9(0)<Speaker>UMP9</Speaker>||:わたしたち二人だけじゃ無理そうね。//n今回は鉄血の装甲部隊もいるみたいだし。
HK416(0)<Speaker>416</Speaker>;UMP9(0)||:そうね……+どうりで私たちの銃弾が効かないわけだわ。//n徹甲弾は手に入らないの？
HK416(0);UMP9(0)<Speaker>UMP9</Speaker>||:45姉が方法を考えてくれてるよ。//nそれで手に入るかは……分からないけど……
HK416(0)<Speaker>416</Speaker>;UMP9(0)||:冗談ならよして、9。//n45はとっくに準備してあるんでしょ？
HK416(0);UMP9(2)<Speaker>UMP9</Speaker>||:えっ？どうして……
HK416(0)<Speaker>416</Speaker>;UMP9(2)||:3分経ったのに、まったく逃げる素振りを見せないから。
UMP9(3)<Speaker>UMP9</Speaker>||<黑屏1>:あはは……♪//nよく分かってるじゃない。+これが最後のひとつよ。//nほら。
UMP9()<Speaker>UMP9</Speaker>||<BIN>9</BIN><黑屏2>:すぐに45姉に連絡するわ。//nそのあたりに身を潜めて待ってて。+にしても、鉄血の突撃隊がそろそろ到着するけど、本当にお祈りとかしなくていいの？
HK416()<Speaker>416</Speaker>||<黑屏1>:45がうまくやっているとすれば、祈るべきは鉄血の方よ。
UMP45(0)<Speaker>UMP45</Speaker><通讯框>||<黑屏2><BIN>3</BIN><Night><SE1>Battlefield</SE1>:応答せよ、UMP9。//n416のやつは死んだ？
HK416(2)<Speaker>416</Speaker>;UMP45(0)||:残念だったわね。//n今すぐ私たちを連れて撤収してちょうだい。
HK416(2);UMP45(0)<Speaker>UMP45</Speaker>||:まあまあ急かさないでよ、416。//nまだ負けを認めたわけじゃないんだから。+今からあなたたちを連れて包囲を突破するわ。//nそれから9はわたしと合流して、新しい任務に取り掛かるわよ。+416はG11の回収に向かって。//nあの子、まだ鉄血の陣地で盗聴任務にあたってるから。//nあとでまとめて迎えに行くわ。
HK416(2)<Speaker>416</Speaker>;UMP45(0)||:はぁ……そっちこそ急かさないでくれる？//nまともな装備もない私たち二人で、装甲部隊の大軍を迎え撃てっていうの？
UMP9(2)<Speaker>UMP9</Speaker>;UMP45(0)||:それに……真っ暗闇の中でジャミング装置を探すことになっちゃう。
UMP9(2);UMP45(0)<Speaker>UMP45</Speaker>||:大丈夫よ。//nさっきヘリアンから【緊急指揮権】をいただいたから。+それに今回、グリフィンは【装備】権限まで開放してくれたんだから、心配は無用よ。
UMP9(3)<Speaker>UMP9</Speaker>;UMP45(0)||:よかった！//nグリフィンの物資があれば、部隊も徹甲弾も揃うね！
HK416(2)<Speaker>416</Speaker>;UMP45(0)||:でも、暗闇での視界はどうすればいいの？//nまだ敵さえもまともに見えない状況なのよ。
