()||<BGM>BGM_Empty</BGM><BIN>41</BIN><火花><SE1>Battlefield</SE1>：3445
WeaverElite(3)<Speaker>衔尾蛇</Speaker>||：3446
SR3MP()<Speaker>SR3MP</Speaker>||：3447
WeaverElite(3)<Speaker>衔尾蛇</Speaker>||<SE1>Battlefield</SE1>：3448
WeaverElite(1)<Speaker>衔尾蛇</Speaker>||：3449
SR3MP()<Speaker>SR3MP</Speaker>||：3450
WeaverElite(3)<Speaker>衔尾蛇</Speaker>||：627
()||：3451
M4A1(0)<Speaker>M4A1</Speaker>||：3452
SR3MP()<Speaker>SR3MP</Speaker>||：3453
M4A1(2)<Speaker>M4A1</Speaker>||：3454
WeaverElite(3)<Speaker>衔尾蛇</Speaker>||：3455
M4A1(0)<Speaker>M4A1</Speaker>||：3456
WeaverElite(3)<Speaker>衔尾蛇</Speaker>||：3457
WeaverElite(1)<Speaker>衔尾蛇</Speaker>||<黑屏1><关闭火花>：3458
M4A1()<Speaker>M4A1</Speaker>||<黑屏2><BIN>9</BIN>：3459
()||<SE2>Gunfight</SE2>：3460
M99()<Speaker>M99</Speaker>||<SE1>Battlefield</SE1>：3461
M4A1()<Speaker>M4A1</Speaker>||：3462
()||<BGM>BGM_Sad</BGM><SE1>Battlefield</SE1>：3463
M99()<Speaker>M99</Speaker>||：3464
()||<SE2>Gunfight</SE2>：3465
M4A1()<Speaker>M4A1</Speaker>||：3466
M99()<Speaker>M99</Speaker>||<SE1>Battlefield</SE1>：3467
M4A1()<Speaker>M4A1</Speaker>||：3468
M99()<Speaker>M99</Speaker>||：3469
()||：3470
()||<BGM>BGM_Empty</BGM>：3471
()||：3472
()||<黑屏1>：3473
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||<BGM>BGM_Room</BGM><BIN>8</BIN><黑屏2>：3474
NPC-Helian(0)<Speaker>赫丽安</Speaker><通讯框>;NPC-Persica(0)||：3475
NPC-Helian(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||：3476
NPC-Helian(0)<Speaker>赫丽安</Speaker>;NPC-Persica(0)||：3477
NPC-Helian(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||：3478
NPC-Helian(3)<Speaker>赫丽安</Speaker>;NPC-Persica(0)||：3479
NPC-Helian(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||：3480
NPC-Helian(0)<Speaker>赫丽安</Speaker>;NPC-Persica(0)||：3481
NPC-Helian(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||：3482
NPC-Helian(0)<Speaker>赫丽安</Speaker>;NPC-Persica(0)||：3483
NPC-Helian(0);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||：3484
NPC-Helian(3)<Speaker>赫丽安</Speaker>;NPC-Persica(2)||：3485
NPC-Helian(3);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||：3486
NPC-Helian(0)<Speaker>赫丽安</Speaker>;NPC-Persica(2)||：3487
NPC-Helian(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||：3488
NPC-Helian(0)<Speaker>赫丽安</Speaker>;NPC-Persica(0)||：3489
NPC-Helian(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||：3490
NPC-Helian(0)<Speaker>赫丽安</Speaker>;NPC-Persica(0)||：3491
NPC-Helian(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||：3492
NPC-Helian(0)<Speaker>赫丽安</Speaker>;NPC-Persica(0)||：1744
NPC-Helian(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||：3493
NPC-Helian(0)<Speaker>赫丽安</Speaker>;NPC-Persica(0)||<黑屏1>：3494
帕斯卡()<Speaker>帕斯卡</Speaker>||<黑屏2><BIN>9</BIN><黑屏1><BGM>BGM_Empty</BGM>：3495
()||<黑屏2><BIN>46</BIN>：3496
BOSS-9(0)<Speaker>建筑师</Speaker>||<BGM>BGM_Brain</BGM>：3497
衔尾蛇()<Speaker>衔尾蛇</Speaker>||：3498
BOSS-9(0)<Speaker>建筑师</Speaker>||：3499
衔尾蛇()<Speaker>衔尾蛇</Speaker>||：3500
BOSS-9(0)<Speaker>建筑师</Speaker>||：3501
衔尾蛇()<Speaker>衔尾蛇</Speaker>||：3502
BOSS-9(0)<Speaker>建筑师</Speaker>||：3503
衔尾蛇()<Speaker>衔尾蛇</Speaker>||：3504
BOSS-9(0)<Speaker>建筑师</Speaker>||：3505
衔尾蛇()<Speaker>衔尾蛇</Speaker>||：205
BOSS-9(0)<Speaker>建筑师</Speaker>||：3506
衔尾蛇()<Speaker>衔尾蛇</Speaker>||：3507
BOSS-9(0)<Speaker>建筑师</Speaker>||：3508
衔尾蛇()<Speaker>衔尾蛇</Speaker>||<黑屏1>：3509
建筑师()<Speaker>建筑师</Speaker>||<黑屏2><BIN>9</BIN>：3510
衔尾蛇()<Speaker>衔尾蛇</Speaker>||：3511
建筑师()<Speaker>建筑师</Speaker>||：3512
()||<黑屏1>：3513
