()||<BIN>34</BIN><BGM>BGM_Empty</BGM>:…………
FNFNC(0)<Speaker>FF FNC</Speaker>||<BIN>34</BIN>:これで終わったんだよね……？
FN49(0)<Speaker>FF FN49</Speaker>||<BIN>34</BIN>:と……止まりました……？
BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>34</BIN>:私が見てきます！
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:ノエル、気を付けてね。
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>34</BIN>:あの、あなたは一体……誰ですか？
GG_elfeldt_505(0)<Speaker>エルフェルト</Speaker>;BB_Noel(2)||<BIN>34</BIN>:…………+あ……あなたは……
GG_elfeldt_505(0);BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>34</BIN>:……！+……私が分かるの？
GG_elfeldt_505(0)<Speaker>エルフェルト</Speaker>;BB_Noel(2)||<BIN>34</BIN>:人……人形……+私の……「感情」……？+そうだわ……ヴァレンタインの……「感情」……+わ……私は……+私は一体……！
GG_elfeldt_505(0)<Speaker>エルフェルト</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑屏1><震屏>:うわああああああ！
()||<BIN>9</BIN><SE1>TiexueDie</SE1>:……そうしてエルフェルトは声を上げると倒れてしまい、動かなくなった。
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN><黑屏2>:…………+あんたたちはここにいて、私が見てくる。
FAL(0);FNFNC(0)<Speaker>FF FNC</Speaker>||<BIN>34</BIN>:き、気を付けてね……
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)||<BIN>34</BIN><BGM>BGM_Room</BGM>:…………+ダミーネットワークの神経が切断されているから、もう指一本動かせないはずよ。
FAL(0);FN57(0)<Speaker>Five-seven</Speaker>||<BIN>34</BIN>:……ダミーネットワーク？//nつまり彼女は……
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>34</BIN>:ええ、こいつは鉄血が改造したただのダミーだったってことね……+つまり……本体ではないってこと。
FAL(0);BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>34</BIN>:え……本人じゃないのですか？+な、なら！//n本物のエルフェルトは一体どこに？
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:ダミーがここにいるってことは、本体もそう遠くはないはずよ……+みんな！//n直ちに近辺の怪しい箇所を捜索して！
FAL(0);FN49(0)<Speaker>FF FN49</Speaker>||<BIN>34</BIN><黑屏1>:了解しました！
()||<BIN>54</BIN><黑屏2>:時を同じくして、鉄血工場某所にて……
BOSS-4(0)<Speaker>イントゥルーダー</Speaker>||<BIN>54</BIN>:……今回はこんな風に終わっちゃうのですね。+まぁいいわ。//nどのみち拾ってきただけのおもちゃですもの……+余興としては十分に楽しめましたわ。+じゃあ……ご苦労様、あなたとはここでお別れみたいね。+王子様が起こしに来るのをおとなしく待つことね……「ウサギ」さん。
()||<BIN>54</BIN>:…………
艾尔菲尔特()<Speaker>エルフェルト</Speaker>||<BIN>54</BIN><黑屏1>:…………
()||<BIN>9</BIN><黑屏2><黑屏1>:FN小隊が捜索を始め、しばらく経ってから……
FAL(0)<Speaker>FAL</Speaker>||<BIN>54</BIN><黑屏2>:49が見つけた不審なカプセルっていうのは、これのことなのね？
FAL(0);FN49(0)<Speaker>FF FN49</Speaker>||<BIN>54</BIN>:はい……これです、間違いありません。
BB_Noel(2)<Speaker>ノエル</Speaker>;FN49(0)||<BIN>54</BIN>:本物の……エルフェルト……
