()||<BGM>BGM_Sunshine</BGM><BIN>8</BIN>:……最終試験を無事通過した。
NPC-Helian(0)<Speaker>ヘリアン</Speaker><通讯框>||:まったく驚いたな……+貴官なら問題ないと信じてはいたが、この成績は予想以上だ……
()||<BIN>8</BIN>:……ドアが開く。+カリーナが入って来た。
NPC-Kalin(1)<Speaker>カリーナ</Speaker>||:あ！へリアンさん、戻ってらしたんですね。
NPC-Helian(0)<Speaker>ヘリアン</Speaker>;NPC-Kalin(1)||:ああ。//nお前に試験の手伝いを頼んでいたら、また遅れが発生するところだったな。
NPC-Helian(0);NPC-Kalin(3)<Speaker>カリーナ</Speaker>||:ええ～？//n指揮官さまの前回の成績なら、ちゃんと遅れずに提出したじゃないですかぁ！
NPC-Helian(0)<Speaker>ヘリアン</Speaker>;NPC-Kalin(3)||:では今回は？//nまた寝過ごしたとは言わさんぞ。
NPC-Helian(0);NPC-Kalin(0)<Speaker>カリーナ</Speaker>||:今回は……えへへ……
NPC-Helian(3)<Speaker>ヘリアン</Speaker>;NPC-Kalin(0)||:……？//n何を笑っている。
NPC-Helian(3);NPC-Kalin(0)<Speaker>カリーナ</Speaker>||:さっき同僚に聞いたんですよぉ～
NPC-Helian(3);NPC-Kalin(1)<Speaker>カリーナ</Speaker>||:へリアンさんが……前回休んだ……わ・け♪
NPC-Helian(2)<Speaker>ヘリアン</Speaker>;NPC-Kalin(1)||:……なっ！！
NPC-Helian(2);NPC-Kalin(1)<Speaker>カリーナ</Speaker>||:残念でしたねぇ、また合コン失敗しちゃって……
NPC-Helian(2)<Speaker>ヘリアン</Speaker>;NPC-Kalin(1)||:な、何のことか全くわからんな！
NPC-Helian(3)<Speaker>ヘリアン</Speaker>;NPC-Kalin(1)||<黑屏1>:指揮官、今日はこれまでだ！+か、解散ッ！
