()||<BIN>99</BIN><BGM>BGM_Danger</BGM><SE1>Battlefield</SE1>:……1時間前、AR小隊のいる塹壕の中。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE2>Gunfight</SE2>:ようやく出てきたな……ジャッジ！
BossJustice(0)<Speaker>ジャッジ</Speaker>||:お前に用はない、M4A1はどこだ？
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:お前たちがM4のメンタルモデルをハッキングしたんだろ！M4は絶対渡さないんだから！
BossJustice(0)<Speaker>ジャッジ</Speaker>||:他人のメンタルモデルを抉り出し、その価値を計る……か。+……そんなことはしたくないが、必要とあらばそれもジャッジの仕事だ。
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||<SE1>Battlefield</SE1>:突っ込むだけなら簡単でいいですね、鉄血のジャッジさん。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:指揮官の部隊が外から迫ってます、//nあなたの後方部隊はもう持ちませんよ！
BossJustice(0)<Speaker>ジャッジ</Speaker>||<SE2>Gunfight</SE2>:後方の事なんざどうだっていい、お前たちに審判さえ下せればな。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:仮にM4を捕まえられたって、生きては帰らせないから。+それに軍がもうすぐお前らのエルダーブレインを捕まえるよ、そっちの心配はいいの？
BossJustice(0)<Speaker>ジャッジ</Speaker>||:なにも分かってないようだな、SOP II。+ずっと、M4A1といながら、ちっとも彼女の価値を理解していない。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:M4にどんな価値があったって、わたしたちの仲間、家族なんだよ！//nそれさえ分かれば十分！
BossJustice(0)<Speaker>ジャッジ</Speaker>||:なら彼女のためにここで死ね！
()||:……鉄血の先鋒部隊が迫ってくる。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||<SE2>Gunfight</SE2>:シノ、そっちはまだ持ちそう！？
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:余裕よ、もう一戦くらいなら。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:シノさんは負傷してるでしょ！早く隠れてて！
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:みなさん！防衛ラインを縮めて、ワタシの方へ集まってください！
()||:……生存した人形達で集まり、火力を集中して鉄血の攻撃を退いた。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:シノはちょっと休んでて、それとついでに、ワタシたちの救援に反応した人がいないか確認して。
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||<SE2>Gunfight</SE2>:……いないよ、お姉ちゃん。でも、情報が一つ。+強さはわからないけど、軍のとある信号がワタシたちに近づいてるみたい。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||<SE1>Battlefield</SE1>:軍の支援部隊かな？さっきは全然連絡が取れなかったけど。
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:今も連絡は取れないけどね。//nもうこの際、支援部隊かどうかなんてどうでもいいよ。+どうせ軍は、かわいそうなグリフィン人形なんか助けたくないだけだよ。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||<SE2>Gunfight</SE2>:でも、友軍であることには間違いなさそうだよ！SOS信号の発信をそのまま続けてて！+皆さん、まだ負けたわけじゃありません！指揮官がもうすぐ来てくれます、もうひと踏ん張りです！
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Empty</BGM>:カノさん、シノさん……+巻き込んじゃって、ごめんなさい。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:ははっ、ワタシ達にとっては光栄なことですよ！
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:ワタシはそんなこと言ってない。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:ちょっとシノ、「情報」をワタシに教えてくれたのはあなたでしょ。
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:ワタシはただお姉ちゃんに来てほしかっただけ。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:情報？何のこと？
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||<BGM>BGM_Wake</BGM>:XM3からの情報です。+XM3はワタシたちの同期なんですが、前にM4A1さんを護衛する任務で一度亡くなってしまったんです……
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:とても有意義な初めてで、ワタシは羨ましいです。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:でも幸い、彼女のメンタルモデルは大事には至りませんでした。+ですからそれで、M4A1のこともちゃんと覚えていて、伝えたいこともあるって。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:伝えたいこと？
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:謝りたいと。+もし自分がこんなにも早く死ぬと分かっていれば、もっときちんと向き合えばよかったと話していました。
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:もっと広い心で接すれば良かったと。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:でもあの娘、まだ修理中なんです。//nなので代わりに、ワタシたちが気持ちを伝えてくれって頼まれまして。
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:ただ勘違いしないでください、ワタシたちはあくまで指揮官の命令に従っただけのことです。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:ワタシたちは、自分からこの任務に志願したんですよ。
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:こんな残酷な戦場に立たされて、ワタシ泣きそう。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:もうシノったら、その涙は痛いからでしょ！//n見栄を張らないの！
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:でもここは戦場だよ！彼女の一言で来ちゃうなんて、 お人好しにもほどがあるよ！
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:戦場だから、ですよ。+AR小隊にしろ、ワタシとシノにしろ、そして他の人形たちにしたって、みんな互いのメンタルの中でしか生きられません。+もしワタシたちがお互いのことすら、覚えられなかったら、誰がワタシたちを覚えていてくれるのでしょう？
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<黑屏1>:……
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>9</BIN>:前に聞いてきたよな。+なぜ我々は作戦のための道具なのに、感情モジュールなんかが付いてるのかって。+要するに、感情そのものが欠陥だってことさ、SOP II。+人形だろうと人間だろうと、私たちは不良品なんだ。
RO635()<Speaker>RO635</Speaker>||:分からないわ……+でも、感情モジュールは人間がわたしたちに与えたものよ。//n自分たちの製品に、わざわざ不良品のレッテルを貼るわけないじゃない？+だから……きっと何か意味があるはずよ。
AR-15()<Speaker>AR-15</Speaker>||<黑屏1>:私は、自分がやるべきことをするだけよ。+急いで、SOP II。//nこのシールドから離れて。+M4が待っているわ。//nしっかり守ってあげてね、頼んだわよ……
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||<黑屏2><BIN>99</BIN>:SOP II、余裕はまだどれくらい残ってますか？+いっそのこと全部出し切って、この戦いを楽しみましょうよ！
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:そして、この死を楽しみましょう。
()||<黑屏1><BGM>BGM_Empty</BGM>:……
SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||<黑屏2<BIN>9</BIN>><BGM>BGM_War</BGM>:指揮官……指揮官がわたしたちのために、今も前線で一生懸命奮闘してくれていることは知ってるよ。+わたしたちも、M4を守るために、そしてまた指揮官と会うために、一生懸命生き延びようと頑張ってる。+だから、どうか今日のわたしを忘れないで。勝ったって負けたって、最後にはきっと、最高に満足しているはずだから。+……だから、またいつか会えるように、どんな形でもいいから、今日のわたしたちを忘れないで。
BossJustice(0)<Speaker>ジャッジ</Speaker><通讯框>||:まだ諦めないつもりか？もう長くは持たないはずだ！
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:いつまでも持ちこたえるつもりはありません、ただ最後まで戦い抜くだけですよ！
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:お姉ちゃん、今のうちに言っておくね。//nワタシ、今とっても嬉しい。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:今回は嘘じゃなく？
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:もう、わかってるくせに。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:ふふ、最後ぐらい、少しでも多くシノと話したいもの。+グリフィンの皆さん、栄光の時は来ました、迎える準備はいいですね？+Alla vittoria——
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:Alla gloria militar！
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<黑点1>:みんな揃ったね？+それじゃ、鉄血のクズ共、お昼の時間だよ。+いくよ——！
