()||<BIN>99</BIN><BGM>BGM_Danger</BGM><SE1>Battlefield</SE1>:…………パンッ！+……パンパンッ！
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:指揮官……指揮官の部隊がもうすぐ包囲網を突破するって！
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||<SE2>Gunfight</SE2>:みなさん、もう少しの辛抱です！10分もすれば指揮官の部隊が到着するはずですから！+SOP IIは？誰かSOP IIを見てませんかー！？
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:最後の時を楽しんでいるんじゃないですか？おおかた。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<SE2>Gunfight</SE2>:あっはははははは——！！+どこに隠れたのかなぁ！？+無駄無駄、そんなの無駄だよ！//nほらほら～、見つけた奴から、食べちゃうぞ～！！
BossJustice(0)<Speaker>ジャッジ</Speaker>||<SE2>Gunfight</SE2>:SOP II……+これがAR小隊のアタッカーの、本当の姿なのか？+だがこの距離なら、ちょうどいい……
()||:……ジャッジが片手を上げた。
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:あの動きは……EMP！
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:みなさん伏せてください！+SOP II、援護をお願いします！
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:お前も付き合え、ジャッジ！
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:ちょっと、お姉ちゃん何するつもり！？危ないよ！
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:この距離なら、当たるはず！+もう他に選択肢はないの、この狙撃にすべてを賭ける！
SOP II&卡诺()<Speaker>SOPMOD II&カルカノ</Speaker>||<BGM>BGM_Empty</BGM>:ジャッジ——！！
()||<SE1>Explode</SE1><震屏>:……ドーン！！+……巨大な爆発がSOP IIとカノを吹き飛ばした。+……ジャッジは重傷を負い、その場に倒れ込んだ。
法官()<Speaker>ジャッジ</Speaker>||<SE2>Gunfight</SE2>:この攻撃……+ゲホッ……ゲホゲホッ……+ご主人……いるか、ご主人！？
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:……軍の人形ね。
法官()<Speaker>ジャッジ</Speaker>||:……ゲホッ、そうか。+全鉄血に告ぐ、わたしを護れ！撤退だ！
()||:……鉄血は撤退を始めた。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:軍が来たのね！はぁ、助かった～！
()||:……SOP IIは起き上がり、呆然としばらく立ち尽くした。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:わたしたち……助かったの？
()||<SE1>Runstep</SE1>:……カノは武器をしまい、駆け付ける。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||<BGM>BGM_Sneak</BGM>:ふむふむ、突然援軍が現れたってわけね。+どうやらワタシたち、軍に見捨てられた訳ではなかったようね。
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:お姉ちゃん、軍の人が来たよ。
()||:……遠くから一人の人間が、人形小隊を連れて向かってきていた。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:あ！やっぱりエゴール大尉だったのですね？+こんにちは、この度のご支援、心より感謝いたします！
()||:……エゴールはそれを気にも留めず、立ったままカノの後ろを見つめていた。
