()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
RO635(0)<Speaker>RO635</Speaker>||<黑屏2><BGM>BGM_Sneak</BGM><BIN>167</BIN>:比我預想的還要簡單得多……敵人沒來得及設下太多防禦麼……+要不順便把控制權也一起奪取過來……
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:RO！RO！！快醒醒！
RO635(0)<Speaker>RO635</Speaker>||:怎麼了……我還沒完全搞完……
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:白色的傢伙！他們在朝我們的位置靠近過來！+難道是發現我們這裡在入侵……？
？？()||:<color=#00CCFF>真是的，你們的守護天使都已經告訴你們了，不要碰那個控制台。</color>+<color=#00CCFF>那邊愚蠢的傢伙設了個無可救藥的陷阱，結果跳進了不是他們想要的兔子……多麼有趣的一天。</color>
RO635(4)<Speaker>RO635</Speaker>||:這是……強制通訊？！+你是誰——！
RO635(4)<Speaker>？？</Speaker>||:<color=#00CCFF>如果再不離開這裡，兔子就要被抓起來烤熟了。</color>+<color=#00CCFF>雖然我從不會提供免費的情報，不過這次就破一次例讓你們延遲支付吧。</color>
RO635(0)<Speaker>RO635</Speaker>||:這個訊息……是下水道的隱藏道路？
RO635(0)<Speaker>？？</Speaker>||:<color=#00CCFF>從這裡走你們之前還有活下去的希望，要是你們就在這邊完蛋，以後我也挺難辦的。</color>
RO635(4)<Speaker>RO635</Speaker>||:你就是線人嗎？你現在在哪裡！？+該死，訊號已經消失了……
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:現在該怎麼辦？這就是那個線人吧？就這麼離開我們今天不就前功盡棄了嗎？
RO635(0)<Speaker>RO635</Speaker>||:但不管怎麼說，先得活著從這個位置離開……+要是真的被白色敵人包圍在這個房間裡就全完了。
RO635(0)<Speaker>RO635</Speaker>||:指揮官您還在嗎？非常抱歉我們現在需要支援！+這邊有一個特殊的道路，可以避開敵人進入下水道，請您協助我們撤離吧！+然後SOP2，把你的狗交出來！
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:狗？你指“香蕉”嗎？
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:不管它叫啥……我需要用藉助它的性能反向追蹤那個線人訊號最終的位置。+如果他可以強行連線我們，那一定就在不遠的地方。+在指揮官的梯隊移動過來之前還有一段時間，我們今天一定不會前功盡棄的！
