()||<BIN>8</BIN><BGM>BGM_Room</BGM>:……作戦終了。
NPC-Kalin(4)<Speaker>カリーナ</Speaker>||:やっと終わった……ペルシカさんも言っていたように、これが最後なんですよね？+でもやっぱり何も収穫はなかったですよ。//nあったのはビデオテープが一本だけ……
NPC-Persica(1)<Speaker>ペルシカ</Speaker><通讯框>;NPC-Kalin(4)||:えっ、ビデオテープ？！それ……ちょっと見せて！
NPC-Persica(1);NPC-Kalin(2)<Speaker>カリーナ</Speaker>||<黑屏1>:え？これ……指揮官さま、再生できますか？
格琳()<Speaker>カリーナ</Speaker>||<黑屏2><BIN>9</BIN><黑屏1>:OK、再生しますよ――
()||<黑屏2><BIN>2</BIN><边框>2</边框>:……
M4A1(0)<Speaker>M4A1</Speaker>||<边框>2</边框>:……19時25分、逃亡70日目。//n進展はありません……いえ、むしろ前より厳しい状況に陥っています……+……というのも、鉄血にマークされてしまったので。+鉄血の追撃は想定内でしたが、相手がしつこくて、予断を許さない状況です……
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏1><边框>2</边框>:あとどのくらい持つか分かりません。//n早急にグリフィンの誰かと連絡を取らないと。 
()||<黑屏2><BIN>8</BIN>:……再生終了。
NPC-Kalin(4)<Speaker>カリーナ</Speaker>||:これ……何ですか？ペルシカさんが探してたものって、これ？
NPC-Persica(0)<Speaker>ペルシカ</Speaker><通讯框>;NPC-Kalin(4)||:……
NPC-Persica(0);NPC-Kalin(4)<Speaker>カリーナ</Speaker>||:ペルシカさん？？
NPC-Persica(1)<Speaker>ペルシカ</Speaker>;NPC-Kalin(4)||:え？+あ……その……
NPC-Persica(2)<Speaker>ペルシカ</Speaker>||:いずれにしても、ありがとう。指揮官。+さすがはへリアンが見込んだ新人ね……パチパチパチ……
NPC-Persica(2)<Speaker>ヘリアン</Speaker>||:私が見込めばそれだけでいいわけではない。//nこちらの指揮官を重点的に育成するというのは、クルーガーさんが決めたことだ。
NPC-Persica(2)<Speaker>ペルシカ</Speaker>||<黑屏1>:そう！そうね、結局はボスが決めることよね。//nそれからついでに……
NPC-Helian(0)<Speaker>ヘリアン</Speaker><通讯框>;NPC-Persica(2)<通讯框>||<黑屏2>:ついでに――ペルシカ。+そちらの任務は完了したか？
NPC-Helian(0);NPC-Persica(1)<Speaker>ペルシカ</Speaker>||:それなら……安心して。+データは手に入れたから。すぐに結果がでるわよ。
NPC-Helian(0)<Speaker>ヘリアン</Speaker>;NPC-Persica(1)||:それなら急いでほしい。//n時間は限られているからな……分かっているだろうが。+それに、こちらの指揮官を育成するのはお前の雑用係にするためじゃない。
NPC-Helian(0);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||:ええ……指揮官……今回は、ありがとう……
NPC-Helian(0);NPC-Persica(2)<Speaker>ペルシカ</Speaker>||:今度、コーヒーをご馳走するわ……私の実験室で……
()||:ペルシカが通信を切る……
NPC-Helian(1)<Speaker>ヘリアン</Speaker>||:はぁ……冷蔵倉庫の中で謎の甘ったるい液体を飲まされるのが好きじゃなければ、行かないことだな。
NPC-Helian(0)<Speaker>ヘリアン</Speaker>||<黑屏1>:本題に戻ろう、指揮官。+これより貴官に重大な任務を言い渡す。では、詳しく説明しよう――
