SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Empty</BGM><BIN>4</BIN>:M4……M16からの連絡はまだなの？
M4A1(2)<Speaker>M4A1</Speaker>;SOPII(2)||:M16姉……
M4A1(2);AR15(2)<Speaker>ST AR-15</Speaker>||:……待って、公開チャンネルに誰かいるわ！
M4A1(3)<Speaker>M4A1</Speaker>;AR15(2)||<黑屏1>:……！
BOSS-4(0)<Speaker>イントゥルーダー</Speaker><通讯框>||<黑屏2><BIN>9</BIN><BGM>BGM_Boss</BGM>:初めまして、皆さん。+まだ仲間からの連絡を待っているの？//nそれより目先の出来事を気にした方がいいんじゃないのかしら。
AR15(0)<Speaker>ST AR-15</Speaker>;BOSS-4(0)||:イントゥルーダー……こんなに早く現れるとはね。
AR15(0);BOSS-4(0)<Speaker>イントゥルーダー</Speaker>||:せっかくお客様が来てくれているのに、接待しないと失礼にあたりますから。+まずはおめでとう。前の作戦でわたくしの増援部隊を断ち切ることに成功して。+でもこれは補給線のほんの一つにすぎないの。//nわたくしにとってはなんてことはないのよ。
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||<黑屏1>:これは手始めにすぎないのよ、鉄血……
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏2><BIN>10</BIN>:次はあなたたちの防御設備が標的よ。//n降伏の準備をなさい。
BOSS-4(0)<Speaker>イントゥルーダー</Speaker>||:それはエルダーブレインが許さないと思いますわ。//nわたくしは喜んでお迎えしますけどね。+そちらの指揮官に伝えて。そろそろ本格的に始めましょうって。
M4A1(0)<Speaker>M4A1</Speaker>||:その必要はないわ。+……すでに来ているもの。+指揮官、作戦のご命令を。
