()||<BGM>BGM_NightOPS</BGM><BIN>10</BIN>:…………10分後。
PM(0)<Speaker>マカロフ</Speaker><通讯框>||:ここは静かね。//n鉄血がまだ動き出していないようだわ。
RO()<Speaker>RO635</Speaker>||:鉄血はこの街を使ってなんらかの大型兵器の火力テストしているんだわ。+だからあの砲撃はわたしたちを狙ったものじゃない。//n92たちが生きている可能性は高いわ。
PM(0)<Speaker>マカロフ</Speaker>||:ほう？どうしてそれを？
RO()<Speaker>RO635</Speaker>||:ある人に調査を依頼したの。//nさっきその結果を聞いたのよ。
PM(0)<Speaker>マカロフ</Speaker>||:さっき？私に抱きついて泣いたあとで？
RO()<Speaker>RO635</Speaker>||:恥ずかしいことを思い出させないで！ちょっとストレスを発散しただけよ！
PM(0)<Speaker>マカロフ</Speaker>||:なるほど……+ちなみに、私のストレス発散方法は人の発散方法を公開することだけど。+録画しちゃったから、明日のFatebookを楽しみにしててね♪
RO()<Speaker>RO635</Speaker>||<黑屏1>:…………+だから92を副官にしたかったのよ……+まあいいわ。本題に戻って、行動を開始しましょ。
PM(0)<Speaker>RO635</Speaker>||<黑屏2><BIN>8</BIN>:マカロフ、もうコントロールパネルの前にいるわよね。+指揮命令を伝えるから、部隊を動かして鉄血の主力を引きつけてちょうだい。+わたしはこの目でみんなの状況を確認してくるから。//n可能であれば全員救出して戻るわ。
PM(0)<Speaker>マカロフ</Speaker>||<黑屏1>:（ため息）了解。+おとなしく司令室に隠れていろって言いたいけど、聞いてくれそうにないわね。+でも忠告はしておくわよ。それは危険すぎるわ。
RO()<Speaker>RO635</Speaker>||<黑屏2><BIN>9</BIN>:ご忠告ありがとう。//nでもあなたは自分の仕事をしっかりこなせばそれでいいのよ、マカロフ。+わたしにもしものことがあったら、一人で部隊を連れて帰って。
PM(0)<Speaker>マカロフ</Speaker>||:…………+RO、さっきへリアンさんから色々聞いたわ。+あなたが知りたいことも含めてね。AR15が遺したあれは……
RO()<Speaker>RO635</Speaker>||:…………
PM(0)<Speaker>マカロフ</Speaker>||:生きて帰ってきたら、話してあげる。//n分かった？
RO()<Speaker>RO635</Speaker>||<黑屏1>:…………+取引成立ね。+帰ってくるまでに、どこから話し始めるか考えておいて。
RO()<Speaker>RO635</Speaker>||<黑屏2><BIN>10</BIN>:じゃあ作戦を始めましょう。+指揮は任せたわよ、マカロフ。+まずは、準備のできた部隊をここに配置して……
