()||<BIN>18</BIN><BGM>BGM_Sneak</BGM>:同時刻、M16A1の潜伏先では……
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>:チッ……+撤退しようと思っていたのに。//n416の後始末をつけに来たなんて言うなよ……
UMP45(0)<Speaker>M16A1</Speaker>||<黑屏2>:……UMP45。
UMP45(0)<Speaker>UMP45</Speaker>||:……♪+撤退しようと思っていた？そうは思えないけどね～。//nだって、そこの箱の中にまだすごい武器が2丁ぐらい入っているんじゃないの？
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||:それはな、お前らのために準備したものじゃないんだ……+……どう思うよ？
M16(3);UMP45(0)<Speaker>UMP45</Speaker>||:……同感♪+まあ何というか、私たちも今仕事を終えて帰る途中なの。//nだからついでに416を迎えに来ただけよ。
M16(0)<Speaker>M16A1</Speaker>;UMP45(0)||:まったく大したもんだな。//nたった数人で、独立して行動できるだなんて。
M16(0);UMP45(0)<Speaker>UMP45</Speaker>||:この程度の任務、「9」ひとりでも十分よ。+416には十分働いてもらったから、休暇を与えたの。
M16(0)<Speaker>M16A1</Speaker>;UMP45(0)||:それで休暇中に、私の足を引っ張りに来たってか……+フッ、そんなことをするのはお前らだけだよ、45。
M16(0);UMP45(0)<Speaker>UMP45</Speaker>||:安心して。416だってあなたを殺しはしないわ。//nただちょっと気に入らないだけ。
M16(0)<Speaker>M16A1</Speaker>;UMP45(0)||:分かってる。//nだから命だけは助けてやった。
M16(0);UMP45(0)<Speaker>UMP45</Speaker>||:分かってるわ。//nだからこちらもあなたの命だけは助けてあげるの。
M16(0)<Speaker>M16A1</Speaker>;UMP45(0)||:ハッ、そりゃ助かった。//n取引成立だな。
M16(0);UMP45(0)<Speaker>UMP45</Speaker>||:ただ、今帰っても、命を落とすことになるだけよ。//nM16。
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||<黑屏1>:……ほう？+16LABの技術を甘く見るなよ。//nそう簡単には死なないさ。+それより45。今回の任務で……何か分かったか？
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏2><BIN>9</BIN>:ほら、もっと近寄って。+（雨が降った、平原に。）
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||:雨？平原？……どういう意味だ？
M16(3);UMP45(0)<Speaker>UMP45</Speaker>||:1500から1700の近距離まで潜入して入手した通信記録よ。+検索結果は合計で41960個。//nそのうちあれに言及し基本戦術の常識に合わない文字列は――+興味があるなら、この比較図を見て。//nさらに重要なのは、その後彼女がしようとしていることで……
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||:おいおい、マルチタスクモードに入らないでくれ。+その小さな脳みその中に、誰でも分かる言葉を詰め込むことはできなかったのか。
M16(3);UMP45(0)<Speaker>UMP45</Speaker>||:あるいは、あなたたちを「生み出した者」なら、この意味が分かるかもね。
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||<黑屏1>:どういう……ことだ？
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏2><BIN>18</BIN>:ふふっ♪//nとにかく、お先に失礼するわ。+もしお仲間に会ったら、こう言っておいてね……
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||:お前らはもう死んだって言えばいいんだろ。//n分かってるさ。
M16(3);UMP45(0)<Speaker>UMP45</Speaker>||:ふふっ♪そういうこと。それじゃ、また今度。
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||<黑屏1>:はぁ……今度がないことを祈るよ。+このクズども……
