()<Speaker>﻿</Speaker>||<BIN>41</BIN><SE1>Battlefield</SE1><BGM>BGM_SpecialOPS</BGM>:…………+……3分後、鉄血が目標地点を砲撃し始めた。　
马卡洛夫()<Speaker>マカロフ</Speaker>||:まったく……+星条旗の人形って、ヒーロー気取りしかいないわけ？
RO635()<Speaker>RO635</Speaker>||:ハハッ……+みんなあまり冷静に考えてから動くタイプじゃないからね……
AAT52()<Speaker>AAT-52</Speaker>||<SE1>Battlefield</SE1>:RO、やっと笑ってくれたね。+AR小隊に行ってから、すっかり変わっちゃったと思ってた。
RO635()<Speaker>RO635</Speaker>||:それは……+AR小隊は雰囲気も違うし、多少影響を受けているとは思うわ。
马卡洛夫()<Speaker>マカロフ</Speaker>||:やれやれ……そのAR小隊っていうの、よくここまで生き延びてこれたわね……+あんな無茶をしていたら、AR15どころか……あなたたち……+あなたたち全員死んでしまうわよ……
RO635()<Speaker>RO635</Speaker>||<SE1>Battlefield</SE1>:今を生きているのよ。//n少なくとも、今回は成功したわ。
马卡洛夫()<Speaker>マカロフ</Speaker>||:フンッ、辛うじてね。+まあ今回は、隊長として少しは役に立ったんじゃないの？
RO635()<Speaker>RO635</Speaker>||:はぁ……今回の任務がどれだけ大変だったか……+幸い、ペルシカさんのジャミングプログラムが効果を発揮したおかげで、敵の砲弾の発射速度はかなり抑えられたわ。+ステン、AAT52。//nあなたたちが砲台周囲の拠点を押さえてくれたおかげよ。助かったわ。
AAT52()<Speaker>AAT-52</Speaker>||:へへッ、これでジュピター砲の力を大幅に削げるね。+鉄血の新しいおもちゃなんて、しょせんこんなものよ！
司登()<Speaker>ステンMK-II</Speaker>||:でも……マカロフたちはどうするの？+怪我をしているし、思うように動けないと思うわ。//nそれに、ドリーマーの部隊もまだ捜索を続けているはず……
RO635()<Speaker>RO635</Speaker>||<黑屏1>:まずは合流して、それからわたしが指揮官に連絡するわ。+大丈夫、みんなの安全はわたしが守ってみせる。
RO635(2)<Speaker>RO635</Speaker>||<黑屏2><BIN>10</BIN><BGM>BGM_Empty</BGM>:指揮官、RO635です。+先ほど鉄血の砲台を無効化しましたので、もう脅威となることはないと思います。
RO635(0)<Speaker>RO635</Speaker>||:ただ、撤退する際にドリーマーとその部隊に遭遇する可能性があります。+ですので指揮官、司令部までの援護をお願いします。
