()<Speaker>﻿</Speaker>||<BIN>9</BIN><BGM>BGM_Empty</BGM>:…………ドリーマーの部隊と交戦すること35分。+…………留置所「プリンセス･マリオン」、地下2階にて。+………………　
主脑()<Speaker>エルダーブレイン</Speaker>||:どうして……+まったく解析できない。+いったん連れて帰るしかないわ……+……いこう、M4A1。+いっしょに戻るよ……
RO635()<Speaker>RO635</Speaker>||:そうはさせないわ、エルダーブレイン……
主脑()<Speaker>エルダーブレイン</Speaker>||<黑屏1>:…………+爆薬？
RO635(5)<Speaker>RO635</Speaker>||<BGM>BGM_War</BGM><SE1>Explode</SE1><黑屏2><BIN>47</BIN>:総員、撃てーっ！
M16(3)<Speaker>M16A1</Speaker>||<SE1>Battlefield</SE1>:手榴弾に気をつけろ！
NEGEV(0)<Speaker>ネゲヴ</Speaker>||<SE2>Gunfight</SE2>:アハハハ！//nどこまで逃げられるかな？
()||:…………
主脑()<Speaker>エルダーブレイン</Speaker>||:なぜ目覚めたの？
RO635(4)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:ずっと準備していたのよ、エルダーブレイン……+あなたのそのジャミング装置に対抗するために！
主脑()<Speaker>エルダーブレイン</Speaker>||:長くはもたないわ。
RO635(4)<Speaker>RO635</Speaker>||<SE1>Battlefield</SE1>:そんなにかからないから大丈夫よ……
SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:RO！ M4を取り返したよ！
主脑()<Speaker>エルダーブレイン</Speaker>||<SE2>Gunfight</SE2>:…………！
RO635(5)<Speaker>RO635</Speaker>||:分かりました！//n早く下がって、防空室に隠れてください！
主脑()<Speaker>エルダーブレイン</Speaker>||:貴様ら──！
VZ61(0)<Speaker>スコーピオン</Speaker>||<SE1>Battlefield</SE1>:みんな、発煙弾を！
FNFNC(0)<Speaker>FF FNC</Speaker>||<黑屏1>:49、扉を閉じて！
()||<BGM>BGM_Empty</BGM><黑屏2><BIN>9</BIN>:…………うめき声が響き渡る。
主脑()<Speaker>エルダーブレイン</Speaker>||:…………+武器……あたしの武器は？
BOSS-11(0)<Speaker>ドリーマー</Speaker><通讯框>||<BGM>BGM_Boss</BGM>:ご主人様、今回は武器は持たないと言っていたじゃないですか。+だから部隊をつけておいたのですよ。
