()||<BIN>79</BIN><BGM>BGM_Room</BGM>:…………
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:それで、どこから話そうかね？+そうだな……あの不運なリコのことから始めるか？
NPC-Kyruger(0)<Speaker>クルーガー</Speaker>;NPC-Havel(0)||:…………+リコのことは私も残念に思っている。
NPC-Kyruger(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:いや、そうでもないさ。//nこれは運命であり、天が彼に与えた使命。要するに、ツイてないのが奴だっただけだ。+ところで、カーターが必要だと言っていた、あの……確か「エリザ」だったか？
NPC-Kyruger(0)<Speaker>クルーガー</Speaker>;NPC-Havel(0)||:……これまでずっと鉄血を指揮し、我々に敵対してきたAIだ。
NPC-Kyruger(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:エリザか、実に良い名だ。//nだが、そいつがそこまで重要なのか？軍がここまで大々的に動いて片付けねばならんほどに？
NPC-Kyruger(0)<Speaker>クルーガー</Speaker>;NPC-Havel(0)||:人形技術の未来のためだ。//n軍には未来への備えとして、より良い人形技術が必要らしい。
NPC-Kyruger(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:ハッハッハ！いやぁ……クルーガー君……+君はカーターが言っていた、技術やら未来がって話を本気で信じるのかね？//n私自身、人形製造に携わる者だが、自律演算可能なAIが、わが社の数千人規模の部隊を上回るとは思えんがね。+しょせんただの人形…//n今のご時世、歩兵の補助設備ごときが、戦争の洗礼を受けた老兵の目に留まるとでも？
NPC-Kyruger(0)<Speaker>クルーガー</Speaker>;NPC-Havel(0)||:それはつまり……
NPC-Kyruger(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:鉄血が使っているのはどんなネットワークだ？//nそのエリザというのは何に基づいて設計されている？
NPC-Kyruger(0)<Speaker>クルーガー</Speaker>;NPC-Havel(0)||:オーガス……？カーターが欲しがっているのは、あのオーガスシステムだとでも言いたいのか？しかしあれは、80年代にはすでに放棄されたもののはず……
NPC-Kyruger(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:話が早いな。幸い今の私たちは、80年代の愚かな指導者どもの下にいるわけではない。でなければ今頃、シベリアで芋でも掘って暮らしてただろうよ。+いいか、あれは決してどこか立派なところから掘り出したものではない。あれは……かつて皆が関心を寄せていたところなんだ。
NPC-Kyruger(0)<Speaker>クルーガー</Speaker>;NPC-Havel(0)||:…………
NPC-Kyruger(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<黑屏1>:それに、あれはカーター自身が欲しがっているとも限らんよ、クルーガー君。+カーターもしょせんは大勢のうちの一人さ。本当に指示を出しているのは……はは……。+君も知っているだろう。//n国家を越えた連盟が形成されつつあることを。+しかし、先進的な取り組みを阻止したがる保守勢力はいつでも一定数はいるもんだ。そして、勝敗を決するのも、結局はどちらがより力を持ってるかってだけ。
()||<黑屏2><BIN>9</BIN>:…………ハーヴェルはクルーガーのすぐそばまで歩み寄った。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:クルーガー君、私が今回来たのは、君に忠告するためだ。//n決して、嵐の中を飛び回る小鳥になってはならん。+嵐は巻き込んだもの、すべてを破壊する。//n小鳥が誤って入り込んだかどうかなど意に介さない。
()||:…………ハーヴェルは体を起こし、立ち去ろうとした。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:君という大口の顧客を失えば、私も取締役会で言い訳をするのが苦しくなる。//n老後を安泰に過ごすためにも、まだお給料は貰いたいのでね。
克鲁格()<Speaker>クルーガー</Speaker>||<黑屏1>:…………
()||<BGM>BGM_Empty</BGM><黑屏2><BIN>79</BIN>:…………その時、ドアが開いた。
NPC-Carter(0)<Speaker>カーター</Speaker>||:待たせたな、もう解……ハーヴェル！
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BGM>BGM_Sneak</BGM>:ほら、5分だろ。
NPC-Carter(0)<Speaker>カーター</Speaker>||:やはり貴様の仕業だな！//nこんなろくでもないことをやってくれるのは貴様しかいないからな！+ハーヴェル、何故こんなときに私の顔を潰すようなことをする！
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:いやぁカーター将軍、何のことでしょう？//nご身分の高い軍人でいらっしゃるのですから、発言はもっと慎重になさるべきかと存じますが。
NPC-Carter(0)<Speaker>カーター</Speaker>||:今すぐ私の前から消えろ、さもないと貴様のそのボロ杖で、もう一本の足をへし折るぞ！
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:はいはい、将軍の仰せのままに。//nでは失礼。
()||:ハーヴェルはクルーガーに耳打ちした。
ハーヴェル()<Speaker>ハーヴェル</Speaker>||:人を遣って来賓の車のタイヤから空気を抜いただけだ。//nああ、君のはやってないぞ。ハッハッハ……
()||:…………ハーヴェルは体を起こし、立ち去ろうとした。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<黑屏1>:おぉ、そこにいたのか指揮官。//n君に期待しているぞ。近々また会う機会があるだろう。+では皆様方、いずれまた。
