()||<BIN>9</BIN><BGM>BGM_Sneak</BGM>:――2時間後。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:……RO？
RO635(0)<Speaker>RO635</Speaker>||:起きたのね。
SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||:どれくらい経った？
RO635(0)<Speaker>RO635</Speaker>;SOPII(2)||:多分……2時間くらいよ……？
RO635(0);SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||:そんなに……ROは何してたの？
RO635(0)<Speaker>RO635</Speaker>;SOPII(2)||:M16のあの箱に小型発信機が入ってたでしょ？+その信号を増幅できないか試してたの。//n指揮官もわたしたちを捜しているはずだから、連絡がつけばすぐ撤退できると思ってね。
RO635(0);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:ほんと？RO、そんなこともできるの？
RO635(2)<Speaker>RO635</Speaker>;SOPII(0)||:体力じゃあなたに敵わないけれど、私にもあなたより得意なことがあるわ。+よし、あとはゆっくり充電が終わるのを待つだけかな。
RO635(2);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:充電が必要なの？
RO635(2)<Speaker>RO635</Speaker>;SOPII(0)||:高い出力の信号を出すにはある程度のエネルギーが必要なのよ。+わたしの非常用電源からゆっくり給電すれば、充電もできるし、私もダウンしないわ。
RO635(2);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:な、なんかハイテクだね。//nAR小隊はそんなことしないから初めて見たよ。
RO635(2)<Speaker>RO635</Speaker>||<黑屏1>:ふふ、それは光栄ね。+それと……そうね、ちょうどいいタイミングだし、AR小隊の昔話でも聞かせてもらえないかな？充電にはまだしばらく時間がかかりそうだし。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<黑屏2><BIN>9</BIN><BGM>BGM_Empty</BGM>:うーん……+昔のことかぁ、う～～ん。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<黑屏1>:あ、そうそう、思い出した！+初めてAR小隊で演習したときはね、もうほんとに酷かったんだよ！
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<BIN>74</BIN><黑屏2><BGM>BGM_Room</BGM>:――あの演習には、最終的に5時間もかけちゃったんだよ。+そのうち2時間は、M4が自分の命令を調整するのに使っちゃったんだけどね。+その2時間の間、わたしたちは入る部屋を間違えたり、20分近く冷水に半身浴したり、撃ち落とすドローンを間違えたり、時報が鳴ってM4を驚かした時計を3つも壊したりで、もうめちゃくちゃだったんだよ。
RO635()<Speaker>RO635</Speaker>||:えぇ……想像以上に酷いわね。//n普通の人形が隊長を務めても、演習でそこまでミスはしないはずよ……
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:たぶんそれが新型の指揮人形ってものなんだよ。//nびっくりだよね、精鋭部隊に入ったと思ってたのに、隊長がこんなに頼りない奴だなんて。+特にAR15なんかは……知ってるでしょ、あいつは結果をすごく気にするタイプだから、最終的には絵に描いたような不機嫌な顔をしててさ。+それを当時のM4はすごく怖がっていて、M16にどうすればいいか相談してたんだ。あの頃はM16しか話し相手がいなかったから。+そしたらM16はね、AR15のことなんか気にするなって答えたんだ。//nでないとミスが増え続け、仲間の機嫌を余計損ねるだけだって。+そしたらM4はしばらく黙り込んでから、M16にそれはできない、それじゃ問題を解決できないって言ったの。+そしてすかさずAR15のところへ行って、ごめんなさい、わざとじゃないんですって謝ったんだよ。そしたらAR15は軽く睨みつけて「M16の言う通りにするべきだったな」って言い残して、行っちゃったの。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<BIN>75</BIN>:いちばん酷かったのはね、M4のストックがM16のお腹に直撃した時かな！
RO635()<Speaker>RO635</Speaker>||:あー……それは痛そうね。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:そうそう、M16のあの顔はなかなか見れたものじゃないよ。+それでM16は歯を食いしばって言ったんだよ、「ほら、ミスが出たぞ、私の機嫌まで損ねてどうする」って。
RO635()<Speaker>RO635</Speaker>||:ハハッ……で、その作戦は無事終えられたの？
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:なんとかねぇ。//nでもね、最後の最後にちょっとした問題が起きたんだけど、これが面白いんだよ！これだけは聞かないとダメだよ！
RO635()<Speaker>RO635</Speaker>||:何があったの？
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:M4がすごいことをやらかして、全員を泣かせちゃったの！
RO635()<Speaker>RO635</Speaker>||:全員を？何か感動的なことでもしたの？
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:それがね……催涙ガスグレネードを投げちゃって。+最後のターゲットを粉砕するはずが、M4は緊張しすぎて……+一斉射撃のときに一人だけ間違えてそれを投げたんだけど、角度が悪くて跳ね返ってきちゃってさ。
RO635()<Speaker>RO635</Speaker>||:ちょっと……それはさすがに人形のやることとは思えないわね。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:それで当然めちゃくちゃになってさ、みんな催涙ガスの中でおんおん泣いちゃって。+AR15は泣き喚きながらM4に殴りかかろうとするしさ、しかも本気でだよ？+ただ涙で周りがよく見えないから、手を伸ばしながらひたすら叫んでたんだよ。「M4！このドアホ！」+「あんたは救いようのない奴よ！その脳味噌の中身はザリガニと同じで全部生ゴミよ！今すぐあんたの襟元を掴んで何発か平手打ちをかまし、その汚物にまみれたメンタルモデルを物理的に消毒してやる！どこにいる、クソ！！」+そしたらM16が「そう怒るなよAR15。一応ターゲットは片付いたし、なによりM4の服には襟なんてない。やるなら、人間の女が喧嘩する時みたいに、髪をひっぱるしかないぞ」ってさ。
RO635()<Speaker>RO635</Speaker>||:あはは……わたしが前いた小隊でもよくあったわ。//n食糧1パックとか、ミネラルウォーター2箱とかを巡ってね。+M16も泣いていたの？
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:そりゃそうだよ。M16があんなにポロポロ泣いたのはあの時だけかもね。まあ、わたしもよく見えなかったんだけど。+あの時はわたしも泣いてたから……同時に笑ってもいたけどね、だってすっごい面白いでしょ？+その演習以前はみんな真剣で真面目な顔してたのに、あんなにボロボロ涙を流してぐちゃぐちゃな表情をしてさ。その時初めて、みんなわたしと一緒なんだって思ったよ。
RO635()<Speaker>RO635</Speaker>||:M4は？彼女は泣きながら何をしてたの？
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:それがね、なんにもしてなかったの！+M4だけは本気で泣いてて、しかもすごく大きな声で「私のミスです！本当に本当にごめんなさい！」って叫んでたんだよ、ずっと。+それこそいじめられた子どもみたいにね。あんなの映画でしか見たことないし、一体どこで覚えたんだろう。+とにかく酷いもんでしょ？わたしたちの隊長はそんなどうしようもない奴でさ！いつも大恥をかいててさ！ほんとにさ、ハハハ！もう一回見たいぐらいだよ！+ははは……
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<BIN>76</BIN>:はぁ……+ただ……+それももう……無理かもしれないね……
RO635()<Speaker>RO635</Speaker>||:SOPII……+チャンスはまだある、M16はきっとどこかでわたしたちを待っているはずよ。AR15だって……まだはっきりしてないことはたくさんあるでしょ？+わたしたちが生きている限り、いつかきっと何とかなるよ。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:うん……//nROはさ、わたしたちに感情モジュールがついてるのは、なぜだと思う？
RO635()<Speaker>RO635</Speaker>||:それは……
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:M16にも聞いたことあったんだけどね。//nそしたらあいつは、わたしたちがただの殺戮マシーンじゃないってことを証明するためなんじゃないかって言ってたの。+わたしたちには感情がある、だから冷酷な軍用人形たちとは違うって。+だけど、感情こそわたしたちの弱点で、不良品である証拠だって言う人もいるよね。+ROはどう思う？人形に感情があると……不良品ってことなの？
RO635()<Speaker>RO635</Speaker>||:分からないわ……+でも、感情モジュールは人間がわたしたちに与えたものよ。//n自分たちの製品に、わざわざ不良品のレッテルを貼るわけないじゃない？+だから……きっと何か意味があるはずよ。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:もしかしたら、ただ面白いってだけで、人間はわたしたちのことなんか気にかけてないのかもね。
RO635()<Speaker>RO635</Speaker>||:ふふっ、もし本当に気にかけてないんだとしたら、わたしたちは自由だってことになるね。+目的がなければ、秩序もない。//n夜戦から戻ってきたマカロフが、ある時そう言っていたわ。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:そう……RO、その考え方は……面白いと思う。+少なくともわたしは、感情モジュールがついてて後悔したことはないよ。これがあるからAR15とM16を覚えてられるんだし、だからこそ再会するために努力できるから。
RO635()<Speaker>RO635</Speaker>||<黑屏1>:そうね……+だけど残念ながら……今の環境に感情は適さないみたいね。今はとにかく、生き残らなければならないから。
RO635()<Speaker>RO635</Speaker>||<BIN>9</BIN><黑屏1>:絶対に……生き残らないと。
