()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>157</BIN><黑屏2><BGM>BGM_Truth</BGM>:……+一天后。
KSVK(0)<Speaker>KSVK</Speaker>||<SE1>AVG_amb_wilderness</SE1>:到了吗？
DP12(0)<Speaker>DP12</Speaker><Position>0,-100</Position>;KSVK(0)||:到了。
DP12(0)<Position>0,-100</Position>;KSVK(0)<Speaker>KSVK</Speaker>||:好荒凉的地方……+废弃多久了？
DP12(0)<Speaker>DP12</Speaker><Position>0,-100</Position>;KSVK(0)||:三年多吧。+原本这里是很安静的地方，所以人们在这儿建立了疗养院。+有树曾生于此，群鸟栖居，繁花盛放……
DP12(0)<Position>0,-100</Position>;KSVK(0)<Speaker>KSVK</Speaker>||:……孩子们唱着歌，无忧无虑。
DP12(0)<Speaker>DP12</Speaker><Position>0,-100</Position>;KSVK(0)||:你还记得这首歌啊。
DP12(0)<Position>0,-100</Position>;KSVK(0)<Speaker>KSVK</Speaker>||:在我梦里，有人唱过这首歌。
DP12(0)<Speaker>DP12</Speaker><Position>0,-100</Position>;KSVK(0)||:那还记得后续吗？
KSVK(0)<Speaker>KSVK</Speaker>||:……
()<Speaker>DP12</Speaker>||:后来云翳袭来，遮蔽太阳。+恐惧和不安的气息蔓延，原野上的花朵，化为尘土……
()<Speaker>KSVK</Speaker>||:……树上的鸟，也喑哑了嗓音。
DP12(0)<Speaker>DP12</Speaker><Position>0,-100</Position>||:那时候，这首歌只是很多很多年前的老CD里记载的。+据说是某一个游戏的曲目……那时候十分凄美的故事，放到现在不过是每天都可能发生的常事罢了。
DP12(0)<Position>0,-100</Position>;KSVK(0)<Speaker>KSVK</Speaker>||:这座疗养院也……遭遇了什么灾难吗？
DP12(0)<Speaker>DP12</Speaker><Position>0,-100</Position>;KSVK(0)||:是坍塌辐射污染。污染的区域扩散，就像是死亡的黑云不断逼近。+人们最终放弃了这里。
DP12(0)<Position>0,-100</Position>;KSVK(0)<Speaker>KSVK</Speaker>||:这样啊。+我曾经在这里吗？
DP12(0)<Speaker>DP12</Speaker><Position>0,-100</Position>;KSVK(0)||:是啊，工作过几年。+来，从这边上去。
