()||<BGM>BGM_Hello</BGM><BIN>22</BIN>:……
G3(0)<Speaker>Gr G3</Speaker>||:やっと、終わりました……
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:本当に終わったの？//nあんまり変わったって感じがしないけど。
G3(0)<Speaker>Gr G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:はい……これでお終いです。+あとはここの後片づけをするだけですが……
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:これも全部、挑発妖精がぶつかったせいだ！
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:よく言うわ、あなただって色んなものにぶつかってたクセに。
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:あたしだって辛いんだぞ。//nだけど手伝おうにも手がないんだからしょうがないだろ！
G3(0)<Speaker>Gr G3</Speaker>||:ケンカしないでください……私がやりますから。
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:ところで、G3さんはどうしてここに一人でいるんだ？
FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:そうそう。もしかしていじめられてるとか？
G3(0)<Speaker>Gr G3</Speaker>||:そんなことはありませんので、//nあまり変なことは考えないでください……
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:前のメンテナンスの時は、色んな人達がワッと押し寄せてきて、//n終わったらみんなすぐ帰ってっちゃったんだ。
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:だから一人でここに残って片付けをしてるのは……+いじめられているからなのかなって。
G3(0)<Speaker>Gr G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:私が片付けをしなきゃいけないのは、//nあなた達が言うことを聞いてくれなかったからですよ……+私は誰にもいじめられていません。//nいい加減ありもしないことを言うのはやめてください。
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:はーい。でも、これだけは聞いて！
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:断るのが苦手なタイプに見えたもんだから、あたしたちてっきりな。
G3(0)<Speaker>Gr G3</Speaker>||:妖精のメンテナンスが大変なのは、//nあなたたちのせいでもあるんですよ？+いい子にしていれば、//n誰もやりたがらないような事にはならないのに。
FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:G3さんはみんながやりたがらない事をやらされてるんだ、大変だね。
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:やっぱりそうじゃん。
G3(0)<Speaker>Gr G3</Speaker>||:あなた達ったら……+はあ……まあいいです……
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:心配するな！あたし達なら、G3さんの助けになってやれる！
G3(0)<Speaker>Gr G3</Speaker>;FairyWarrior(0)<Position>0,250</Position>||:……助け？
FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>;FairyWarrior(0)<Position>0,250</Position>||:勇士妖精……まさかアレをG3さんに教えるつもり……？
FairyTaunt(0)<Position>0,250</Position>;FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:こんなに滅茶苦茶にしちゃえば、少しは良心だって痛むだろ？
FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:うぅ……
G3(0)<Speaker>Gr G3</Speaker>||:助けというのは……二人がこれから、//n悪ふざけをやめてくれるってことですか？
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:違うよ、G3さんを妖精の女王様に会わせるんだ！
